# FILE DATA
ID : MDRW2100006396
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 공연 및 관람>스포츠 경기 및 관람

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 코로나 이후에 확실히 외국인 선수 수급이 어렵긴 한가봐요
P0 	: 마이너리그 제대로 안해서
P0 	: 올만도 한데 말이죠
P1 	: 제대로 안 해서 선수 컨디션이 별로인 걸 수도요
P1 	: 근데 이제는 좀 나아지지 않았나요?
P0 	: 나아지긴했는데
P0 	: 우리나라를 안올라하는건지
P1 	: 자가격리가 싫은 걸까요ㅋㅋ
P0 	: 그럴수도요
P0 	: 우리나라처럼 잘해주는데 없을텐데
P1 	: 통역도 붙여주고 집도 제공하고 돈도 많이 주고 ㅋㅋ
P0 	: 그러니까요
P0 	: 메이저리그에서 탈탈털리던 폰트도
P0 	: 에이스 대우받는데 ㅋㅋ
P1 	: 플렉센은 작년 시즌 중반에 부상이 아쉬워요. 복귀 이후로 진짜 잘 던졌는데
P1 	: 메이저 가서도 잘 하고 있다고 들었어요 ㅋㅋ
P0 	: 플렉센 메이저에서 잘하자나요 ㅎㅎ
P0 	: 마자요
P0 	: 켈리는 올해는 그닥인거 같더라구요
P1 	: 올해 용병들도 잘 하고 있는 편이긴 한데.. 재계약은 어떻게 될지 모르겠네요
P0 	: 두산요?
P0 	: 재계약 하겠죠
P1 	: 로켓은 부상 이후에 좀 안 좋은 것 같아서 잘 모르겠어요
P0 	: 그래도 검증된 용병이 낫죠
P1 	: 아프지만 않으면 그게 좋긴 한데 말이죠
P0 	: 내구성이 중요하긴해요
P1 	: 페르난데스 예년만은 못해도 나름 잘 하고 있고
P1 	: 미란다는 이미 일본 대만 거쳐 왔대서 미국 간다고만 안 하면 남을 것 같은데 뭐 시즌 끝나고 봐야죠ㅋㅋ
P0 	: 우리 슥보단 훨씬 낫네요
P0 	: 로맥도 이제 보내줄때가 된듯
