# FILE DATA
ID : MDRW2100027513
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경북
principal_residence : 인천
current_residence : 경기
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 서비스 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 책 그만 사려고 했는데 또 샀어
P0 	: 무슨 책 샀어
P1 	: 만화책인데 한 번 사면 우르르르 사게 되니까
P1 	: 순정만화도 사고 원서도 사고
P1 	: 눈 뒤집혀서 사고 나니까 이제 텅장
P0 	: 얼마나 많이 산 거야ㅋㅋㅋㅋㅋㅋ
P1 	: 책은 한 번 사면 10만원 이상 결제하지 않아? 요즘 너무 비싸잖아 ㅠㅠㅠ
P0 	: 그것도 맞아... 책값 되게 비싸짐. 이북이면 싸게 팔기라도 하등가
P1 	: 이북은 손에 남는 게 없는데
P1 	: 왜!! 그리! 비싸!
P0 	: ㅁㅈ... 되팔램도 안되는디
P1 	: 회사 도산하면 내 책.다 날라가는겨!
P0 	: 내 책을 위해 계속 리디를 이용해야 한다는 것...¿
P1 	: 현물 책보다는 이북이 편해서
P1 	: 어쩔수없이 이용한다
P0 	: 난 책이 더 좋은데
P0 	: 만화책 좀 정리해야하는데 귀찮다
P1 	: 책은 많이 사면
P1 	: 둘 곳이 없잖여
P1 	: 이북은 내 손에 작은 도서관이구
P1 	: 그래도 책이 더 조아?
P0 	: 근데 종이책이 집중도 잘되고 안 잊어먹엉
P1 	: 그건 그렇긴하다
P0 	: 종이책으로 보면 특정 장면 보고싶으면 얼추 기억난다구
P1 	: 언제 종이책을 읽었는지 가물가물하다만
P1 	: 페이지?
P0 	: ㅇㅇ
P1 	: 후루룩 넘겨서 여기 이 페이지다!
P1 	: 하고 펴는고야?
P1 	: 앞은 이만한 두께였다...!
P0 	: ㅇㅇ 대충 이쯔음 라고 펼치는 듯
P1 	: 손의 감촉!
P0 	: 나중에 만화책도
P1 	: 만화책도
