# FILE DATA
ID : MDRW2100022891
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저는 빅뱅이론이나 미란다같은
P1 	: 그냥코미디 미드영드 많이봐요ㅋㅋ
P0 	: 아하 해외드라마 취향이시구나!
P0 	: 저는 국내 작품 위주로 봐용ㅎㅎㅎ
P0 	: 최근에 영화 뭐 보셨어요?
P1 	: 거의 못보긴했는데
P1 	: 이것도 좀 된얘기지만
P1 	: 아이들은즐겁다 봤어요!
P0 	: 저도 영화관은 거의 못가고 집에서 봤어용ㅠ
P0 	: 오 누구 나오는건가용?
P0 	: 해외작품인가용?
P1 	: 웹툰원작영화라 국내작품이구요!
P0 	: 아하 저는 왜 몰랐을까욬ㅋㅋㅋ
P1 	: 거의 아역배우들이라 유명배우는 안나온거같았어요ㅋㅋ
P0 	: 애기들 연기 잘하나용?
P0 	: 어떠셨어요?
P1 	: 잘하더라구요~
P1 	: 너무울어서ㅜㅜ
P1 	: 추천합니다!
P0 	: 아아ㅠㅠㅠ
P0 	: 분위기는 어둡진않죠?
P1 	: 조금 어둡긴한데 그래도 희망찬거같아요!
P1 	: 추천해주실것있으신가요?
P0 	: 감사해요 꼭 볼게용ㅎㅎ
P0 	: 음 사실 벨기에 드라마를 추천해드리고싶은데
P0 	: 이것도 넷플릭스 작품이네요ㅠㅠ
P1 	: 나중에 꼭 볼게요!
P0 	: 이거 말고는 음
P0 	: 호우텔
P0 	: 뭄바이
P0 	: 이 영화 재밌어요
