# FILE DATA
ID : MDRW2100038694
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저도 굶을려고
P1 	: 사이트 가입해서 고구마 초코 살려고 주문까지 했다  취소했어요
P0 	: 이게 다이어트쉐이크 자체가 맛이 닝닝하거든요
P0 	: 크림이 안들어가서 그런가
P1 	: 우유에 안타셧나요?!
P0 	: 살짝 초코의 향이나는 닝닝한 맛인데 뒤에 화하게 끝난다고 보심돼요
P0 	: 다이어트니까 물로 버텨보게요ㅜㅜ
P1 	: 아는 동생 초코맛 먹어봤는데 초코우유 걸죽한맛인가 그렇더군요ㅜㅎㅎ
P1 	: 헉 ㅜㅜ 혹독하게 하시는군요
P0 	: 어휴 안돼겠어요
P0 	: 대리만족이라도 ㅋㅋ해야겠어요
P0 	: 자치킨은 왔나요?
P1 	: 네 땅땅치킨 시켜서 먹고 이써요 ㅜㅜ
P0 	: 악 땅땅ㅋㅋ
P0 	: 세트3번은 진리죠ㅜㅜ
P0 	: 사실 저는 집에 고기에진짜 까다로운분이계시거든요
P0 	: 뭐만하면  짭다
P0 	: 기름기많다
P1 	: 헐 그걸 아시다니
P0 	: 식으로 퇴짜 비슷하게 놓으시는
P1 	: 경상도 분 각
P0 	: 그래서 치킨은 잘 못먹어요ㅜ
P1 	: 기름기가 짱인데...껍질
P0 	: 악 그런거에요 이거알면 ㅋㅋㅋㅋ
P1 	: 대구출신 이엿던거같아욬ㅋㅋㅋㅋ
P0 	: 대학때 진짜 많이 시켜먹었던기억이 ㅋㅋ
P1 	: 3번세트에 리뷰 떡볶이 줬어요 혜자
P1 	: 리뷰 떡볶이도 주셔써요 ㄷㄷ
