# FILE DATA
ID : MDRW2100042565
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 우리 고딩때 애들도
P0 	: 거의다 50~60키로대였는데
P0 	: 애들 솔직히 다 말랐었음
P1 	: 맞아
P1 	: 그런데도 맨날 다이어트 한다고
P0 	: 맞음
P0 	: 살빼야돼 이소리 입에달고살았었잖아ㅋㅋㅋㅋㅋ
P1 	: ㅇㅈ
P1 	: 난 진짜 &name3&이 그말 할때마다
P1 	: 어딜 뺀다는 거지 이생각 함
P0 	: ㄹㅇ
P0 	: &name4&도
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 40키로댄데 맨날 살빼고싶대
P1 	: 그니까
P1 	: 근데 난 좀 빼야함
P1 	: 확실히 살 찌면
P1 	: 불편하더라
P1 	: 움직이는것도 그렇고
P0 	: 나.도.빼.야.함
P0 	: 맞아
P0 	: 한 10키로 빼고싶다
P1 	: 암튼 살 빼서
P1 	: 바지좀 사고 싶음
P0 	: 나도...
P0 	: 난 항상 엉덩이가 안맞음
P1 	: 난 진짜 어릴때부터
P1 	: 다리 컴플렉스였어서
P1 	: 허벅지...ㅡ
P0 	: 나도 지금은 좀 괜찮아졌는데
P1 	: 응응
P0 	: 어릴때 진짜 스트레스엿음
P1 	: 근데 어릴때는
P1 	: 남한테 보여지는 거 때문에
P0 	: 그치..
P1 	: 스트레스였는데 이제는 여름에 다리가 너무 더운느낌 뭔지 알지
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㄹㅇ
P1 	: 그것땜에 더 스트레스임
P0 	: 의자에 맨살로 앉으면
P0 	: 막 살 달라붙는느낌나고
P1 	: 으 맞음 ㅠㅠㅠㅠ
P0 	: 허벅지밑에 땀차
P0 	: 그래서 올해 여름내내 긴바지 입고다녓음..
P1 	: 나도
