# FILE DATA
ID : MDRW2100025120
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 광주
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: 진짜로 딱 그 꼴인것 같애.ㅠ.ㅠ.ㅠ.ㅠ.ㅠ..ㅠㅠㅠㅠㅠㅠㅠ 참 ... 이럴때보면 여성캐릭터란 대체 뭘까 싶고....
P0 	: 사람들 트위터에선 만날 여성서사 하면서..ㅋㅋㅋㅋ
P0 	: 막상 소비는 잘 안하는거 같은...
P1 	: ㅎㅎㅎ 맞아.....진짜 소비 안하잖아(ㅠㅠㅠ
P1 	: 그래...결국 자기가 진짜 좋아하는 거에 지갑을 열게 되있으니까 (ㅋㅋㅋㅋ)참 정직한 통계구나 싶긴 함....
P0 	: 허허...
P0 	: 오히려 애매한 사람들이 휩쓸려서 더 소비가 안되는거 같기도하고
P0 	: 무슨 디폴트 인간 그런이야기를 2d캐 한테도 하쉬는디...음...으음...일단 현실 21세기에서는 아직 불가능한일 아닌지 생각합미다
P1 	: 네 저두요....ㅋ.ㅋ.ㅋ.ㅋㅋㅋㅋㅋ 진짜 한참 먼 미래의 일 같아
P1 	: 그런거보면... 나도 그래도 창작을 하는 입장이니까(ㅠㅠ) 대체 뭐가 문제일까....하는 생각을 하게 됩니다(ㅋㅋ ㅠㅠ
P0 	: 뭣보다도 디폴트 인간 둘있으면....머리색 말곤 구분이 안되잖아....
P0 	: 사람들의 디폴트 인간이 너무 틀에 박힌 그게 잇어서 더 내가 그렇게 느끼는거 같기도해
P1 	: 음 맞아... 사실 애초에 인간의 디폴트<라는 것도 없다고 생각하고....
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ어렵다
P0 	: 이 주제는
P0 	: 그냥 인간 다 중성으로 태어나서
P0 	: 19살에 성별 결정하면 안되냐
P1 	: 아 놀랍게도 그런 소재의 웹툰 있음(정말뜬금없이개웃김
P1 	: 그러게...그럼 지금보다는 멋진 사회가 되었을텐데 뜨겁게 울며
P1 	: 물론 숏컷한 여성이 많아져야 한다고는 생각합니다....사회인식너무구려서()
P0 	: 개웃기다 진짜 있냐고
P0 	: 나 무려 중학생때부터 이생각하고 살앗는데
P1 	: 응 진짜임 에일리언 아이돌이라고(ㅋㅋㅋㅋㅋ) ㅋㅋㅋ 성인될 즈음 자기 성별을 결정할 수 있는 종족이 나온다네요...
P1 	: 어휴ㅠ 그때부터 지긋지긋하셨군요(한숨)
P1 	: (에이리언...)
P0 	: 멋지다 나도 왹저할래
P1 	: 나도....나도왹저시켜줘 힘들어(ㅋㅋㅋㅋㅋㅋㅋ)
P1 	: 나 아빠가 자꾸... 긴머리가 예쁠것 같은데~ 이러잖니...
P0 	: 하 습관적 욕하려다가
P0 	: 정신차림
P0 	: 남의 부모님께!떼끼
P1 	: 심한건 아닌데... 아주 속내가 빤히 들여다보인달까
P1 	: 그리고 앞으로도 계속 머리 짧게 자를거냐고 물어봄
P1 	: 긴머리였을때는 그런얘기 1도 안했으면서(ㅋ)
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ하 나두 진쫘...약간 탈코 한거 같은 분이
P1 	: 응ㅇ응응
P0 	: 가요 서바이발 프로그램 나온거 아빠랑 잠깐봤는데
P0 	: 저사람 여자냐 남자냐 이러는거 부터가
P0 	: 넘모...정말 짜증낫던 교수님 생각 나구...
P0 	: 아빠두 아재군아...참...
P0 	: 그런생각이 들엇죠...
P1 	: ㅎ  ㅏ 필사적으로 나쁜말 참음 그쵸............. 약간 뭐라하지
P1 	: 알고는 있었는데 그걸 눈 앞에서 듣게 되니 빡침
P0 	: ㅋㅋㅋ스포 됏으면 나 스포 더해도 돼?
