# FILE DATA
ID : MDRW2100033431
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 전북
principal_residence : 전북
current_residence : 전북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 건강을 위해 챙기는.것들 있으신가요
P0 	: 건강을 위해 챙기는 습관 있나요?
P1 	: 음 영양제
P1 	: 먹어요
P1 	: 오메가 비타민 유산균
P1 	: 여러가지요
P1 	: 어떤걸 하세요?
P0 	: 오 저도 영양제요! 비슷하게 드시네요
P1 	: 다들 그런가봐요
P1 	: 영양제도 유행이 있나봐요
P1 	: 전 걷기좀 해야 할것 같아요
P1 	: 젤 좋은 운동이래요
P0 	: 맞아요 걷기어플 깔아서 걸으면 걸음수보며 걷는 재미도 있어요
P1 	: 저도 그래야 겠어요
P1 	: 동시부여 하게요
P1 	: 동기
P1 	: 아 치아 관리도 중요해요
P1 	: 잇몸이 점점 안좋아져서 ㅜㅜ
P1 	: 정기검진 꼭해요
P0 	: 아 검진은 얼마마다 가시나요?  저도 가야하는데 ㅠ
P1 	: 6개월 한번인데
P1 	: 3개월한번 오래요 ㅜㅜ샘이
P1 	: 전 너무 심각하대요 ㅜㅜ
P1 	: 꼭 자주 가세요
P1 	: 저 요번에도 돈 수십들었어요
P1 	: 잇몸 다 붓고 터지면 이 못살려서 임플란트 해야해요
P0 	: 아..저는 이미 금니도 많은데..치과 정말 무섭죠 ㅠ 치료도..치료비도..
P1 	: 네 요번에도 ㅜㅜ
P1 	: 눈물찔끔
P1 	: 그냥 마취 해달라 말하래요
P0 	: 저도 치과는 늘 마취해달라고.. 넘 무서워요
P1 	: 맞아요 ㅋㅋ
P1 	: 저막 소리질러요
P1 	: 근데 넘 친절하게 잘해주셔서 잘하고있어요
P1 	: 치아 진짜 중요해요
P0 	: 아이들 양치도 잘 시켜야하는데 왜이리 하기 싫어하는지 ㅠㅠ
