# FILE DATA
ID : MDRW2100031227
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 일상 트렌드>메타버스(가상세계) 서비스

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  기타>온라인 커뮤니티
intimacy  :  4
contact_frequency  :  월 1회 미만

P1 	: 아 메타버스 또 전문이지
P1 	: IT관련된건 다 내 전문이라굿~
P0 	: 저거 9모 국어지문으로 나왔어 ㅋㅋㅋ
P1 	: 아 진짜? 요새 재미있는거 많이 알려주네
P1 	: 집에 가상현실 기기 있어?
P0 	: vr 케이스는 있지
P0 	: 근데 안 쓴지 엄청 오래된...
P1 	: ㅋㅋㅋㅋㅋ 제대로 된거 한번 하면 진짜 차원이 달라
P1 	: 가상현실이라...
P1 	: 옛날에 저런 비슷한 개념이 많았는데 근데 왜 요즘 갑자기 주목받는지 모르겠어
P1 	: 아바타 라는 말도 있었는데 말야
P0 	: 아바타란 말은 언제 생긴거지??
P0 	: 난 사실 영화로 처음 알았는데 ㅋㅋㅋ
P1 	: 그 레디 플레이 원?
P1 	: 아바타... 옛날에 싸이월드에서도 있었고 세이클럽도 있고
P0 	: 아니 아바타
P0 	: 나온지 좀 된 영화
P1 	: 조이시티 라는 게임도 있었고
P1 	: 그거 극장에서 봤었던것같음
P0 	: 나도 극장에서 봤어
P1 	: 아바타를?!?!?!?
P0 	: 그때 초등학교 저학년이었을걸
P0 	: 수영 마치고 가서 본 거 같은데
P1 	: 오 그러게 09년도네
P0 	: 엥 09년이면
P0 	: 초등학교도 들어가기 전이네??
P0 	: &name2&은 집에 vr같은거 있어??
P1 	: 있지! 오큘러스퀘스트2
P1 	: 최근에 나온 가상기기야 대중적이지
P1 	: 페이스북에서 만들었는데 가성비 bbbbb
P0 	: 헐 그거 말로만 듣던 건데
P0 	: 진짜 가진 사람은 첨봤네 ㅋㅋㅋ
P1 	: 꽤 오래 전에 샀었지! 잼씀잼씀.
P1 	: &name1&는 가상현실이 얼만큼 우리 삶에 가까이 왔다고 생각해?
P0 	: 질문 좋다...
P0 	: 근데 vr 계속 얘기 나오고 이슈 되고 해도
P0 	: 아직 실생활이랑은 좀 먼 얘기 같아
P1 	: 그건 그래... 근데 통신기술이 발달해서 점점 더 현실로 다가올 듯.. 우허 한 서른쯤엔 다른 사람들 다 가상세계에 있을수도 있음
