# FILE DATA
ID : MDRW2100037793
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아... 그렇진않아요ㅋㅋㅋㅋ
P1 	: 근데 보통 명절에 폭식한다고 하더라구욬ㅋㅋ
P0 	: 아하!
P1 	: 명절을 휴일로 보내는편이라 그냥.. 특별하지 않고 똑같아요ㅜㅜ
P0 	: 전 설에는 폭식해요 ㅋㅋㅋ
P0 	: 만두 킬러ㅋㅋㅋ
P0 	: 근데 송편은 그닥 ㅠ
P1 	: ㅋㅋㅋㅋㅋ 아아 떡국은 인정이요 ㅋㅋㅋㅋ
P1 	: 떡만두국맛있어요{emoji:♡}
P1 	: 추석음식은 손만 많이가고 맛있진 않은것 같아요
P0 	: 그쵸...
P0 	: 갈비나 전을 좋아하긴하는데
P0 	: 이젠 얘들은 명절음식이라기엔 좀...
P1 	: 걔넨 음식! ㅋㅋㅋㅋㅋ
P1 	: 갈비는 언제먹어도 맛있쥬...
P1 	: 근데 송편은 메인이긴한지 시장지나가면 떡집만 줄이 엄청 길더리구요!
P0 	: 하... 송편에 꿀송편만 있으면 안좋아 할 일도 없을텐데
P0 	: 왜 그렇게 콩송편을 만드는지
P0 	: 근데 만들기가 압도적으로 쉽긴 해요...
P1 	: ㅋㅋㅋㅋ꿀송편이 맛있는데 요리알못이 생각해봐도 콩송편이 더 쉬울것 같네욬ㅋㅋㅋ
P1 	: 그것두 있잖아요 그 생선으로만든 전인데..
P0 	: 동태전?
P1 	: 그런가요..? 왜ㅜ갑자기 이름생각이 안나지ㅜㅜ
P1 	: 그럼 명절에 명절음식 잘 안드시는건가용?
P0 	: 좋아하는 것만..?
P0 	: 요즘엔 명절음식도 거의 사서 써요
P0 	: 큰집에서
P1 	: 맞아유~ ㅎㅎ 저희도 아예 안해먹다가
P0 	: 그래서 사실 조금 집어먹으면 딱히 남는건 없어요
P1 	: 요즘엔 분위기라도 내자고 ㅋㅋㅋ 시장에서 송편사다 먹구 갈비먹구...
P0 	: 만두가 부족한게 안타깝지만...
