# FILE DATA
ID : MDRW2100038573
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 오샌갖고싶은거없나요?
P0 	: ㅋㅋㅋ넵 걍 현금 최고 야호
P1 	: 그쵸
P1 	: 홈플에서 올해구매안한고갹
P1 	: 4만이상 2만쿠폰줘서 아침에
P1 	: 생리대1+1하길래 담고 뭐몇개담으니깐 4마넌이더라
P1 	: 그러고 2마넌결제함
P0 	: 오 대박ㅋㅋㅋ잘샀네 ㅋㅋ
P0 	: 대기업들 열일하는구만
P1 	: 긍까근ㄷ0
P1 	: 지금은쿠폰바꼇나보ㅓ 30프로짜리로
P0 	: 헐ㅋㅋ완전 치사하넹
P0 	: 역시 이벤트는 바로 참여해야도ㅑ
P1 	: 혼자잇나유ㅡ
P1 	: 아 카페럇지 ㅋㅋㅋ
P0 	: ㅋㅋㅋ웅 ㅋㅋㅋ 언니 낼 백신맞고 집에서 쉬어야겠쥐?
P1 	: 오ㅑ유?
P1 	: 오게유?
P1 	: 와두되유
P1 	: 
P1 	: 갬치국한사발
P0 	: ㅋㅋㅋㅋㅋ아니 안그래도 혼자 낼 언니네 집에 가볼까 하고있었짘ㅋㅋㅋㅋㅋ
P0 	: 저기 너무 제 맘을 들여다보시네여 ㅋㅋㅋㅋㅋ
P1 	: 차끌고!?!?! 혼자?!?!?!?!
P1 	: 대박 ㅋㅋㅋㅋ쩌는데
P0 	: 그럴리가요...
P0 	: ㅋㅋㅋㅋㅋㅋ그건 절대 무리죠
P1 	: 어케오게???
P1 	: 버스타고????
P0 	: ㅋㅋㅋ태워달래야지
P1 	: 아 ㅋㅋㅋㅋㅋ혼자 낼 울집온다니깐
P1 	: 혼자또 상상함
P1 	: 와유와유
P0 	: ㅋㅋㅋㅋ내일 아침일찍부터 가도되나요...
P0 	: ㅋㅋㅋ갈 때는 4공단 쪽에서 가시는 삼촌 차 얻어타고 갈까봐
P1 	: 당근 되지 ㅋㅋㅋ오빠 아침7시15분이면나가
P1 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 4공단이면 여기지나가던지하시겟네!!
P1 	: 아님 떨궈주는곳에서 걸어도될껄?
P1 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 와서 둘이 낮잠자면웃기겟다 ㅋㅋㅋㅋㅋ
P1 	: 나 내일 차이에 디저트 39잇으면 가보려햣는데 없으면 말고 잘됏다 가면 음료도 사묵자 ㅋㅋㅋ
P1 	: 내일 던킨 신한할인도 마지막이라 던킨도갈라햇읍 ㅋㅋㅋ
P0 	: ㅋㅋㅋㅋ낼 산동투어인가요 ㅋㅋㅋㅋ
P0 	: ㅋㅋ아마 언니 백신 맞으러갈쯤 도착할거같음
P1 	: 그래!? 몇시쯤출발혀?
P1 	: 난 아침에온다는줄 ㅋㅋㅋ일찍온다니깐
P1 	: 난 병원 10시까지얌!
P0 	: 스벅각 배라각 지뢰각 다 하는뎅ㅋㅋㅋ
