# FILE DATA
ID : MDRW2100006970
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 서비스 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 세종
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 오늘 뭐 드셨어요~~?
P0 	: 저는 고기에 스팸 김치찌개요!
P0 	: 맛있는거 드셨나요? ㅎㅎ
P1 	: 저는 카레에 김치요!
P1 	: 오랜만에 먹어서 넘 맛있었어요ㅋㅋ
P0 	: 헉 카레에 김치
P0 	: 김치필수에요
P0 	: 외국에도 카레+김치 조합 전파되야하는데 ㅠㅠ
P1 	: 그러니까용ㅋㅋㅋ그리고 후식으로 브라우니를 먹었습니당
P1 	: 내일은 뭐 드실 계획인가요~~~?
P0 	: 헉 브라우니
P0 	: 부럽습니당
P0 	: 저는 내일은 치킨 아니면 엽떡 로제 아니면 피자 계획해봅니당
P0 	: 님은요??
P1 	: 저는 일단 스콘이 있어서 아점으로 스콘 먹구
P1 	: 남은 카레 재탕 삼타 해야쥬ㅋㅋㅋㅋㅋ
P1 	: 전 배떡 로제만 먹어봤는제
P1 	: 엽떡 로제도 맛있나여? ㅋㅋ
P0 	: 헐 스콘
P0 	: 부러워요 ㅋㅋㅋㅋ
P0 	: 먹을 거 많으시네요
P0 	: 저는 배떡 로제는 못먹어봤는데!!
P0 	: 엽떡로제 맛있어요 ㅜㅜ 최애..
P0 	: 매운거 좋아하세요?
P1 	: ㅋㅋㅋㅋ매운거 막 완전 잘먹는편은 아니지만
P1 	: 그래도 좋아해요!
P1 	: 일반 불닭은 좀 맵긴해요 저한테!
P0 	: 그럼 엽떡 로제 맛있게 드실 것 같아요
P0 	: 개인적으로는 약간 피자맛처럼 느껴지더라구용
P0 	: 먹을 땐 불닭보다 안매운데 역시 먹고나면 고생하게 되는..
P1 	: ㅋㅋㅋ피자는 어디꺼 좋아하세요?
P0 	: 저는 제일 좋아하는 건 파파존스!
P0 	: 인터넷으로 시키면 소스많이 선택항 수 있어서 항상 소스 많이로 시켜먹어요
P0 	: 미국맛 최고~~
P0 	: 님은용??
P1 	: 저 사실 파파존스는 안먹어 봤어요
P1 	: 사람들이 다들 맛있다고 하던데 ㅠㅠ
P1 	: 파파존스 브라우니도 맛있데요~
P1 	: 저는 도미노 포테이토 좋아해요
P1 	: 동네피자도 좋아한답니다ㅋ
P0 	: 헉 네 아쉬워요
P0 	: 파파존스를 안 드셔보시다니 ㅜㅜ
P0 	: 파파존맛입니다 ㅜㅜ
P0 	: 도미노 포테이토 저도 좋아해요!
P1 	: ㅋㅋㅋ파파존스가 가격이 약간 있자나용
P1 	: 혼자 먹기 부담스러워서 ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그렇다고 도미도노 싼건 아니지만
P0 	: 하 네 맞아요
P0 	: 저도 파파존스 비싸서 보통 동네 피자 시켜먹긴 해요 ㅜㅜ
P0 	: 저랑 왜케 비슷하세요
P1 	: ㅋㅋㅋㅋㅋ아 그런가용?
P1 	: 동네피자도 맛있어요
P0 	: 네 맞아요 피자 is 뭔들
P1 	: 피자먹을때 갈릭딥핑 필수!
P0 	: 하 네
P0 	: 맞아요
P0 	: 저는 그 맥코믹 갈릭소스 900ml짜리 사다놨어요
P1 	: 그런게 있어요?
P1 	: 유명한건가용? ㅋㅋㅋㅋ
P1 	: 엄청 대용량이네여ㅋㅋㅋㅋ
P0 	: 그냥 이마트 트레이더스 갔는데 있어서 사왔어요!
P0 	: 저는 거기에 꿀이나 올리고당 섞어서 찍어먹어요
P0 	: 돼지로 가는 지름길..
