# FILE DATA
ID : MDRW2100009527
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 여행

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 서비스 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 세종
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 여행지에서 먹었던 음식중에 기억남는건 뭐예요? ㅋㅋ 현지음식 얘기라서 여행이 더 적합한 키워드인거 같아서요 ㅋㅋ
P1 	: 아 ㅋㅋㅋ 여행 키워드는 처음이네요
P1 	: 전 여행을 많이 안가봐서 태국만 두번다녀왔어요
P1 	: 푸팟퐁커리에요! 첫여행에서는 못먹어서 두번째 여행에서는 꼭 다녀왔는데 현지음식인데도 한국사람들이 많이 방문하는 곳답게 호불호 안갈리고 맛있더라구요
P0 	: 오호 태국에는 볼거리가 뭐가 있어요?
P0 	: 저는 동남아 가보고 싶어요ㅜㅜ 말레이시아? 이런곳은 바다도 예쁘다던데ㅜㅜ
P0 	: 태국도 레져스포츠나 휴양하러 가는곳이죠?
P1 	: 맞아요 휴양지가 많은 편이죠!
P1 	: 볼거리는 생각보다 많이 없어요 있는건 왕궁이나 사원이 엄청 많아요
P0 	: 아아~
P0 	: 그럼 가면 사원돌고 주로 바닷가에서 보내나요?
P1 	: 저는 레져스포츠랑 휴양하러 가기보다 그냥 돌아다니려고 갔어요 관광? 그냥 먹고 놀고?
P0 	: 1도 모름... ㅜㅜㅜ 코끼리 탑승하고 이러기도 하던데!
P0 	: 코코넛먹구 ㅎㅎ
P1 	: 바닷가 지역은 사원이 있는지 모르겠네요 ㅠㅠ
P1 	: 맞아요 과일 동남아는 과일이 맛있어요 ㅎㅎ
P1 	: 저는 방콕이랑 치앙마이 이렇게 다녀와서 거의 도시와 시골체험? 하는 기분이였어요
P1 	: &name1&님은 어디 다녀오셨어요?
P0 	: 저는 유럽이랑 인도 캄보디아 일본 요렇게 다녀왔어요 ㅎㅎ
P0 	: 유럽은 자유여행이랑 패키지로 갔었는데 아무래도 패키지는 기억이 가물가물...ㅎㅎ
P1 	: 와 여기저기 좋은 곳 많이 다녀오셨네요!
P1 	: 그쵸 일정대로 따라만 다녀서 ㅋㅋ
	  여행할때 자유여행을 더 좋아하세요?
P0 	: 자유여행이 좋긴하지만 세번빼고는 다 같이 움직이는 일정이었어요 ㅎㅎ
P0 	: 근데 사실 패키지가 편한게 있긴해요 ㅋㅋㅋ
P0 	: 일단 언어가 안통하니까ㅜㅜ
P0 	: 생각해보니 일본은 다 자유여행으로 다녀왔구 첫 유럽도 세미패키지였네요 ..ㅎㅎㅎ
P0 	: 교통수단 이용하면서 이동하는 재미도 있는데 패키지는 버스타고 왔다갔다하니까 진짜 유명한곳가서 사진찍고 요거밖에 없는듯..? ㅎㅎ
P1 	: 아 알죠.. 사실 여행에 가장 큰 장벽은 언어인 것 같아요 영어라도 웬만큼 한다면 그래도 좀 괜찮았을텐데 영어는 늘 어렵네요 ㅠㅠ
P1 	: 맞아요 ㅋㅋㅋ 돌아다닐때는 너무 힘든데 다녀와서보면 그것도 다 추억이고
P1 	: 여행의 꽃은 사진이죠 ㅎㅎ
P1 	: 음식은 다 입에 맞으셨나요?
P0 	: 패키지도 저는 일정중에 선택일정 안하고 친구랑 오스트리아 카페가서 자허토르테 먹었던게 제일 기억나요 ㅋㅋㅋ
P0 	: 그거랑 환승 공항에서 스벅에 앉아있던 기억 ㅎㅎ
P0 	: 그때가 연초라서 가는곳마다 파티 분위기였거든요 ㅎㅎ
P0 	: 유럽여행하면서 인도보다 복불복이 심했던 것 같아요 ㅎㅎ
P0 	: 먹거리가요!!
