# FILE DATA
ID : MDRW2100008532
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 광주
principal_residence : 대구
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 요즘 관심가는 게임이나 하는 게임 있어??
P1 	: 나는 요즘은 걍 모바일쪽만 하는 중 ㅋㅋㅋ
P0 	: 나도 딱히??ㅋㅋㅋㅋ
P0 	: 롤은... 내가 컨트롤이 안돼서 별로고
P0 	: 옵치는 요즘 완전 노잼 ㅠㅠㅠ
P0 	: 요즘은 유튜브에도 그렇고 막 떠오르는 게임은 없는 느낌?
P1 	: ㅁㅈㅁㅈ 걍 스팀겜으로
P1 	: 단타치는 게임들만 있는 듯 ㅋㅋㅋㅋㅋ
P1 	: 그리고 나 내가 보던 스트리머 하나
P1 	: 논란땜에 터져나가서 ㅂㅂ했는데
P1 	: 걔는 논란땜에 터졌는데 다른 스트리머는
P1 	: 남자들이 너무 많이봐서 채팅창 땜에...걍 털어서
P1 	: 이젠 겜방도 잘안봐 ㅋㅋㅋ
P0 	: 앗.. 혹시 선바?ㅋㅋㅋ
P0 	: {censored}
P1 	: ㅁㅈㅁㅈㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 걔는 걔가 좋다기보단 채팅창이 편해서
P1 	: 여초 채팅창이라 본게 커서
P1 	: 굳이 붙잡고 있을 필요 1도 없어서 빠른 구취함ㅋㅋㅋㅋㅋ
P0 	: 앜ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 딱 맞췄고만ㅋㅋㅋㅋ
P0 	: 근데 너무 충격적이긴했어
P0 	: 슈게임 하던 세상 천진난만해보이던 사람이
P1 	: ㅋㅋㅋㅋㅋㅋㅇㅈㅋㅋㅋㅋ
P0 	: 그렇고 그런 여친을 사귀고....
P1 	: {censored}
P1 	: 뭐 근데 대처를 영 못했지 뭐 ㅋㅋㅋ 그거 싸움나고 인스타에 라방하고 했을때
P1 	: 실시간 불구경은 흥미진진하긴했다
P0 	: 아 진짜????원래 그랰ㅅ어???
P0 	: 마즈 ㅋㅋㅋㅋㅋㅋㅋ 여친라방꿀잼
P1 	: 걍 방송용 이미지를 잘 쌓은거지 ㅋㅋㅋㅋㅋ
P1 	: 그리고 솔직히 게임방송하는 스트리머들 어느정도 규모커지면
P1 	: 다 남초돼서 채팅창 보기가 불편한데
P1 	: 선바는 여초채팅이어서 여자팬이 여자팬을 부르는 상황이라
P1 	: 이미지관리 안할 수 없었지 ㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ맞아...
P0 	: 진짜 몇안되는
P0 	: 여초 채팅 스트리머 아니었나...?
P0 	: 정말 {censored}가 너무 충격이었으...
P0 	: 지금은 활동하려나...?
P1 	: ㄴㄴ 한동안 방송 중단한대
P1 	: 얼마전에 있었던 일인데
P1 	: 어케 겜방함ㅋㅋㅋ온갖 어그로 다끌릴건데 ㅋㅋㅋㅋ
P0 	: 앜ㅋㅋㅋㅋㅋㅋㅋㅋ한동안 방송중단하는구나
P0 	: 그건그래....
P0 	: 진짜 좀
P0 	: 재질이...넘 안좋아서ㅠㅠㅋㅋㅋㅋㅋ
P1 	: 뭐 그리고 본인도 멘탈 추스를 기간 있어야 할거니까 ㅋㅋㅋㅋ
P1 	: 어차피 유튭 생태계상 다시 돌아오기야 하겠지 뭐...
P1 	: 암튼 그래서 겜방도 보는게 없고 ㅠ 게임도 할만한게 없따
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ맞아.... 선바는 이미지 나름 좋았어서
P0 	: 이렇게까지 욕먹은거 지 인생에서 첨일듯...
P0 	: ㅠ 예전에 너 제5인격이라고 알아?
P0 	: 그거 나름 잼썼는데
