# FILE DATA
ID : MDRW2100039911
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 백신 맞으셨나요?
P1 	: 네 지난주에요
P1 	: 맞으셨어요?
P0 	: 2차까지 다 맞으셨나요?
P1 	: 아뇨 1차요
P1 	: 다맞으셨어요?
P0 	: 전 수요일에 2차까지 완료요^-^
P0 	: 홀가분합니다^-^
P0 	: 뭐로 맞으셨나요?
P1 	: 아 너무 부럽습니다!!!
P1 	: 화이자요
P0 	: 괜찮으셨나요? 전 1차 맞고 엄청 잤어요
P1 	: 아 전 팔이 좀아프더라고요
	  이틀간
P1 	: 그 이후엔 좋아요
P1 	: 2차 아프셨어요??
P0 	: 아뇨~
P0 	: 맞을때만 칼로 후벼파는것 같았고 1차보다 나았어요 ㅎ
P1 	: 진짜요??? 칼 무섭네요!!!ㅜ
P0 	: 진짜 아팠어요 맞을때
P1 	: 11월에 2차 맞아요ㅜ 빨리 맞고싶어요!
P0 	: 2차는 각오 하라던대
P0 	: 이갓도 케바케인가봐요
P1 	: 주사가 진짜 아프더라고요 저 주사 꽤나 맞아본 사람
	  인데!!!
P0 	: 전 완전 멀쩡.. ㅋ
P0 	: 2차는 진짜 넘 아파요
P0 	: 뛰쳐 나갈뻔 했네요 ㅠ
