# FILE DATA
ID : MDRW2100028803
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 기타

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세요 맛있는 저녁드셨어용?
P1 	: 네. 부추전 먹었어요! 뭐 드셨어요?
P0 	: 와 맛있었겠어요!! 저는 장어탕 먹었어요 ㅎㅎ
P0 	: 방금은 무화과 먹었는데 부드럽고 맛있네요 혹시 좋아하세요?
P1 	: 장어탕 유니크한 메뉴네요ㅋㅋㅋ 무화과 좋아해요! 복숭아도 괜찮고... 과일 중에 또 뭐 좋아하세요?
P0 	: 저 요즘 자주먹는 과일이 무화과랑 복숭아에요!!
P0 	: 무화과는 식감도 너무 부드럽고 담백한 맛이 있는게 요즘 홀릭중이요 ㅎ
P1 	: 좀 저렴해지긴 하지만 황도는 어떠세요?
P0 	: 저는 백도가 좋아요ㅜㅜ
P0 	: 백도에 비해선 황도는 좀 신맛이 있더라구요.
P0 	: 요즘 신맛나는 과일은 못먹겠어요.. 입맛이 좀 변한것 같아요!
P1 	: 전 백도 먹어본 적 없는 것 같아요
P1 	: 근데 입맛 변하는 건 알겠어요... 혹시 편식하다가 먹게 되신 거 있나요
P0 	: 편식하는 음식은 없었는데 있어도 잘 안먹던 음식을 먹는건 있어요~ 닭발.. 이런거 ㅎㅎㅎ
P0 	: 제가 먹는거만 먹는 편이긴한데 편식하는건 없는거 같아요!
P0 	: 혹시 드라마틱하게 변한 입맛이 있으신가요 ㅎㅎ
P1 	: 음.. 옛날에 연어를 별로 안 좋아하는 편이라서 새우초밥만 먹고 그랬는데 지금은 연어 없어서 못 먹어요ㅋㅋㅋㅋ 어느날부터 훅 먹게 되더라고요
P1 	: 근데 다른 생선은 딱히? 광어같은 건 여전히 안 먹어서...
P1 	: 해산물 좋아하시나요?
P0 	: 네! 좋아해요
P0 	: 연어 맛있죠 {emoji:♡}{emoji:♡}
P0 	: 오징어 회도 맛있구 낙지탕탕이도
P0 	: 저는 굴도 어릴때부터 좋아했어요 ㅎㅎ
P1 	: 저도 굴이나 조개 종류는 엄청 좋아해요
P1 	: 근데 은근히 못먹는 사람 많더라고요
P1 	: 취향을 꽤 타나봐요
P0 	: 식감이 안좋다던데 저는 좋아해여 ㅋㅋㅋ
P0 	: 저는 꼬막은 싫었었어요!
P1 	: 이건 다르네요 꼬막 맛있는데ㅋㅋㅋㅋㅋ
P0 	: 시골에 꼬막이 유명해서 맨날 먹었는데 꼬막맛은 잘 모르겠더라구요 ㅜㅜ
P1 	: 꼬막은 왜 별로세요?
P1 	: 아아ㅜㅜ
P0 	: 그리구 까면 손가락이 간지러워요ㅠㅠ
P1 	: 젓가락으로 까셔야죠!
P1 	: 좀 별난? 음식.. 오리고기같은건어떠세요
P0 	: 그래서 커서는 까주는거 아니면 안먹습니다..ㅋㅋㅋ
P0 	: 오리고기가 별난음식인가요???? 좋아해여!!
P1 	: 별난 음식이.. 아니었나요ㅋㅋㅋㅋㅋ 보통은 호불호가 갈릴 듯한?!
P0 	: 아 그런가요..? 호불호음식인지 전혀 몰랐어욤ㅁ
P0 	: 호불호 음식인지는 몰랐어요!!!
P0 	: 저는 잘 먹기는 한데 이제 자제하려구요ㅜㅜ
