# FILE DATA
ID : MDRW2100019835
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저도 같이 살아본 적은 아직 없어요ㅋㅋㅋ
P0 	: 치안도 그렇고
	  나중에 막 집 열쇠 잃어버리거나 사소한 일들로 힘들때 동반자가 잇으면 좀 좋겠네요
P1 	: ㅋㅋㅋㅋㅋ맞아요 그런 도움이 필요한 부분이 있을까 싶어서
P1 	: 선택지 중 하나로 고려해보고는 있어요!
P0 	: 같이 살면 든든하겟네요
P0 	: 저 막 공과금 문제 이런걸로 싸울까봐 ㅋㅋㅋ ㅜ
P1 	: 아니면 한 집에 살지 않더라도 서로 이웃으로 사는것도 고려 중이예요
P1 	: 아이고 렉걸려서 채팅이 느려요 헤헤
P0 	: 아 이웃 좋네요
P0 	: 비혼 아파트
P0 	: 아 천천히하세요 ㅋㅋㅋㅋ
P1 	: 공과금 저도ㅋㅋㅋㅋ걱정이 되긴 해요 집안일도 그렇고
P1 	: 근데 요즘 혼자 사는 여성들 대상으로
P0 	: 근데 제가 걱정이 좀 많은 스타일이어서 의외로 같이살아도 좋을지도요
P0 	: 오 네네
P1 	: 범죄가 자꾸 일어나니까 불안하기도 하고
P0 	: 맞아요..
P0 	: 같이 살면 든든할 것 같아요
P1 	: 걱정하시는 부분이 같이 지내기 전에 꼭 생각해봐야 할 주제라고 생각해요 저도!
P1 	: 실제로 같이 살다가 의 상하는 경우도 좀 봤어서 허허
P0 	: 그쵸 ㅋㅋㅋㅋ 저도
P0 	: 손절하는거 많이 봤어요 ㅋㅋㅋ ㅜ
P1 	: 그래도 궁금하긴 해서
P0 	: 몇십년 같이 산 가족들도 안 맞으니
P0 	: 당연한가봐요
P0 	: 가족들이랑 잘 맞으시나요 ㅋㅋㅋㅋ
P1 	: 일단 환상을 가지지 않고 해보는 게 목표랍니다
P1 	: 아유 가족들이랑 무지 싸워요
P1 	: 말씀 동의해요
P1 	: ㅋㅋㅋㅋㅋㅋㅋ평생 본 가족들도
P0 	: ㅋㅋㅋㅋㅋㅋ 가족들 어찌나 불편한지
P1 	: 안 맞긴 해요
P1 	: 맞아유
