# FILE DATA
ID : MDRW2100011067
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기술직 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 좋아하시는 음식은 무엇린가용
P1 	: 전 최애는 고기요ㅎ
P1 	: 스시도 좋아해요
P1 	: &name1&님은요?
P0 	: 오호 저두 고기랑 초밥 좋아해요 ㅎㅎ
P0 	: 초밥 못먹은지 좀 됐네요ㅠㅠ
P1 	: 곱창도 좋아하는데 비싸서 맘껏먹질 못하네요
P0 	: 곱창은 소곱창 말씀하시는거죵??
P0 	: 저는 사실 마카롱도 좋아해요 ㅎㅎ &name2&님 닉넴이 그래서 채팅건것도 있어용
P1 	: 아 다들 마카롱 좋아하시나봐요ㅎㅅㄴ
P1 	: 전 그냥 닉넴쓴건데 ㅋㅋ
P1 	: 마카롱은  쫀득한 식감인가요?
P0 	: 네네 ㅎㅎㅎ쫀득한편이에요!!
P0 	: 마카롱 가게마다 조금씩 다른데
P0 	: 저는 쫀득한 마카롱을 좋아해요 ㅎㅎ
P1 	: 제가 맛없는걸 먹었나봐요ㅎㅎ
P1 	: 푸석하고 달기만해서 그이후로 잘안먹었거든요
P1 	: 요즘은 뚱카롱이 유행아닌가요?
P0 	: 아 맞아요 ㅎㅎ뚱카롱이 유행이죵
P0 	: 단 음식 싫어하시면
P0 	: 입맛에 안맞을수도 있을거같긴해요ㅠㅠ
P1 	: 단음식을 좋아해요ㅎ 커피도 달달커피
P1 	: 담에 맛난 마카롱을 먹어봐야겠어요
P0 	: 아 그러면 맛있는곳에서 한번 드셔보시면 취향에 맞으실거같아요!
P1 	: 맛집 아시면 추천해주세요
P0 	: 아아랑 먹으면 완전 천국입니다 ㅎㅎ
P0 	: 서울에 사시나용??
P1 	: 네네
P0 	: 강남구청역 가까우시면
P0 	: 마츄피츄 맛있어요!무난하게 항상 맛난거같아요 ㅎㅎ
P1 	: 체인은 아닌가보네요 ㅎ
P1 	: 어떤맛이 맛있어요?
P0 	: 네네 마카롱은 개인가게가 더 맛있어요!
P0 	: 마츄피츄에서는 황치즈 맛있었어요 ㅎㅎ뽀또맛
P1 	: 아까 다른분도 그말씀 하시더라구요ㅎ
P1 	: 뽀또맛은 맛있겠어요ㅎㅎ
P0 	: 앗ㅎㅎ 워낙 유명한곳이라 ㅎㅎ
P0 	: 마카롱도 그냥 초코 바닐라같은 일반 마카롱도잇고
P0 	: 피자맛 마늘빵맛 이런 요리마카롱도있어서
P1 	: 밀크티맛도 있고하던데
P0 	: 취향 찾으시면 자주 드시게될거같아요 ㅎㅎ
P0 	: 맞아요 밀크티맛!
P1 	: 참고할게요 ㅎ 마츄피츄ㅎㅎ
