# FILE DATA
ID : MDRW2100044241
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅋㅋㅋㅋㅋㅋ중국에 진짜있대요ㅋㅋㅋㅋ
P0 	: 헐 맞아요
P1 	: 소문에 마약넣은거아니냐는 맛집있는데
P0 	: 저도 봤었어요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ역시 대륙 ㅠ
P1 	: 앜ㅋㅋㅋㅋ
P1 	: 일미리
P1 	: 의심해봐야합니다
P1 	: ㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 일단~~
P0 	: 드셔보고~~~!
P1 	: 일미리 금계세트 시키면되나요?
P0 	: 원래 찜닭 어느브랜드 좋아하세요?
P0 	: 앗 세트로는 안먹어봤어요
P0 	: 항상 순살간장으로만...
P1 	: ㅋㅋㅋㅋㅋ저는 갑자기생각안나서
P1 	: 지금찾아보고올게요 동네가게라
P1 	: 아아 순살간장!!!
P0 	: ㅠㅠㅠㅠㅠ 요새는
P1 	: 봉추찜닭이요!!!!!
P1 	: 네네
P0 	: 주말드라마에 피피엘도 하더라고요
P0 	: 오 봉추찜닭도
P0 	: 체인아닌가요?
P1 	: 봉추찜닭 체인맞아요!!!{emoji:★}
P1 	: 동네에있는데 이름이생각이안나서
P1 	: 지도에서 찜닭검색하고왔어요ㅋㅋ
P1 	: 앜ㅋㅋ찜닭 피피엘
P1 	: 찜닭세계관은 어디까지!
P1 	: 봉추찜닭 드실때 누룽지 꼭 드셔주세요
P0 	: 찜닭이
P0 	: 세계를 구할 거예요
