# FILE DATA
ID : MDRW2100005979
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 제주
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 악 왕날편 재밌죵
P0 	: 왕십리에서 이사를 가셔가지구 근데...ㅠ 안하신다구 하더라구욤
P1 	: 아 증망
P0 	: 티알피지 하는것도 보셔요!
P1 	: 내맴!
P1 	: 게임은 몰라서요
P0 	: 고것도 시간 뗴우기 잼썼어요
P0 	: 약간 역할극 하는건데
P0 	: 침착맨 삼국지 완전판도 재밌었구...
P0 	: 헉 근데 저 팬카페는 가입안했었는데
P0 	: 팬카페는 폐쇄됐다구 하더라구요
P1 	: 아ㅜ왜여
P0 	: 뇌절치는 친구들이 많아서 그랬다구 하더라구욤 ㅠ
P0 	: 침착맨 영상 나오는 다른 분들도 좋아하시는 편이셔요?
P1 	: 아 침착맨님 은근히 유교적이심
P1 	: 침펄풍이 완전체다 이말이다~
P1 	: ㅎㅎ
P0 	: 그쳐그쳐~~!!
P0 	: ㅋㅋㅋㅋㅋ주변 친구분들은 안보시나봐요!
P0 	: 저도 근데 주변에 보는 사람 없어요 ㅠ
P1 	: 넹?
P1 	: 왜여!!!
P0 	: 그니까요!! ㅠㅠㅠ
P0 	: 뭔가 코드가 맞아야 하나봐욤
P0 	: 그래도 상대적으로 클린한편이라 좋은디
P1 	: 근데 백예린님 노래 그건 좀 잘못했어요
P0 	: ㅋ ㅋㅋㅋ ㅋㅋ  ㅋㅋ
P0 	: 그건 아마 우리의 잘머ㅗㅅ은 아닐거야
P0 	: 그거요?!
P1 	: 네 그거 알려줬다가 짜증나게 중독성까지 있다고
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅌ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 최근에 영상 가루삼겹살
P0 	: 보셨어요?
P1 	: 네에 물론이죠
