# FILE DATA
ID : MDRW2100032743
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 요즘 뭐보는거있어?
P0 	: 난 지금 대탈출4 보고있어
P1 	: 나는 전한길쌤
P1 	: 유투브로 봐
P1 	: 언니는?
P0 	: 티비
P0 	: tvn
P0 	: 대탈출 지금 보는중
P1 	: 오오
P1 	: 나는대탈출보면서 방탈출게임도 저거랑 비슷할까?
P1 	: 궁금해
P1 	: ㅋㅋㄱㅋㅋ
P0 	: 역시 탈출 재밌어
P1 	: 그래?
P0 	: 방탈출이랑 완전 다르지
P0 	: 대탈출은 방탈출카페랑 연계하면
P0 	: 재밌을듯
P1 	: 오오 넘좋을듯
P0 	: 근데 그러기에 인원을 너무 많이쓰고 시간도 많이 써서
P1 	: 대신 비싸지겠지ㅜ
P0 	: 걍 방송으로 보는게 제일 나을걸 ㅋㅋㅋ
P1 	: 그치그치
P1 	: 엄마도 자주보시더라구
P0 	: 근데 보다보면 강호동이나 김동현 볼때
P0 	: 답답해 ㅋㅋㅋ
P0 	: 힘으로만 쓱 밀거나 소리만 지를땐 좀 넘기고싶어
P0 	: tv로 보는거라 넘길수없는게 아쉬워
P0 	: 유투브나 영상이였으면 1.5배속으로 봤을지도
P1 	: 그치..
P1 	: 게다가 대탈출은 리액션 많이 비쳐줘서
P0 	: 맞아맞아
P0 	: 그리고 고함지르거나 중요한 포인트라고 생각하는장면을
P0 	: 자꾸 계속 보여줘서
P0 	: 그것도 좀 자제를했으면 ㅋㅋ
P1 	: 그쵸
