# FILE DATA
ID : MDRW2100018286
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 마켓컬리에서 추천하실 만한 제품 있나요?!
P1 	: 차돌볶음밥이었나?? 그거 무난무난 괜춘했어요! 반찬도 좀 사봤었는데 약간 가격대비 별로더라구요 ㅋㅋㅋㅋ표고탕수육 이름이 이러니까 사고싶자나요!! 궁금하고!! 근데..넹.. 추천은 하지않습니닽ㅋㅋㅋㅋ
P0 	: 헉 차돌볶음밥! 이름부터 너무 맛있어보여요~
P0 	: 표고탕수육ㅋㅋㅋㅋㅋ 저도 혹했는데.......너무 맛있는 이름이에요....
P0 	: 탕수육 좋아하시나요~?
P1 	: 탕수육 좋아하져!!! 찹쌀탕수육 좋아합니당!!!
P1 	: 짬뽕국물이랑 먹구싶네요..
P0 	: 찹쌀 탕수육 너무 맛있지 않나요....안 먹은지 오래됐네요ㅠㅠㅠ
P0 	: 짬뽕이랑 짜장 중에 어느거 좋아하세요?!
P1 	: 동네 탕수육중에 찹쌀이 없어서 백종원 홍콩반점에서 포장해다 먹곤했는데 ㅋㅋㅋㅋ
P1 	: 저도 안먹은지 오래됐네요
P1 	: 아 짜장짬뽕...
P1 	: 그것은...너무...어렵습니다...
P1 	: 지금땡기는건 짬뽕국물!!
P0 	: 크....저도 짬뽕국물 택할거 같아요 지금이라면ㅋㅋㅋㅋ
P0 	: 내일 찹쌀탕수육 먹고 싶을 것 같아요....
P0 	: 또 다른 중국음식 뭐 좋아하세요?
P1 	: 마라탕이요 ㅋㅋㅋㅋㅋㅋㅋ한창 빠졌을땐 마라소스도 사서 마라샹궈해먹고 그랬어요 ㅋㅋㅋ
P0 	: 아 마라탕! 전 마라샹궈가 더 좋더라구요 ㅋㅋㅋㅋㅋ 저도 밀키트 사봤어요!!!!
P0 	: 마라소스는 하오디라오? 인가가 맛있다던데 드셔보셨나요!
P1 	: 하오디라오 사봤죠!!! 사먹는 마라맛나서 좋았어요!!!
P1 	: 홍대 하오디라오 매장가서 훠궈도 먹어봤어요!!
P1 	: 근데 그건 진짜 입이 얼얼 하더라구요
P0 	: 오오!!! 본격적이네요......! 전 하오디라오 안 가봤는데 확실히 맛이 다른가봐요! 본토의 맛에 가까운 거 같던데!
P0 	: 훠궈는 맛이 어떤가요?!
P1 	: 그런가봐요 매운거 잘먹는 제친구들도 얼얼하다고 할정도로 매움 이상으로 혀가 얼얼했어요 ㄷㄷ
P1 	: 저는 훠궈보단 마라탕이 낫더라구요!!
P1 	: 무슨맛인지 설명은 잘 못하겠지만ㅋㅋㅋㅋ
P0 	: 크악 ㄷㄷ 저는 맵찔이인데....무섭네욬ㅋㅋㅋㅋㅋㅋ
P0 	: 훠궈는 탕에 약간 샤브샤브? 같이 먹는거던가요?
P1 	: 맞아요맞아요!! 그리고 그 탕 종류가 여러개있더라구요~! ㅋㅋㅋ
P0 	: 그! 그건 알아요! 양쪽 다르게 해서 탕 고르는거! 백탕이 하얀거죠?!ㅋㅋㅋㅋㅋㅋ
P1 	: 밀키트 사보셨던건 괜찮았나요?!?!
P1 	: 맞아요 맞아요!! ㅋㅋㅋㅋㅋㅋ
