# FILE DATA
ID : MDRW2100002616
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210820
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 남성
birthplace : 경북
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  기타>온라인 커뮤니티
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 너 요즘 게임 하는거 있어?
P1 	: 모바일게임은
P1 	: 몬스터길들이기
P1 	: PC게임은 배틀그라운드나 이터널 리턴 정도?
P1 	: 이제 새로 나온 슈퍼피플 정식 오픈하면 할까 생각중이기도 해
P0 	: 너도 슈퍼피플 소식 들었구나?
P0 	: 요즘 배그도 재미없고 질려서 찾아보고 있었는데
P1 	: 응응 유튜브로도 봤고 소식도 들었고
P0 	: 출시하면 같이 할래?
P1 	: 그래 좋지~
P0 	: 혹시 다른 게임 소식같은거 들은거 없어?
P1 	: 딱히? 못들은거같아
P1 	: 넷마블에서 뭐 신작나온다는
P1 	: 얘기는 들은거같은데
P0 	: 아 혹시 모바일 겜 말하는거야?
P1 	: 응응
P1 	: 모바일게임인거같은데
P1 	: 아 그리고 배그에서도 이번에 모바일 신작 나오는거같고
P1 	: 모배는 별로인거같은데 그건 재밌어보이더라고
P1 	: 기존은 배그인데 추가를 음청 많이함
P0 	: 그것도 나오면 같이 해볼래?
P1 	: 그래 그러자!
P0 	: 게임 재밌는게 없어서 맨날 심심해 했었거든
P0 	: 맞다 너 드래곤블러드라고 알아?
P1 	: 들어는봤어!
P0 	: 나 그거 뭐 시켜먹다가 쿠폰이 6장 왔더라고
P0 	: 그래서 사전 예약 했었는데
P1 	: 오 사전예약중이구나
P0 	: 예약만하고 출시했는데 깔아보지도 않고 있어
P1 	: 아하
P0 	: 해볼 생각이면 쿠폰 줄게
P1 	: 한번 찾아보고
P1 	: 괜찮으면 따로 연락줄께~
P0 	: 응응
