# FILE DATA
ID : MDRW2100010304
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 대구
principal_residence : 서울
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 쇼핑 좋아하셔요??
P0 	: 전 인터넷 쇼핑 중독입니다 ㅋㅋㅋㅋ
P1 	: 저도요 ㅋㅋㅋㅋㅋㅋㅋ 방금도 잠옷 사고 왔어요 ㅋㅋㅋㅋㅋ
P1 	: 할인만 하면 기웃기웃ㅋㅋㅋㅋ
P0 	: 쇼핑할때 살아있음을 느낍니다 ㅋㅋㅋㅋ
P1 	: 와 ㅋㅋㅋㅋㅋㅋㅋ저랑 똑같으시네요
P0 	: 통장만 두둑했음 원이 없겠어요ㅋㅋㅋㅋ
P1 	: 근데 전 막상 택배 오면 팍 식어요...ㅋㅋㅋ
P1 	: 잘 뜯지도 않음 ㅠㅠㅋㅋ
P0 	: 저도 그래요 ㅋㅋㅋㅋ반품도 잘안해요 ㅋㅋㅋㅋ
P0 	: 다들 놀라더라구요~
P0 	: 택배를 기다리는그 동안 설렘 ㅋㅋㅋㅋ
P1 	: 아 맞아요 ㅋㅋㅋㅋㅋㅋㅋㅋ 설렘이 즐겁지 ㅋㅋㅋㅋㅋ 막상 받으면 딱히...ㅋㅋㅋㅋㅋ
P1 	: 전 너무 늦게 뜯어서
P1 	: 반품 기한이 지날 때도 엄청 많아요 ㅋㅋㅋㅋ
P0 	: 전 뭔가 배송비 아까워서 반품 안시키는데 다들 그돈이 더 아깝다며 ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 소확행 입니당^^
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아악 ㅋㅋㅋㅋㅋ맞아요 어쩜 이리 비슷하신지...ㅋㅋㅋㅋㅋㅋ
P1 	: 보통 뭐 쇼핑하세요?!
P0 	: 전..모든걸 다 해요 ㅋㅋㅋㅋ수세미부터 먹는것까지~
P0 	: 오프라인에서 사고나면..항상 뭔가 손해보는기분요ㅠ
P0 	: 가격차이가 넘 나니깐~
P0 	: 인쇼는 사랑이쥬^^
P1 	: ㅋㅋㅋㅋㅋㅋㅋ캬 진정한 쇼핑러버시군요 ㅎㅎ
P1 	: 그리고 특가로 뜨면 뭔가 홀린듯이 주문하게 되지 않나요?
P1 	: 오프라인은 진짜...ㅜ 이제 너무 비싸서 못 사겠더라고요
P1 	: 온라인가의 거의 2배일 때도 많고ㅠㅠ
P0 	: 맞아요ㅠㅠ 근데 애들 장난감 이런거는 즉흥적으로 사니ㅠㅠ 정말 손떨면서 사줘요~혹시나 인터넷찾아보면 반값이곸ㅋㅋㅋㅋ
P0 	: 특가면..일단 사고봅니다 ㅋㅋㅋㅋㅋ
P0 	: 언젠가는 쓸테니까요^^
P1 	: 아이고ㅠㅠㅠ 맞아요 사달라는데 또 안 사주기도...ㅜㅜㅜ 애매하고...ㅠㅠㅠ
P1 	: 그래도 돈으로 소소하게나마 행복을 살 수 있어 다행이네요..ㅋㅋㅋㅋㅋ
P0 	: 돈을..많이 벌어야..한다는 단점이요 ㅋㅋㅋㅋㅋㅋ
