# FILE DATA
ID : MDRW2100014262
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아뇨 저 거의 저승사자인데요
P1 	: 블랙맨입니다
P1 	: 근데 요즘 색 도전하고 있어요
P1 	: 쿨톤이세요 웜톤이세여?
P0 	: 어..
P0 	: 글쎄요 제 톤이 뭘까요
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 어떤색 도전하시나요
P1 	: 저 노란색이랑 빨간색
P1 	: 그리고 녹색
P0 	: 약간 따뜻한계열
P1 	: 쓰읍 무채색 잘어울리시면 쿨톤이신가
P0 	: 도전하시네요
P1 	: 근데 톤이 뭔상관인가요 걍 조으면 입는거죠
P0 	: 어때요 잘 받는 색 같나요
P1 	: 맞으요
P1 	: 넘 검정밖에 없다고
P1 	: 흰검 이래서 바코드냐고 하더라고요
P0 	: 바코듴ㅋㅋㅋㄱㅋ
P0 	: 아 저 여잰에
P0 	: 예전에
P0 	: 친구들이랑 옷을 입고나갔는데
P0 	: 빨강 노랑 초록이어서
P0 	: 니들은 소스모임이냐고
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 케첩 머스타드
P0 	: 케챱 머스타드 와사비
P1 	: 초록은 뭐죠?
P1 	: 아나 와사비
P0 	: 여기 다잇다고
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 쓰읍 웃을때가 아니네
P1 	: 다 내옷이네
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 앗..
P0 	: 그런일이
P0 	: 약간 소스색을 사랑하시는군요
P0 	: 멋지세요
