# FILE DATA
ID : MDRW2100043816
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅋㅋㅋ 그래도 대충 아실거 같은데요
P1 	: 아니 일이 힘들었어서 아예 까먹고 사셨나봐요
P0 	: 아 힘들기도 힘들었죠 제가 거기 간 이유가
P0 	: 시급이 높아서였거든요 ㅋㅋㅋ
P1 	: 넹넹
P1 	: 그럴거 같았어요
P1 	: 노동강도가 센일
P0 	: 네..ㅋㅋㅋㅋ
P1 	: 힘들어요 ㅠㅠ
P0 	: 그래도 재밌었어요
P0 	: 그리고 밥을 엄청 잘 주셔서
P0 	: 행복했어요 ㅋㅋㅋㅋ
P0 	: 칼국수 좋아하거든요 그거 먹어도 되고 냉면이나 떡먼둣국도 그냥 메뉴에 있는거 다 먹어도 되고
P1 	: ㅋㅋㅋ 밥 잘나오는 곳 좋은 곳이네요
P0 	: 아니면 밥이랑 반찬 찌개 해놓으셔서 그거 먹어도 되구요
P1 	: 와 그래도 먹을건 잘 주셔서 다행이었네요
P0 	: 그리고 사장님이 출출할때되면 백화점가서 빵이랑 아이스크림 이런거 잔뜩 사다주샸어욬ㅋㅋ
P1 	: 와 그건 좋았겠어요
P1 	: 하지만 일이 너무 힘든게 단점이었겠어요
P0 	: 네 힘든만큼 좋았어요 ㅋㅋㅋㅋ 그리고 사람 많은날엔 한시간이나 두시간 더 쳐서 주셨어요
P0 	: 네...ㅋㅋㅋ
P0 	: 하루종일 서있어서 다리가 항상 아팠어욮
P1 	: 와 그래도 인심좋은 분들이네여
P0 	: 그쵸 ㅋㅋㅋㅋㅋ 암튼 칼국수 짱 만두 짱
P0 	: 제가 좋아해요
P0 	: &name2&님 뭐 좋아하세요?
P1 	: 그만두고도 가서 먹을생각 있을거 같은 느낌이었어요
P1 	: 저는 과자 엄청 좋아해욬ㅋㅋㅋ
P0 	: ㅋㅋㅋ 기회만 되면 가고 싶은데 멀고 가게가 너무 바빠서 포기입니다 ㅋㅋ
