# FILE DATA
ID : MDRW2100042384
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 잘하셨어요 ㅋㅋㅋㅋ 저 녹차스콘 만들었는뎈ㅋㅋㅋ
P1 	: 스타벅스 스콘보다 맛있었어요
P0 	: 우와아아
P1 	: 역시 갓구운 스콘이 최고 ㅋㅋㅋㅋ
P0 	: 베이킹도 하세요???
P0 	: 대박
P0 	: 베이킹은 어렵지 않아요??
P1 	: 베이킹이라기보다는 스콘만 만들어욬ㅋㅋㅋㅋ
P1 	: 오로지 먹고 싶은거만 계속 만들어먹거든요ㅋㅋㅋㅋ
P0 	: 저도 그래욬ㅋㅋㅋㅋㅋㅋ 요리도 내가 먹고싶은거만
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋ 제가 질릴때까지 먹는편이라
P0 	: ㅋㅋㅋ저도 그렇긴한뎈ㅋㅋㅋㅋ
P1 	: 레몬케이크 한번 도전해보려고 했는데
P0 	: 그 질리는게
P1 	: 귀찮아서 포기했어욬ㅋㅋ
P1 	: 넹
P0 	: 하루 이틀이면 질려가지고 ㅠ
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋ 아 진짜여???
P0 	: 우와 케이킄ㅋㅋㅋㅋㅋㅋ
P0 	: 케이킄ㅋㅋㅋ는 진짜 대단한데요????
P1 	: 그럼 금방금방 바뀌시겠어요 요리 어쩔수없이 많이 하셔야될거 같은데요ㅋㅋㅋㅋ
P0 	: 그게 먹고싶으면 하루 3끼 다 그거먹어섴ㅋㅋㅋㅋㅋ
P0 	: 그쵸 ㅠㅠ
P0 	: 사먹어고그렇고 ㅠ
P1 	: 근데 스콘만들다가 케이크 만들 솜씨가 되겠습니까 ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 빠르게 포기하고 사먹기로 했어욬ㅋㅋㅋ
P0 	: 아..그런건가요
P0 	: 요즘 일일 베이킹 체허
P0 	: 험
P0 	: 이런것구 해보고싶긴해요
P0 	: 가격이얼만지는모르겠지만ㅋㅋㅋㅋㅋ
P1 	: 일일 베이킹 체험하면 마카롱 해보고 싶네요
P1 	: 꼬끄 만들기 배워보고 싶어요
P0 	: 오호오호
P0 	: 가장 많은게 그런거샅아요
P0 	: 마카롱 ㅋㅋㅋㅋㅋ
P1 	: 근데 보통 꼬끄를 생략하더라고욬ㅋㅋ
P0 	: 아니 그런!!!!!!
P0 	: 나쁜!!!!!!
P0 	: 그럼 뭘...
P0 	: 도대체
P0 	: 뭘!!!!!
