# FILE DATA
ID : MDRW2100026855
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 여행

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경북
principal_residence : 경남
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 와ㅠㅠㅠㅠㅠ 너무 부러워요ㅠㅠㅠㅠ
P1 	: 저 유럽여행 꼭 가보고 싶었거든요ㅠㅠ
P1 	: 유럽여행 어디어디 다녀오셨어요??
P0 	: 처음 배낭여행간거라
P0 	: 기본나라들로 갔어요
P0 	: 영국 프랑스 독일 오스트리아 이탈리아
P0 	: 이렇게요ㅎㅎ
P1 	: 알차게 다녀오셨네요ㅠㅠ
P1 	: 배낭여행이면 혼자서 가셨나요?
P0 	: 말이 배낭인데 친구랑요ㅋㅋ
P0 	: 스페인이랑
P0 	: 스위스도 가고싶었는데
P0 	: 날짜도 애매하더라고요ㅠㅍ
P1 	: 날짜랑 시간이 참 마음대로 안되죠ㅜㅜ
P1 	: 그래도 친구랑 좋은 추억 만드셨을 것 같아요!!
P0 	: 대학다니면서 방학 때 틈내고 다녀온거라ㅜ
P0 	: 정말요! 솔직히 서로 답답한 면도 있었을거예요
P0 	: 맘에 안 드는 부분도 분명 있었을테고
P0 	: 근데 친구가 많이 양보해주고 서로 조심해서 싸우지 않고 왔어요ㅋㅋㅋㅋ
P1 	: 와 진짜 바람직한 여행을 다녀오셨네요ㅋㅋㅋ
P1 	: 저는 국내여행 다니면서 친구들이랑 정말 많이 싸웠거든요
P1 	: 메뉴 정하다가 토라지고 가고싶은 곳 정하다 토라지고...ㅋㅋㅋ
P1 	: 저희가 MBTI J와 P의 싸움이다 보니 J는 계획에 벗어난 건 못 받아들이고 P는 즉흥적으로 어디 가고 싶은데 다 안 된다고 하니 삐지고ㅋㅋㅋㅋ
P0 	: 앜ㅋㅋㅋㅋㅋㅋ국내여행에서 싸우긴했어요
P0 	: 친구들 mbti를 몰라서 모르지맘
P0 	: 입맛이 살짝 안 맞아요ㅋㅋㅋㅋㅋㅋ
P1 	: 아 진짜 여행하면 입맛 맞는 친구들끼리 가야해요... 서로 가고 싶은 곳 싸우다가 밥 먹는 내내 얼음판된 적도 있어요ㅋㅋㅋㅋ
P0 	: 저는 제가 맵찔인데
P0 	: 여행갔는데 거기가 또 뭔 매운게 맛집이라능거예요....
P0 	: 친구들은 잘 먹는데 저만진짜 물 이리터
P0 	: 마시고 배고파 죽겠는데ㅜㅜ
P0 	: 짜증팍팍내서 싸해진적 잇어요....ㅎㅎㅎ
P1 	: 아 그럴 때면 속상하긴 하죠ㅜㅜ 다 같이 먹을 수 있는 걸로 고를 수도 있는데ㅠㅠ
P0 	: 어제 친구랑 옛날 여행얘기하니까
P0 	: 너무 좋더라고요ㅠㅠ
P1 	: 추억이 정말 많으신 것 같아서 이야기하면서 행복하셨을 것 같아요^^
