# FILE DATA
ID : MDRW2100023324
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 제주
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 최근 구매한 물건있으신가여
P1 	: 넵!!
P1 	: 오늘 네이버 적립 해주는날이라서
P1 	: 테팔 블렌더 샀어요
P1 	: 집에서 프라페 해먹으려구요 흐흐
P0 	: 블렌더 사셨군요
P0 	: 저도 토마토 갈아먹는거 좋아해요
P1 	: 네네
P1 	: 오오 토마토 같은거 사서 갈아먹어조
P1 	: 먹어도
P1 	: 건강에 좋을거같네요!!ㅎㅎㅎ
P0 	: 저는 믹서기인데 수동으로 하는거
P0 	: 최근에 당근에서 나눔받았어여
P0 	: 새거요
P1 	: 헉 진짜요???!
P1 	: 당근에서 새것도 나눔을 하는군요!!!
P1 	: 대박
P0 	: 매의 눈으로 봐애해요
P0 	: ㅋㅋ
P0 	: 근데 중고거래도 싸게 사서 되파는 사람들도 많다고 해요
P1 	: ㅋㅋㅋㅋㅋㅋㅋ안놓치려면 자주자주 들어가봐야겠어요
P1 	: 앗 정말요?? 그걸로 용돈벌이 하는건가요...뭔가 되게 치사하네요;;
P0 	: 그니까여
P0 	: 좋은 마음으로 나눔하시는건데
P0 	: 저도 제주 오기전에 무나 많이 했죠
P1 	: ㅜㅜㅜ진짜 좋은맘으로 하는 사람들한테 배신감 들겠어요
P1 	: &name1&은 제주 내려가시기 전에 정리하시느라 무나하신거에요?
P0 	: 네 물건이 많진 않았는데 겸사겸사 택배비가 비싸서요
P1 	: 아하~~~
P1 	: 그렇겠네요 제주도는ㅠㅠ
P1 	: 그럼 지금 집은 옵션 다 돼있는데 들어오셨겠네요?
P0 	: 네 냉장고 세탁기 다 있지요
P0 	: 그래도 필요한 물건은 자꾸 생기긴 하는데요 ㅎㅎ
P1 	: ㅎㅎㅎ그래도 풀옵션에 들어가셔서 좋으시겠는데요
P1 	: 제주도는 당근마켓하면
P1 	: 귤이 많다던데... 진짜인가용??!ㅋㅋㅋ
P0 	: 아 맞아요
P0 	: 요즘 천귤이 많이 나오네요^^
P0 	: 청귤!
P1 	: 앗 맞아요!!
P1 	: 저희집도 얼마전에 청귤 샀어요 ㅋㅋㅋ
P1 	: 청귤청 담궈먹으면 좋을거같아요 ㅎㅎ
P0 	: 오 저도 오늘 청귤사서 청만들었어요
