# FILE DATA
ID : MDRW2100011945
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 여행

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 국내말고 해외는
P1 	: 가고싶은데 있어?
P0 	: 나 유럽!
P0 	: 유럽 환상도 깨지기는 했는데
P0 	: 영어공부 열심히 하고 간다음에 가서 영어 써보고 싶어
P0 	: 너는?
P1 	: 나도 유럽...ㅋㅋㅋㅋㅋㅋ나도 환상 진짜많이 깨졌는데
P1 	: 그래도 예쁜건물이나 풍경 이런거 구경하고 힐링하고싶음
P1 	: 근데 사람많은 시기말고
P0 	: 응응
P1 	: 돈많이벌어서 무조건 사람없는시기에 한적하게 여행해야함
P0 	: 사람 없는 시기가 있을까...?
P0 	: 난 무조건 겨울
P1 	: 겨울 좋지
P0 	: 영국의 해리포터 겨울느낌을
P0 	: 원한다..ㅡ
P1 	: 와....겨울에 꼭가자
P0 	: 좋아
P1 	: 가서 그 9 3/4승강장가서
P1 	: 머리박고오자
P0 	: 친구끼리 다니면
P0 	: 싸운다니까
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 따로 여행하다가
P0 	: 만나서 또 여행하고
P0 	: 각자 가고 싶은곳 같다가
P0 	: 같이가고 그러자
P0 	: 보더로운 생활 그 언니도 그렇게 했더라
P0 	: 근데 피곤해서 싸울일이 생길 수 밖에 없을것 같아
P1 	: 오 그거도 좋겠다
P1 	: 확실히 우리는 체력이나 에너지가 쓰..레..기니까ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아니야
P1 	: 가고싶은데 갔다와서 숙소에서 같이 얘기하고 그러면
P1 	: 진짜좋을듯
P0 	: 건강한 몸 만들어서
P0 	: 구석구석 돌아다녀야지
P0 	: 난 영국 갔디가 아이스란드도 가고 싶어
P0 	: 아이스란드에서 오로라 보고 싶어
