# FILE DATA
ID : SDRW2100001344
category :  구어 > 사적대화 > 협력적대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211115
topic : 지역 내 기피시설 설치 > 기피시설 설치시 지역주민들의 불편과 이익, 정부의 소통문제

# SPEAKER_INFO
id : SD2100747
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 대졸

id : SD2110748
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 대전
principal_residence : 서울
current_residence : 서울
education : 대졸

# SETTING
relation  :  모임_동아리 지인


P1 	:저는 / 어. /
	 (()) 기피 시설에 대해서 굉장히 반대하는 입장인데. /
	 저는 제가 살고 있는 지역에 / 열병합 에너지가 들어온다고 / 지금 하 얘기하고 있거든요 근데 / 어 이게 처음부터 열병합 에너지를 반대했던 거는 아닌데. /
	 처음에 얘기했던 거랑은 너무 다르게 설치를 한다고 해서 / 이건 너무 주민을 생각하지 않은 / 부분 아닌가 해서 반대를 하게 됐어요. /
	
P0 	:열병합 에너지가 / 환경을 쫌 많이 해칠 / 수 있는데 혹시 처음과 달라진 / 하지만 그 / 어. /
	 서울 시내에서 / 그 서울 시민들이 필요한 에너지를 / 충당하기 위해서는 꼭 필요한 시설이잖아요? /
	 혹시 어떤 부분 때문에 / 어 아 어떤 점이 많이 달라져서 / 이렇게 반대를 하게 되신 건지 궁금합니다. /
	
P1 	:일단 초반에 주민들한테 동의를 받을 때는 / 굉장히 작게 시설을 만들겠다고 했지만 / 지금 만 / 지금 얘기하고 있는 부분은 굉장히 크게 시설을 만들고 있고 / 그리고 저는 / 그 지역 주민들이 / 사용할 에너지를 만든다는 거에는 어느 정도 공감은 하지만 / 반대를 하는 이유는 / 이미 저희 지역에서 이 / 인 지역에 다른 기피 시설에 있거든요. /
	 뭐 뭐. /
