# FILE DATA
ID : SDRW2100001984
category :  구어 > 사적대화 > 협력적대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211101
topic : 비대면 생활이 미치는 영향 > 반대 : 비대면의 부담과 힘듦

# SPEAKER_INFO
id : SD2101807
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 경기
principal_residence : 충남
current_residence : 경기
education : 대졸

id : SD2101808
age : 40대
occupation : 무직/취업준비생
sex : 남성
birthplace : 경기
principal_residence : 서울
current_residence : 경기
education : 대졸

# SETTING
relation  :  모임_동아리 지인


P0 	:요즘 보면 코로나 때문에 / 비대면 일상이 생활화 됐는데 / 어~ 사람들마다 생각이 다른 거 같더라고요. /
	 뭐 오너 오너나 경영진에서는 비대면을 / 별로 좋아하지 않는 거 같고 / 직장을 다니는 사람들은 재택근무를 하니까 되게 / 찬성을 하는데 저는 개인적으로 / 비대면을 찬성하거든요. /
	 어~ 집 안에서 일을 해도 되게 효율적으로 할 수 있고 / 여러 가지 새로운 그 시대의 가능성을 / 만들어 낸다고 생각을 해요 그리고 거역할 수 없는 / 그 시대적인 사명이 아닌가 이런 생각을 하는데 / 어떻게 생각하십니까? /
	
P1 	:요새 코로나 시대로 인해서 어쩔 수 없이 뭐 / 비대면으로 하고 있지만 그래도 이런 경제 상황이나 / 이런 / 교육도 그렇고 / 이런 측면에서 봤을 때 / 물론 잠시나는 / 비대면 할 수 있지만 결국에는 다시 예전처럼 / 그 / 경제적인 상황을 봤을 때는 / 걔네들은 / 가야 되는 거 아닌가? /
	
P0 	:음 경제적 상황이라고 얘기 하셨는데 / 어떤 대기업들이 속내가 어떤지는 모르겠는데 / 비대면을 이제 받아들이겠다 우리는 비대면을 일상화 하겠다. /
	 뭐 포스트 코로나 이런 얘기들 많이 하면서 / 직원들한테 재택근무를 되게 독려하고 / 그런 거를 언론지 상에도 되게 / 홍보를 많이 했어요 그러면은 / 경제적인 거나 어떤 생산성에 문제가 없기 때문에 / 어떤 재택근무를 촉진시키는 게 아닌가? /
	 저는 그렇게 봤거든요. /
	
P1 	:그것도 회사나 기업 그 / 고용주 오너 입장에서는 그 / 업무나 일의 특성 상 / 재택근무가 필요한 해도 되는 그런 / 직종이나 업무가 있지만 이런 / 회사 사람들하고 / 이런 대면적으로 필요한 그런 / 일도 있기 때문에 / 계속 / 지금처럼 비대면으로 하기에는 / 쫌 부담이 많은 게 사실인 거 같애. /
	
P0 	:음 저는 요즘에 사람들이 / 서울에서도 많이 안 살고 수도권에도 많이 살잖아요. /
	 근데 이제 그런 사람이 출근을 서울로 하고 / 뭐 부산이나 이런 권역에서도 비슷할 거 같아요. /
	 그까는 시공간적으로 제약이 많은 사람들이 / 아까 말하신대로 업무적으로 문제가 없는 선에서는 / 재택근무를 하면은 / 서로 좋은 문제가 아닌가? 서로 좋은 일이 아닌가? 뭐 / 직업인 입장에서는 / 비용을 절감할 수 있고 시간을 줄일 수 있고 / 경영인 입장에서는 마찬가지로 비용을 절감하고 / 효율적으로 운영할 수 있지 않나? 이 생각이에요. /
	
P1 	:이런 / 그런 효율적인 거 따진다면은 요새는 / 그 재택도 / 많이들 하지만 이제 특히 스마트 / 그 재택이래서 이제 권역별로 이렇게 / 사무실이나 그런 거를 해 가지고 거기서 이제 꼭 / 본사 사무실까지 와 가지고 / 일을 하지 않아도 이제 / 그런 절충적인 형태도 많이 / 나타나고 있는 거 같애. /
	
P0 	:그런 절충적인 형태가 결국에는 / 재택근무가 수반이 돼야지만 / 가능한 부분이라고 저는 생각을 하고 / 특히 이 교통체증을 생각하면은 정말 / 재택근무를 하지 못하는 직원들은 나와야겠죠. /
	 어쩔 수 없이 나와야 되지만은 / 컴퓨터로 요즘에 다 일을 하는 세상이고 스마트폰으로 일을 하기 때문에 / 어~ / 그냥 집이나 까페 같은 데서 일을 하면은 / 교통체증도 훨씬 쫌 줄어들지 않을까? 이렇게 생각을 해요. /
	
P1 	:근데 그 / 업무나 직종 특성 상 이제 사람을 / 만나거나 하는 이런 영업직이라던가 인제 그거 / 사람들하고의 그 직접적인 / 결과물이 이러는 산업 쪽에서 필요하는 그런 쪽에서는 / 그 비대면보다는 대면이 / 하는 게 / 그 / 업무 특성 상 / 어쩔 수 없이 없는 부분이 있기 때문에 대면을 / 해야 되는 거 같애. /
	
P0 	:어떤 공장이나 이런 곳에서도 / 실제로 그 시설을 제조하거나 이런 상황이 아니면은 / 요즘에 로보트 / 스마트 팩토리라고 해서 로보트를 통해서 / 로봇을 통해서 운영을 하고 관리하고 이러기 때문에 / 현장에 인력이 많이 필요가 없다고 하더라고요. /
	 뭐 물론 이제 초기 단계고 시작 단계긴 한데 / 그런 것들을 발전을 시키는 게 / 시대적인 흐름이고 대세라고 생각을 하고 저는 / 그러기 위해서는 / 어 일단 기업부터 재택을 시키는 문화가 / 어 정착이 되어야 되지 않나? 이렇게 생각합니다. /
	
P1 	:근데 오너 입장에서는 재택을 시키면은 / 그~ / 인건비라던가 그런 거는 / 고려를 / 해야 하기 때문에 / 직접 그 생산 효율성은 / 또 / 대면 했을 경우가 더 / 높이 나타나는 경향이 있 / 통계적으로 보여 주고 있어. /
	
