# FILE DATA
ID : SDRW2100004250
category :  구어 > 사적대화 > 협력적대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20220123
topic : 가짜 뉴스에 대한 징벌적 손해배상 > 찬성 : 가짜뉴스로 인해 피해를 보는 사람들이 많아서 찬성.

# SPEAKER_INFO
id : SD2101210
age : 40대
occupation : 주부
sex : 여성
birthplace : 충남
principal_residence : 대전
current_residence : 대전
education : 고졸

id : SD2101211
age : 60대 이상
occupation : 주부
sex : 여성
birthplace : 충북
principal_residence : 대전
current_residence : 대전
education : 대졸

# SETTING
relation  :  기타


P1 	:뉴스를 보면은 요즘에는 / 어떤 걸 믿어야 될지 / 진짠지 / 참인지 알 수가 없고 / 또 요즘에 / 언론도 -마차- 저기 에스엔에스나 이런 것도 보면은 / 이 저게 진짜 맞는 건지 안 맞는 건지 / 그렇게 / 그런데 / 지금 이제 / 컴퓨터나 또 피씨가 있음으로 인해서 에스엔에스를 하니까 많은 사람들이 진짜 하고 싶은 말을 / -이- 응 동영상이나 이런 거 찍어 가지고 / 많이 하니까 / 많은 사람들이 알고 알게 되어서 / 좋은 거 같애 -옛날- 옛날에도 뭐 이런 게 사실 있었지만은 / 그렇게 널리 알리지는 못 했잖아 그래서 / 자기 거를 / 자기가 만들어서 표현하고 하는 게 너무나도 / 좋은 거 같애. /
	 응 / 근데 인제 진짜 / 그~ / 자기가 표현을 그케 / 잘해서 / 어 / 너무나도 좋고 / 또 나도 유튜브 같은 것도 막 찍어 보고 싶고 그렇던데 / 뭐 있는 사실을 / 그 자유롭게 하니까 너무나도 좋고 / 그래서 그 유튜브 / 중간중간에 나도 많이 보고 요즘 코미디에서도 뭐 / 플레이 하면은 나와 가지고 막 하고 하는 거 뭐 / 뭐 / 그런 개그도 하고 뭐 하대. /
	 그래서 / 너무 좋은 거 같애. /
	
P0 	:근데 그렇게 해서 좋은 건 맞아. /
	
P1 	:(()) /
	
P0 	:어 / 나도 보기도 하고 그러는데 / 그런 것들이 정말 사실인지 /
	
P1 	:(()) /
	
P0 	:응 거짓이 나는 그런 걸 나오면 다 믿거든 /
	
P1 	:(()) /
	
P0 	:사람 말을 참 잘 믿는다고 이제 아들한테 퉁하는데 / 뉴스 나오는 거 뭐 그런 거를 / 그걸 어떻게 다 믿어 /(note : 발화겹침) 우리 아들은 그런 현실주의적인 거 같고 나는 감성적이라서 믿거든요 근데 /
	
P1 	:(()) /
	
P0 	:그거를 잘못해서 정말 가짜 뉴스 / 응 거짓 / 사실과 다른 거를 보도하고 그렇게 누튜브에 -찍- 올리다 보니까 /
	
P1 	:(()) /
	
P0 	:자살하는 사람들도 있고 상처받는 사람들도 있고 /(note : 발화겹침) 그건 누가 다 보상할 꺼야 그럼 /
	
P1 	:(()) /(note : 발화겹침) (()) /
	
P0 	:근데 그 사람들 처벌하는 것도 쉽지가 않아. /
	
P1 	:(()) /
	
P0 	:어떻게 찾아서 처벌할 꺼야 그거를 / 어 / 근데 그런 거는 좀 안 좋고 막아야 된다고 생각해. /
	 너무 /
	
P1 	:(()) /
	
P0 	:난무해. /
	 그거를 이렇게 걸르는 기관이 없어. /
	 응 그런 것이 / 긍까 걸르는 기관이 있어서 / 그거를 좀 잡아 줬으면 좋겠어. /
	 피해 보는 사람들도 생각을 해야지. /
	 너무 힘들잖아. /
	 응 / 친구들 거 친구들만 다퉈도 지금 저긴데 / 나한테 거짓 내가 사실이 아닌 걸 갖다가 / 보도를 해 가지고 온 세상 사람 다 알고 있다고 생각해 봐 어떻게 얼굴을 들구 다니겠어. /
	
P1 	:(()) /
	
P0 	:그르케 하면 안 되지. /
	
P1 	:그렇다고 해서 그 사람들을 처벌하는 것도 그렇잖아. /
	 사람은 표현의 자유가 있잖아. /
	 내가 그거를 / 이런 식으로도 말할 수 있고 뭐 이렇게 / 뭐라고 해야 하나 빗대어서 얘기할 수도 있고 / 이렇게 누구를 상징해 가지고 / 하기도 하고 / 그래서 / 사람한테는 알 권리가 있기 때문에 / 또 언론의 자유가 있잖아 그거를 너무나 막으면 / 안 될 거 같애. /
	 가짜 뉴스라고 할지라도 / 그 사람한테 뭐 피해 주지 않는 선에서는 / 어 / 다 웬만큼은 다 인정해 줘야 되지 않나 이런 생각을 해 보거든 / 그러니까 지금 뭐 / 뭐 -정- 정치했던 사람들이 -나와- 나와서 유튜브 만들고 뭐 / 무슨 이상한 거 많더라고 그런 거 / 그런데 그거를 들어 보면 또 / 각자 자기 의견을 얘기를 하니까 / 또 저런 얘기도 들어서 한 번 생각도 해 보고 / 그래서 / 널리 사람들이 많이 이렇게 표현을 하고 그러니까 지금 유튜브가 막 / 많이 나오고 하니까 나는 / 너무나 좋은 거 같애. /
	 그서 / 응 / 그~ / 가짜 뉴스에 대한 징벌 같은 걸 너무 / 디테일하게 하면 안 되는 거라고 생각해 / 많이 /(note : 발화겹침) (()) /
	
P0 	:으 응 / 자기 생각이 맞다고 해 가지고 타인한테도 다 맞는 게 아니거든. /
	
P1 	:(()) /
	
P0 	:그렇잖아? /
	(note : 발화겹침) 그리고 /
	
P1 	:(()) /
	
P0 	:사실을 사실대로 보도하면 상관이 없어. /
	(note : 발화겹침) 아닌 것을 기다고 흰 것을 검다고 하고 검은 것을 희다고 하고 이런 것들이 문제가 된다는 거지. /
	
P1 	:(()) /
	
P0 	:그르케 하고도 아무 죄책감이 없어. /
	
P1 	:(()) /
	
P0 	:이거는 안 되지. /
	(note : 발화겹침) 응 처벌을 해야지 당연히 /
	
P1 	:(()) /
	
P0 	:자기 /(note : 발화겹침) 그 언론의 표현의 자유는 있다고 쳐. /
	
P1 	:(()) /
	
P0 	:표현은 자유 있다고 해 가지고 -나- 다른 사람 타인한테 /(note : 발화겹침) 그~ 피해를 주면 안 되지 /(note : 발화겹침) 근데 /(note : 발화겹침) 피해를 주는 -줄- 줄도 모르고 있어. /
	(note : 발화겹침) 너무 -어- 어처구니없는 일 아니야? /
	 그건 안 되는 거지. /
	(note : 발화겹침) 사실을 사실대로 얘기해도 지금 부족할 판인데 /
	
P1 	:(()) /
	
P0 	:지금 사실이 없어 어떤 게 /(note : 발화겹침) 거짓말 너무나 많아. /
	
P1 	:(()) /
	
P0 	:진실과 너무 다른 것들이 너무나 많아. /
	(note : 발화겹침) 일파만파로 퍼져 가지고 -오- /(note : 발화겹침) 어 /(note : 발화겹침) 급기야는 어떤 사람들은 목숨까지도 버리는 일이 있다는 거지. /
	
P1 	:(()) /
	
P0 	:이래서는 안 되는 거지. /
	
P1 	:(()) /
	
P0 	:응 그런 것들을 갔다가 /(note : 발화겹침) 자제할 수 있는 -고- 처벌을 해야지 그런 것들 /
	
P1 	:(()) /
	
P0 	:그런 처벌을 하는 기관이 없기 때문에 /(note : 발화겹침) 자기들이 맘대로 진짜 표현하고 자기 맘대로 / 어 / 얘기를 한다는 거지. /
	
P1 	:-그렇- 그렇다고 해서 뭐 / 이런 것들을 제재하거나 하면은 / 응 창의성이 얼마나 개발이 많이 되는데 뭐 / 예를 들어서 인터넷 같은 거 보면은 / 몇 분만에 내가 뭐를 해결해 드립니다 하면서 막 하는데 / 사실이 아닌 것도 있는 거 -가- 같지만 그거를 보면서 / 너무나 기발한 아이디어와 독창성 / 창의성 막 이런 게 개발이 되면서 / 엄청나게 어 발전이 되고 어 / 좋은 거 같애. /
