# FILE DATA
ID : SDRW2100001028
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211001
topic : 취직 > 공모전 과정, 가고싶은 공기업

# SPEAKER_INFO
id : SD2101019
age : 20대
occupation : 학생
sex : 여성
birthplace : 경남
principal_residence : 전북
current_residence : 전북
education : 대재

id : SD2101020
age : 20대
occupation : 학생
sex : 여성
birthplace : 전북
principal_residence : 전북
current_residence : 전북
education : 대재

# SETTING
relation  :  친구


P0 	:그래도 이게 공모전이잖아. /
	 나는 생각보다 너 /(note : 발화겹침) 그때 나갔을 때 몇 팀 나갔다 그랬지? /
	
P1 	:네 팀 /
	
P0 	:우리 지금 열한 팀 나갔대. /
	
P1 	:아 진짜? /
	 근데 생각보다 인터넷인데 많이는 안 했다. /
	
P0 	:나도 쫌 / 아니 근데 나는 아예 안 할 줄 알았거든. /
	
P1 	:음~ /
	
P0 	:너 전팀에도 한 여섯 팀? /
	
P1 	:아 진짜 전 /
	
P0 	:작년에도 여섯 팀 이렇게 나왔다 그래 가지고 /
	
P1 	:점점 참가를 안 하는구나. /
	
P0 	:너 때 너 때 네 팀이었다매 /
	
P1 	:근데 우리 전에는 쫌 많이 했어. /
	 근데 우리 때부터 / 되게 참여 안 한거 같애. /
	 그래서 &name1&이 오빠랑 &name2& 오빠 할 때는 더 많이 나왔을 걸 /
	
P0 	:아 / 그래서 나는 여섯 팀이 나와 가지고 여섯 팀이 뽑인 줄 알았단 말이지. /
	
P1 	:응 아이 그건 아니지 야 잘했네 근데 /
	
P0 	:어 그래서 점 잘했다고 생각해. /
	
P1 	:반절은 들어갔는데 반절 안에는 /
	
P0 	:어. /
	(note : 발화겹침) 이제 돈 무조건 받으니까 /
	
P1 	:그니까 /
	
P0 	:근 /
	
P1 	:그리고 이거 그걸 자소서에 쓰는 거야 이제 /
	
P0 	:어 그 딱 이제 그 /(note : 발화겹침) 쩨일 마지막 상이 뭐더라 무역협회장 상인가? /
	
P1 	:위원회 상 /
	
P0 	:무역위원회 상? /
	
P1 	:어 무역위원회 상이었나 그거였어. /
	
P0 	:어 맞는 거 같애 무역위원회 어. /
	
P1 	:우수상 /
	
P0 	:그 위에가 무역협횐가 /
	
P1 	:아마도 /
	
P0 	:그랬던 거 같애. /
	 그 위에가 /(note : 발화겹침) 뭐 장관상이었는데 /
	
