# FILE DATA
ID : SDRW2100001347
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211115
topic : 방송/연예 > 서로가 보는 프로그램의 취향차이, 최근 잘 챙겨본 예능

# SPEAKER_INFO
id : SD2100749
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 서울
education : 대졸

id : SD2100750
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 대졸

# SETTING
relation  :  친구


P0 	:요즘에 / 티비에서 스트리트 우먼 파이터 너 엄청 재밌게 봤지? /
	
P1 	:나 스우파 / 지금도 너무 좋아. /
	 종영했는데도 아직도 너무 좋아. /
	
P0 	:콘서트는 안 갔잖아. /
	
P1 	:가고 싶었어 솔직히. /
	 그거 티켓팅 하고 싶었는데 / 실패했지. /
	
P0 	:근데 나는 쫌 걱정되는 게 / 얘네들이 이 사람들이 / 어 갑자기 / 공인이 된 거잖아. /
	 근데 어느 순간 또 이제 관심이 사그러들거잖아. /
	 그래도 너는 계속 응원할 거야? /
	
P1 	:근데 나는 / 원래부터 춤추고 이런 거 되게 좋아했어서 / 나는 계속 좋아할 거 같아. /
	 지금 이거 스우파 나왔을 때 / 처음에 나는 안 봤잖아. /
	 너가 추천해 줘서 / 보긴 했지만 / 너무 멋있는 거야. /
	 그 얘네가 / 지금 이렇게 / 다 잘 되고 있는 것도 너무 좋고 / 나는 계속 좋아할 거 같아. /
	
P0 	:그러면 그 중에서 누가 제일 좋았어? /
	
P1 	:나는 코카앤버터. /
	
P0 	:왜? /
	
P1 	:정통 / 힙합이라고 해야 되나? /
	 춤추는 게 다들 / 나는 그런 스타일 춤추는 거 너무 좋아해. /
	
P0 	:아 니 스타일이 그런 거랑 되게 잘 맞는 거구나. /
	
P1 	:맞아. /
	(note : 발화겹침) 너는 어디가 제일 좋았어? /
	
P0 	:나는 당연히 프라우드먼이 제일 좋았지. /
	 왜냐면 거기에 나오는 / 그 수장이 / 나랑 너무 비슷한 스타일이고 / 나는 그런 강압적이고 강한 리더상을 되게 좋아하기 때문에 / 내가 나중에 집단을 이끌더라도 아 나는 저런 리더가 되고 싶다는 생각을 하는 거지. /
	
P1 	:나는 너무 무서웠는데. /
	
P0 	:근데 너랑 나랑 성향 차이가 있잖아. /
	 그래서 뭐 예를 들면 같은 프로그램을 봐도 / 너는 좋아하고 나는 안 좋아하고 이런 게 쫌 있고 / 스우파 내에서도 우리가 좋아하는 팀 스타일이 완전 다른 것만 봐도 그렇고 / 또 우리가 갈렸던 티비 프로그램 뭐가 있지? /
	
P1 	:뭐가 뭐가 있어? /
	
P0 	:나는 좋아하고 니가 / 뭐 싫어하고 이런 식이 있었나? /
	 오징어 게임도 안 봤잖아 너. /
	
P1 	:응. 나 안 봤어. /
	
P0 	:그걸 왜 안 보는 거야? /
	
P1 	:한번 보기 시작하면 / 뭐 잘 볼 거 같긴 하는데 왠지 / 안 끌려. /
	 그런 주제가 별로 나한테 / 끌리는 주제가 아니야. /
	
P0 	:근데 너 옛날에 나랑 / 그 오징어 게임이랑 되게 비슷한 / 그 만화는 같이 만화 카페에서 봤던 거 기억나? /
	
P1 	:어. 기억나는데 나는 그것도 / 보다가 처음에 보다가 / 안 봤어. /
	
P0 	:아 니가 그런 쫌 데스 게임류를 / 안 좋아하지. /
	
P1 	:안 좋아한다기보다는 / 재밌으면은 보는 거 같은데 그렇게 재밌지는 않은데. /
	
P0 	:음. 왜냐면 나는 오징어 게임은 내가 봤을 때 / 그냥 그랬어. /
	 근데 그냥 뭐 신선하네 이런 게 나왔다는 게 뭐 이랬잖아. 근데 나는 니가 당연히 / 어 그래? 이러고 그 다음 쉴 때 당장 볼 줄 알았는데 끝까지 안 봐서 이유가 있나 싶은 거지. /
	
P1 	:뭐 지금도 그렇게 / 아 되게 보고 싶다 라는 생각이 들지는 않아. /
	 그냥 나중에 뭐 기회가 되면 보겠지만 / 내가 굳이 찾아서 이거를 봐야 되나? 싶어. /
	
P0 	:이번에 / 지옥이라고 그 웹툰 / 원작으로 하는 콘텐츠도 새로 나오잖아 유아인 나오는. /
