# FILE DATA
ID : SDRW2100001011
category :  구어 > 사적대화 > 협력적대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20220121
topic : 가짜 뉴스에 대한 징벌적 손해배상 > 찬성: 공적인 내용을 전함에 있어 사실확인없이 보도하는 것은 옳지않다

# SPEAKER_INFO
id : SD2101005
age : 10대
occupation : 학생
sex : 남성
birthplace : 경북
principal_residence : 경북
current_residence : 대구
education : 중졸

id : SD2101006
age : 10대
occupation : 학생
sex : 남성
birthplace : 경북
principal_residence : 경북
current_residence : 대구
education : 중졸

# SETTING
relation  :  친구


P0 	:가짜 뉴스에 대한 징벌적 손해 배상에 대해서 얘기할 건데 / 일단 나는 / 가짜 뉴스를 냈다는 거는 / 일단 그 가짜 뉴스를 낸 사람들에게 처벌을 내려야 되겠다고 생각해. /
	 넌 어떻게 생각해? /
	
P1 	:나는 솔직히 말하면 가짜 뉴스에 대한 거는 분명 / 가짜 뉴스에 대한 거는 분명 잘 못일 수도 있겠지마는 / 우리나라가 / 너도 알다시피 자유민주주의 국가다 보니깐 / 언론의 자유 약간 / 표현의 자유가 있는 나라기 때문에 / 표현할 수 있는 그런 자유 자신 그 / 가짜 뉴스 완전 왜곡된 것이 아니라 / 한 부분 왜곡된 것도 가짜 뉴스라고 말할 수 있는 거기 때문에 / 그니까 / 언론의 자유 표현의 자유가 있다 보니까 / 약간 틀린 내용은 난 솔직히 포함되도 난 괜찮다고 생각해. /
	
P0 	:그까 그 약간 틀린 내용을 가지고 / 그 사람들이 그니까 소문은 빨리 퍼져 그니까 사람들이 그거를 또 / 그렇게 믿어버리고 / 이것저것 소문이 다 나버리면 그건 또 그거대로 문제가 되잖아. /
	 그니까 나는 / 그 쪼그만한 틀린 부분도 약간 / 거기에 대한 합당한 처벌을 내려야 될 거라고 생각해. /
	
P1 	:물론 / 크게 잘못되면은 그런 게 맞는데 솔직히 말하면 / 중요한 부분이 아니라 / 덜 중요한 안 중요한 부분이 있잖아 뭐 예를 들면은 / 내가 뭐 오늘 치킨을 먹었단데 / 치킨을 먹었다 라는 게 / 약간 왜곡이 되서 / 내가 / 내가 치킨 먹은 게 아니라 너가 치킨 먹었다고 하면 그건 약간 크게 달라지는 거잖아. /
	 근데 약간 다르게 나는 치킨을 / 만들었다 하면은 다르긴 하지만 약간 크게 다르진 않잖아. /
	 어차피 나는 / 치킨을 먹은 거는 확실하니까 / 하튼 핵심 주제는 약간 전달이 된 거잖아 어떻게 보면은 / 그런 식의 가짜 뉴스는 약간 너무 통 / 너무 처벌 내리고 그러면 약간 / 언론 탄압 이쪽으로 가까워질 거 같은 느낌이 들어서 난 / 반대라고 생각해 나는. /
	
P0 	:나는 쪼금 다르게 생각하는 게 / 일단 / 있는 사실에 대해서만 나는 얘기해야 된다고 생각해. /
	 왜냐면은 / 그 일단 가짜 뉴스를 낸다는 거는 거짓말을 -그- -아- / 결국은 거짓말을 썪인 거잖아. /
	 그니까 거짓말을 썪인 건데 / 이제 그 거짓말에 썪인 거를 / 더 보충하기 위해서 거짓말이 점점 커진다고 생각을 하거든. /
	 그니까 나는 그냥 아까 치킨에 비유했는 것처럼 / 치킨을 먹었으면 그냥 치킨을 먹었다로 끝내야 되고 거기에 대해서 / 더 뭐를 상세하게 설명해야 되고 그런 거는 있어서는 안 될 거 같애. /
	
P1 	:물론 그러면 안 되겠지. /
