# FILE DATA
ID : SDRW2100003144
category :  구어 > 사적대화 > 협력적대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211002
topic : AI의 직업 대체 > 반대 : 안전성 과 완성도가 미흡해 도입되는것에 대해 반대

# SPEAKER_INFO
id : SD2103071
age : 10대
occupation : 무직/취업준비생
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
education : 고졸

id : SD2103072
age : 10대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 인천
current_residence : 인천
education : 중졸

# SETTING
relation  :  연인


P1 	:어 우리는 지금 에이아이의 직업 대체에 / 대한 걸 주제로 / 찬성과 반대로 나눠서 토론을 하고 있잖아. /
	 나는 / 에이아이가 직업 대체 하는 거에 대해서 찬성하는 입장이야. /
	 어 왜냐하면 / 솔직히 요즘은 / 로봇 시대고 / 점점 더 / 어 기계화되는 시대잖아. /
	 그거에 솔직히 발맞춰 가는 것도 / 우리의 / 하나의 의무라고 봐. /
	 그리고 솔직히 사람들이 / 하는 / 것만큼 / 기 긍까 사람들이 / 못 하는 걸 기계가 더 정교하게 할 수 있는 것도 되게 많고 / 그 사람이 못 하는 걸 기계가 대신해주는 / 점도 되게 많아. 그래 가지고 / 어 뭐 / 생산을 할 때 더 / 가속화할 수 있고 편리하다는 이점이 있는 거 같애. /
	
P0 	:나는 에이아이 / 반대로 생각해. /
	 왜냐면 지금 어려운 시기잖아. 코로나 때문에 / 근데 걸로 또 / 에이아이도 / 오면 / 일자리는 더 부족하고 지금 우리나라가 일자리가 많이 없어졌잖아. /
	 취업률도 빵이고 / 난 그래서 에이아이 반대하는 반대할려고 하는 / 어 너가 아까 말했던 찬성 근거 찬성 주장 중에 / 그 시대에 따라 가야 된다 했잖아. /
	 근데 / 시대를 / 아직 우린 / (())을 개발 중이잖아. /
	 근데 벌써부터 시대를 따라갈 필요가 있을까? /
	 그서 아직 취업률도 이케 / 별로 나는 낮은데 / 쉬운 일도 해결하고 / 그런 에이아이를 / 뭘 하든가 아니면 정책을 / 뭘 하든가 해야 되지 않을까? /
	
P1 	:근데 / 나는 그렇게 생각해. 물론 에이아이에서 / 음 취업률이 많이 / 낮아진 것도 솔직히 사실이 / 있기도 하고. 근데 / 일단 에이아이를 / 연구하는 / 직장도 / 더 / 많아지고 있어. 긍까 기계가 대체화되는 동시에 / 그 기계를 / 연구하는 / 직장이 더 많아지고 있다는 거지. /
	 그래서 나는 똑같다고 생각해. /
	
P0 	:그치 이제 에이아이가 / 발전하면 그쪽 직업은 / 발전하겠지. /
	 근데 이 기존에 있던 막 / 공장에서 일하시는 분 노동자들 아님 / 서빙하시는 알바 / 그런 게 많이 잃어질 거야. /
	 없어질 거야. /
	 근데 / 지금 / 많이 알바도 없어지고 / 그 광고 / 봤잖아. 그 케이티 광곤가? /
	
P1 	:아 /
	
P0 	:그 / 로봇이 서빙해 주고 / 전화가 자동으로 가고 / (())주든가 / 그렇게 사람들이 없는데 / 그쪽 / 분야만 -개- 개발하면 뭐 해. /
	 거기 사람들 많은 / 노동자들이 있는데 그 사람들 어떻게 할 거야? /
	
P1 	:어 나는 / 물론 그 사람들의 일자리도 중요해. /
	 당연히 중요한 문제긴 하지만 / 우리는 점점 / 편리한 시대를 살아갈려고 하잖아. /
	 사람들은 편해지고 싶어 한단 말이야. /
	
P0 	:그치 /
	
P1 	:그런 욕 / 구를 / 채울 수 있는 게 로봇이야. 솔직히 물론 사람들 사람이 / 정도 있고 하지만 편리한 건 솔직히 기계잖아. /
	
P0 	:그건 맞아 /
	
P1 	:요즘 마트 가면 원래는 캐셔 / 분들이 되게 많았는데 요즘은 /
	
P0 	:셀프 계산대 /
	
P1 	:셀프 계산대 되게 많잖아. /
	 근데 우리도 마트 가면 보통 그냥 셀프 계산대 이용하려고 하잖아. /
	 그게 편리하니까 그래서 / 편리함을 추구하는 사회의 기계는 / 필수라고 생각해. /
	
P0 	:근데 만약에 편리함이 추구가 될려면 / 뭐가 있어야 돼? 우선 / 그 기계를 우리가 사야 돼. /
	 편리함을 추구하려고 기계를 사야 돼. /
	
P1 	:돈 /
	
P0 	:돈이 필요하잖아. /
	 근데 / 취업률은 안 돼. /
	 그럼 로봇은 어떻게 사? /
	
P1 	:아직 / 로봇을 / 약간 사서 집안에 들이는 데까지는 아직 너무 / 오랜 시간이고 / 그건 우리가 아마 한 할머니 할아버지 됐을 때쯤에 로봇이 일인 일가정이 돼 있겠지? /
	 근데 지금은 이제 / 보통 이케 / 생활 반경에 기계들이 많이 도입이 된다 / 에이아이 인공 /(note : 발화겹침) 요즘 인공지능 같은 것도 되게 우리 하이 빅스비나 이런 거 되게 많잖아. /
	
P0 	:그렇지 /
	
P1 	:이런 생활 반경에 좀 / 젖어 들어 있다 / 그 정도니까 / 아직은 / 돈으로 산다 이런 개념은 잘 모르겠어. /
	
