# FILE DATA
ID : SDRW2100000272
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20210831
topic : 대중교통 > 대중교통 장점

# SPEAKER_INFO
id : SD2100271
age : 50대
occupation : 주부
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
education : 고졸

id : SD2100272
age : 50대
occupation : 주부
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 대졸

# SETTING
relation  :  모임_동아리 지인


P0 	:아니 오늘 지하철 / 타고 왔는데 지하철 안 복잡했어? /
	
P1 	:그러게 오늘 지하철이 비가 와서 그런가 낮이라 그런가 / 한가하드라고 / 출퇴근은 복잡한데 이 시간 때는 / 그렇게 아 사람들이 / 많이 없더라고 /
	
P0 	:어 아침에 있잖아 구 호선은 진짜 지옥철이야 그거 어떻게 /(note : 발화겹침) 안 될까 진짜 너무 힘들어. /
	
P1 	:구 호선 타고 다니면 그렇지 그 또 / 그 키 큰 사람이 빽팩 있잖아 빽팩을 / 뒤에다 하니까 우리 키 작은 사람은 / 그 -머리- 머리에 숨을 못 쉬겠더라고 /(note : 발화겹침) 너무 -지-지옥이야 진짜 /
	
P0 	:맞어 맞어. /
	(note : 발화겹침) 우리 진짜 지하철 타고 진짜 힘들게 다녔네잉. /
	
P1 	:그러니까. /
	 대중교통 없었으면 내가 /(note : 발화겹침) 진짜 너랑도 못 만나고 일도 못 했을 거 같애. /
	
P0 	:맞어 맞어 맞어. /
	
P1 	:대중교통 참 /(note : 발화겹침) 발전이 많이 됐어 그지 지하철이 이렇게 많이 됐어. /
	
P0 	:그러니까 안 간 데가 없어 지하철 아니면은 진짜 /
	
P1 	:그러니까 외국처럼 외국에도 지하철이 / 굉장히 잘 발달되어 있거든? /
	 근데 우리나라도 지금 /(note : 발화겹침) 칠 호선 같은 경우는 나중에는 양주 옥정까지 간 대잖아. /
	
P0 	:이히 우와 /
	
P1 	:그러면 강남까지 엄청 빨리 오잖아 그러니까 / 이거 대중교통이 참 좋은 거 같애. /
	 기름도 우리가 기름도 없는 {laughing} 나라에서 /(note : 발화겹침) 자가용 타고 다니면 좀 낭비잖아 차도 막히고 /
	
P0 	:그렇지 우리 생각해 봐 봐. /
	 마곡에서 야탑까지 세상에 /(note : 발화겹침) 어 두 시간씩 그 지하철 타고 다니면서 /
	
P1 	:응. /
	
P0 	:그랬는데 내가 아침 출근시간에 봐 봐 너무 힘들게 다녔어. /
	
P1 	:맞어. /
	
P0 	:그래도 언니는 자가용도 ((몰고)) 하니까 /(note : 발화겹침) 그것 좀 못 느겼잖아 출퇴근 시간에는 근데 /
	
P1 	:응. /
	(note : 발화겹침) (()) /(note : 발화겹침) 응. /
	(note : 발화겹침) (()) /(note : 발화겹침) 응. /
	
P0 	:나는 엄청 그런 거 근데 완전 편하고 좋아. /
	
P1 	:맞아 대중교통이 너무 사람들한테 편리한 거 같애. /
	 차 없는 사람의 설움도 그 잊어버리게 하잖아. /
	(note : 발화겹침) 전철만 타면 바로 내가 원하는 곳으로 갈 수 있잖아. /
	
P0 	:맞어 그게 / 내가 그래서 지하철을 엄청나게 좋아하는데 /(note : 발화겹침) 뻐스보다 지하철이{laughing} 더 좋아 뻐스는 진짜 쪼끔 /
	
P1 	:응. /
	
P0 	:환승도 하고 힘들긴 한데 /
	
P1 	:응. /
	
