# FILE DATA
ID : SDRW2100004026
category :  구어 > 사적대화 > 협력적대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20220113
topic : 안락사·존엄사 법제화 > 안락사의 필요성과 긍정적/부정적 영향

# SPEAKER_INFO
id : SD2100939
age : 20대
occupation : 학생
sex : 여성
birthplace : 광주
principal_residence : 서울
current_residence : 서울
education : 대재

id : SD2100940
age : 30대
occupation : 기타
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 서울
education : 대졸

# SETTING
relation  :  모임_동아리 지인


P1 	:안락사에 대해서 어떻게 생각해? /
	
P0 	:나는 안락사에 대해서 반대 입장을 가지고 있는 의견이야. /
	
P1 	:왜? /
	
P0 	:안락사는 결국에는 / 죽음으로부터 / 혼자서 판단할 수 없는 무언가를 인간의 인간이 마음대로 판단을 하는 거기 때문에 / 누군가 인권이나 혹은 그 사람을 가지고 있는 권리를 조금 훼손 할 수 있는 / 방법이라고 나는 생각을 해. /
	
P1 	:어 사람 목숨에 대한 거는 스스로에게 있다고 나는 생각을 하거든 / 그거에 대해선 어떻게 생각해? /
	
P0 	:사실 안락사라는 거 자체가 내가 / 지금 당장 내 목숨을 더욱더 이어갈 수 / 있나 없나를 사실 평가하기 어려운 상황에서 그 제 삼 자의 / 인간이 / 또 판단을 해서 내리는 결정이기 때문에 / 나는 그 생명의 존중이 없는 / 방법이라고 나는 생각을 해 /
	
P1 	:그 / 어 / 안락사두 여러 종류가 좀 있잖아 / 의사가 요즘에는 의사가 판단을 해서 / 한다라는 것과 / 아니면은 / 환자 자 환자가 기존에 / 내가 나는 이런 치료를 더 이상 하지 않고 / 하겠다라는 그런 / 선택도 있잖아 / 그 둘 중에서 다 부정적인 거야? /
	
P0 	:사실은 의사가 내린 판단 역시두 결국에는 내 / 더 이상 생명을 연장할 수 없다라고 내리는 것 역시도 생명이 연장이 되고 있는 상황에서 더 이상 이제 / 그것도 사람에게 / 선택지를 나는 주는 거라고 생각을 해 / 더 이상 생명에 대한 연장이 힘드니 / 멈추세요라고 얘긴 할 수 있지만 그거 역시도 / 의사에 대한 개인적인 나는 의견이라고 생각을 해. /
	
