# FILE DATA
ID : SDRW2100002132
category :  구어 > 사적대화 > 협력적대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211204
topic : 청소년에게 인터넷·스마트폰이 미치는 영향 > 반 : 아이들은 스스로 조절을 못 한다. 하지만 너무 제한은 과 할 것 같다. 대체제가 있어야 된다고 생각

# SPEAKER_INFO
id : SD2101907
age : 40대
occupation : 주부
sex : 여성
birthplace : 경기
principal_residence : 서울
current_residence : 경기
education : 대졸

id : SD2101908
age : 50대
occupation : 사무 종사자
sex : 남성
birthplace : 강원
principal_residence : 서울
current_residence : 경기
education : 대졸

# SETTING
relation  :  부부


P0 	:어~ / 이게 인터넷이랑 요즘에 스마트폰을 / 너무 많이 쓰잖아요 사실 우리 애들도 그렇고 / 주변에 / 청소년들이 많이 써서 지금 / 문제점이 많은데 / 저는 기본적으로 이게 / 청소년들한테는 / 쫌 / 쫌 / 쫌 제재를 가하고 쓰는 시간을 쫌 / 이케 조절을 해서 / 어? /
	 쫌 그렇게 제한을 줘야 된다는 / 입장이거든요. /
	 그깐 이거를 쓰니까 애들이 /
	
P1 	:응. /
	
P0 	:이거를 딱 한 시간이면 사실 되게 긴 시간이잖아요 근데 / 이거 쓰다 보면 한 시간이 훅 지나가는 거야 그서 / 우리 이케 / 우리 아들내미만 봐도 {laughing} / 이게 오락 하다 보면은 이게 시간 가는 줄 모르는 거지. /
	
P1 	:그쵸. /
	
P0 	:어? /
	
P1 	:근데 이게 요즘 /(note : 발화겹침) (()) 요즘 /
	
P0 	:중독이라니까. /
	
P1 	:생화 요즘 세상에서 / 정보가 너무나 많은 정보고 / 너무 정보를 굉장히 쉽게 접할 수 / (()) 정보가 / 쉽게 접근 할 수가 있거든 예전에 우리 때는 / 뭔가 정보를 얻으려면 도서관에 가서 책을 / 찾아 온다든지 / 뭐 사전을 찾는다든지 / 아는 사람한테 물어 본다((든지)) 이런 부분이었는데 / 요즘은 / 그런 정보들이 다 / 어 쉽게 접근할 수 있고 그런 부분에 접근하는 / 거 자체가 / 이 스마트폰이나 / 그 피씨에 (()) 인터넷을 통해서 / 확인하는 부분인데 / 그런 부분을 / 그런 ((부분을)) 잘 활용 하지 못하면 결국은 / 생활에 도태되는 사회에서 도태되는 / 이런 부분이 되지 않을까? /
	 그래서 / 어느 정도는 이 사용하는데 / 쫌 필요한 부분이 아닌가? /
	 나는 그렇게 생각하는데 / 너무 마 제한을 하는 것도 문제가 있지 않나? /
	
P0 	:음 아니 근데 /
