# FILE DATA
ID : SDRW2100001530
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20210903
topic : 대중교통 > 관광지의 대중교통 문제

# SPEAKER_INFO
id : SD2101529
age : 20대
occupation : 무직/취업준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
education : 대졸

id : SD2101530
age : 20대
occupation : 무직/취업준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
education : 대졸

# SETTING
relation  :  친구


P1 	:이제 점심 시간이네 뭐 먹을래? /
	
P0 	:아 점심 / 그냥 햄버거 먹을까? /
	
P1 	:우리가 먹기로 한 거 있지 않았어? /
	
P0 	:그거 저녁에 먹기로 한거 였자나. /
	
P1 	:아 다섯 시였나? /
	
P0 	:어 다섯 시 인계동 가야 돼서 /
	
P1 	:아 /(note : 발화겹침) 어. /
	
P0 	:아 그전에 나 저기 학원가가지고 결제도 해야되고 /
	
P1 	:아. /
	(note : 발화겹침) 학원 학원이 팔달문 이었나? /
	
P0 	:아니 저기 그 북수원에 있어. /
	
P1 	:북수원? /
	
P0 	:어. /
	
P1 	:그럼 여기서 버스 타고 바로 가지? /
	
P0 	:어 뻐스 칠칠칠 타면 바로 가. /
	
P1 	:뻐스 그럼 바로 타고 하고 /
	
P0 	:근데 시간이 애매해 두시에 간다고 그래 가지고 /
	
P1 	:아 그렇네. /
	
P0 	:그전에 /
	
P1 	:그럼 그전에 점심 먹고 가야게따. /
	
P0 	:긍까 점심. /
	
P1 	:그냥 수원역에서 먹을까? /
	(note : 발화겹침) 가까운데 아니면 어디 먹을 데가 있나? /
	
P0 	:그냥 걸어갈 수 있는데. /
	
P1 	:걸어갈 수 있는 데로? /
	
P0 	:근처에서 먹어야지 어디 버스 타고 가면은 /(note : 발화겹침) 멀미 나 가지고. /
	
P1 	:하긴 아니면 그냥 미리 슬슬 걸어 가서 중간에 /
	
P0 	:아 하긴 거기 걸어 /
	
P1 	:팔달문에서 먹어도 되지. /
	
P0 	:하긴 맨날 걸어 다니니까. /
	
P1 	:그치. /
	 거기서 먹어도 되고 그래서 그러면 가는 길에 두 시간 정도 되지 않을까? /
	
P0 	:응. /
	 그치 한 두 시간 비니까 밥 먹고 한 시간 슬슬 걸어서 /(note : 발화겹침) 북수원 까지 가져갔다가 /
	
P1 	:응. /
	(note : 발화겹침) 그래도 장안문에서 너 학원 가고 학원은 금방 끝나잖아. /
	
P0 	:(()) 금방 끝나고 아 맞다. /
	(note : 발화겹침) 병원 가야 돼서 병원도 허리 아파서 병원 가야 되고 바쁘네. /
	
P1 	:아 맞아 맞아. /
	(note : 발화겹침) 아니 병원은 또 팔 때문에 있는 걸로 간다고 하지 않았나 우리? /
	
P0 	:맞아 니가 찾아 봤을 때 팔 때문에 있는 거 좋다 그래 가지고 /
	
P1 	:맞아 거기 침구과가 있는데 그 침구과가 침을 잘 맞는데 /
	
P0 	:어. /
	(note : 발화겹침) 아 진짜? /
	
P1 	:잘 맞춰 주는 병원을 침구과라 그러더라고. /
	
P0 	:생긴지 얼마 안 됐는데 도 잘 뭐야. /
	
P1 	:잘 된다고? /
	
P0 	:응 아니 괜찮대 좋대 평이 좋아? /
	
P1 	:일딴은 아니 그건 아닌데 블로그가 잘 되어 있더라고. /
	 그쪽으로. /
	
P0 	:하기 블로그 관리 잘 하는 데는 뭐 또 /
	
P1 	:또 병원은 또 잘 맞아야 돼. /
	 그리고 침 이잖아. /
	(note : 발화겹침) 단번에 하반신 불구가 될 수도 있으니까. /
	
P0 	:무서운 소리 한다 또 아주 /
	
P1 	:조심해야지. /
	(note : 발화겹침) {laughing} 병원에 다니면 다 그런 생각하는 거야. /
	
P0 	:그리고 혹시 남문에서 어 아니면 남문에서 또 이제 걸어가도 될거 같애. /
	
P1 	:응. /
	
P0 	:가까우니까 맨날 걸어 다녔잖아. /
	
P1 	:하긴. /
	(note : 발화겹침) 그렇게 하고 그럼 금방 그냥 바로 한의원 갔다 가는 바로 가야겠다. /
	
P0 	:응. /
	
P1 	:밥 먹으러 밥 먹으러 /(note : 발화겹침) 거기가 인계동 이라고 그랬나? /
	
P0 	:어 인계동. /
	
P1 	:인계동도 금방이긴 하네. /
	
P0 	:인계동 어디 있는진 안 봤다? /
	
P1 	:그래도 어차피 뻐스 타면 금방인데 뭐. /
	
P0 	:하긴 근데 인계동 너무 멀어 넓어 가지고 /
	
P1 	:맞아 맞아. /
	 가까운데 버스가 외외로 없어 꺾어 와야 돼서 그런가 봐. /
	
P0 	:나는 또 갈아 타던지 걸어 나와서 버스 타야 되니까. /
	
P1 	:하. /
	
P0 	:애매해 인계동도. /
	
P1 	:하긴 내가 예전에 거 /
	
P0 	:어. /
	
P1 	:쪽 직장 직장 다녔을 때 / 뻐스 하나 밖에 없었잖아. /
	
P0 	:인계동? /
	
P1 	:십 삼 다시 일 번. /
	
