# FILE DATA
ID : SDRW2100000315
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20210907
topic : 우정 > 서로의 장점 및 취미

# SPEAKER_INFO
id : SD2100315
age : 40대
occupation : 주부
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 서울
education : 대졸

id : SD2100316
age : 40대
occupation : 주부
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 고졸

# SETTING
relation  :  친구


P1 	:오늘 만나서 반갑구 / 어 우리는 지금 만난 지가 일 년도 안 됐는데. /
	
P0 	:어. /
	
P1 	:나를 나를 어떻게 생각하는지. /
	
P0 	:어 성격도 참 밝고 친구가 / 어 성격도 밝고 명랑하고. /
	 어 미국에 살다 와서 그런지 / 어 -상- 상당히 개방적이고 / 적극적이고 / 사람을 잘 이끌고 / 그래서 내가 참 편했던 거 같애. 처음 봤을 때 /
	
P1 	:난 너가 맨 처음에 나를 만났을 때 / 나를 배려해줘 가지고 / 그때 아 급했는데 나를 너무 도와줘서 너무 고마웠어. /
	
P0 	:그거는 뭐 그럴 수도 있다고 나는 생각하는데 {laughing} /
	
P1 	:근데 다른 사람들은 자기 입장에서 생각을 하는데 / 너는 나를 / 좀 많이 배려해줘서 / 되게 고마웠고. 그날 비 오는 날이었는데 / 비 오는 날이었는데 나를 너무 너무 잘 챙겨줘서 너무 고마웠어. /
	(note : 발화겹침) 그래서 다음에 꼭 내가 갚아야겠다는 생각을 가지고 있었지. /
	
P0 	:아 / 그래서 우리가 그 이후에 / 만나 가지고 / 밥도 먹고 / 술도 마시고 / 했는데. 어떻게 주량이 어떻게 돼? /
	
P1 	:{laughing} 나는 주량이 / 맥주는 한정 없이 들어가고. /
	 {laughing} 너랑 같이 있으면 밤새도록도 마실 수 있을 것 같애. /
	
P0 	:아 그래? /
	(note : 발화겹침) 다음에는 우리 어 어디 가서 마실까? /
	
P1 	:{laughing} 아니 너네 집 동네나 아니면 우리 집 동네에 치킨집을 가서 / 맛있는 / 어 시원한 호프를 마시고 / 통닭을 먹고 / 그랬으면 좋겠어. /
	
P0 	:어 그러자. 다음에는 우리 / 그렇게 먹자. /
	
P1 	:너의 딸하고 와. /
	
P0 	:아이 어 그럴게. 그러면 다음에는 어 /
	
P1 	:응. (()) /
	
P0 	:내 딸하고 / 친구 딸하고 같이 어 /(note : 발화겹침) 와서 같이 가서 만나서 먹자. /
	
P1 	:응. 그러니까 이번 달에 끝나면 / 먹도록 /
	
P0 	:우리 거의 매달 말일에 만나서 /(note : 발화겹침) 어 먹잖아. /
	
P1 	:응 맞어. 그러니까 우리 건강을 위해서 /
	
P0 	:응. /
	(note : 발화겹침) 딱 좋은 거 같애. /
	(note : 발화겹침) 어 그렇게 좋은 거 같애. /
	
P1 	:건강을 위해서 조금씩만 그래도 / {laughing} / 자제하면서 /
	
P0 	:그러자. /
	 뭐 친구는 취미가 뭐야? /
	
P1 	:나는 일을 매일 하고 있어서 / 지금 취미는 / 없는데 / 할 겨를이 없어. /
	 취미를 /
