# FILE DATA
ID : SDRW2100000184
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20210820
topic : 대중교통 > 대중교통의 편리함

# SPEAKER_INFO
id : SD2100183
age : 60대 이상
occupation : 주부
sex : 여성
birthplace : 강원
principal_residence : 경기
current_residence : 서울
education : 대졸

id : SD2100184
age : 60대 이상
occupation : 주부
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 서울
education : 대졸

# SETTING
relation  :  모임_동아리 지인


P1 	:아 언니 요즘은 어제 나다니는 것도 언니 힘들어. /
	
P0 	:응 /(note : 발화겹침) 응 /
	
P1 	:코로나가 너무 많이 나오니까 뭐 하루 이천 명이 되니깐 /
	
P0 	:응 /
	
P1 	:어 막 대중교통 아니 그렇지 그렇다고 막 그 /
	
P0 	:응 응 응 /
	
P1 	:어디 가는데 장 보러 가고 뭐 이러는 거도 언니 마트 가고 하는데 짐도 있고 하니까 /
	
P0 	:응 /
	
P1 	:어 그지 막 지하철 안 탈 수도 없고 버스 안 탈 수도 이용 안 할 수도 없고 /
	
P0 	:어 /(note : 발화겹침) 응 /
	
P1 	:그런 거 같애. 힘들어. 어 /
	
P0 	:나는 /
	
P1 	:응 /
	
P0 	:대중교통이 /
	
P1 	:응 /
	
P0 	:내가 /(note : 발화겹침) 서울에 살면서 제일 좋은 거는 지하철이야. /
	
P1 	:응 /(note : 발화겹침) {laughing} /
	
P0 	:지하철 없으면 어떻게 사나 싶어. /
	
P1 	:{laughing} 그렇지 맞아. /
	
P0 	:하루에 한 번씩은 지하철 타는데 /
	
P1 	:응 /
	
P0 	:진짜 아침에 출퇴근 해 보면은 젊은 사람들 / 차 놔두고 대중교통 / 이용하면 막히질 않잖아. 딱 딱 지 시간 돼서 오니까 /
	
P1 	:그렇죠 /
	
P0 	:너무 좋았고 진짜 그 빡빡하게 타는데도 /
	
P1 	:응 /
	
P0 	:처녀 총각들이고 막론하고 중년들이고 /
	
P1 	:응 /(note : 발화겹침) 응 /
	
P0 	:진짜 부딪쳐. /
	 막 딪히는 데 그 더운데도 내가 진짜 느끼는 것은 /
	
P1 	:응 /
	
P0 	:짜증 안 내. /
	
P1 	:응 그렇지 어떻게 /
	
P0 	:진짜 찍소리 안 하고 핸드폰만 보고 있어. /
	
P1 	:대도시 산다면은 뭐 그거는 감수해야 된다는 생각을 하니까 그러는 거야. 근데 /
	
P0 	:개중에 이제 아가씨들이 조금 까칠해 가지고 부딪치면 /
	
P1 	:응 응 /(note : 발화겹침) 응 /(note : 발화겹침) 응 /
	
P0 	:짜증 내. 그러면은 내가 / 아니 /
	
P1 	:응 /
	
P0 	:이렇게 복잡한데 / 너도 나도 지금 일터로 가 갖고 / 어 / 살려고 하고 열심히 살고 하는데 / 어 / 그렇게 짜증을 대중교통 타면서 /(note : 발화겹침) 짜증을 내면 어떡하냐? /
	
P1 	:{laughing} /
	
P0 	:그러면은 짜증 안 낼라면은 /
	
P1 	:응 /
	
P0 	:어 /(note : 발화겹침) 자기 차를 끌고 가든지 /
	
P1 	:응 /
	
P0 	:쪼금씩 서로 양보하고 이해를 해야지. /
	 딴 사람들은 말을 않은데 / 혼자 유독 / 어 / 왜 이렇게 까칠하냐? /
	 그랬더니 이제 이제 /(note : 발화겹침) 엄마 뻘이니까. /
	
P1 	:응 /
	
P0 	:어 / 혼자 씩씩대다가 말드라고. 근데 나는 /(note : 발화겹침) 진짜 대중교통이 너무 좋다고 생각해. /
	
P1 	:그렇지 /
	
P0 	:그 전철 없으믄 서울 사람들 어떻게 살어. /
	
P1 	:응 / 그러니까 / 서울 사니깐 그래도 언니 대중교통이 이렇게 이제 /
	
P0 	:버스 응 /(note : 발화겹침) 응 /
	
P1 	:운동 나가면은 그 이용할 수 있어서 좋은데 언니 /
	
P0 	:응 /(note : 발화겹침) 응 /
	
P1 	:경기도만 가도 교통이 불편해서 언니 신도시 가 보니깐 /
	
P0 	:응 /
	
P1 	:너무 힘들어. /
	
P0 	:못 살아. 그런 데서 /
	
P1 	:그런 것 때문에 막 집값 같은 것도 문제가 아파트값이 문제가 되나 봐. 역시 /
	
P0 	:응 /(note : 발화겹침) 응 응 /
	
P1 	:서울이 그런 인프라 구축이 되어 있으니까 /
	
P0 	:아 /
	
P1 	:확실히 이렇게 집값도 오르고 언니 그런 게 있는 거 같애. 누구나 너도 나도 이제 서울에서 살라 그러고 /
	
P0 	:그래 /
	
P1 	:아 경기도는 언니 아파트 쪽에서는 /
	
P0 	:응 /(note : 발화겹침) 응 /
	
P1 	:어 너무 불편하잖아. /
	
P0 	:응 /
	
P1 	:버스 연결이 되는 게 없으니까 /(note : 발화겹침) 걸어 가야 되고 짐 들고 걸어 가야 되고 하니까. /
	
P0 	:응 /
	
P1 	:공기는 좋은데 /(note : 발화겹침) 근데 좀 불편한 건 거 같애. /
	
P0 	:어 그리고 /
	
P1 	:그래서 집값이 싸나 봐. 그래서 그렇게 싼 것도 아닌데도 /
	
P0 	:어 /(note : 발화겹침) 어 그려 그리고 대중교통 버스 /
	
P1 	:응 맞아 /(note : 발화겹침) 응 /
	
P0 	:버스 /(note : 발화겹침) 전에는 우리가 한번 타고 내리면 /
	
P1 	:응 /
	
P0 	:또 타면 또 요금을 냈잖아. /
	
P1 	:응 그때 너무 좋지. /
	
P0 	:근데 서울시장이 /
	
P1 	:응 이명박이 응 /
	
P0 	:이명박 응 시장님이 그거를 / 어 / 환승하게끔 해 주셨잖아. 그래 갖고 /
	
P1 	:그러니까 /
	
P0 	:옛날에는 번호가 거의 세 자리였잖아. /
	 엄머 네 자리 해 놓으니까 막 헷갈려서 탈 수가 없는 거야. 버스를 그리고 / 어떻게 해 갖고 어떻게 하면은 /(note : 발화겹침) 두 번까지는 환승이 된대. /
	
P1 	:응 /
	
P0 	:버스가 /
	
P1 	:응 /
	
P0 	:근데 처음에는 그것도 몰라 가지고 헤매고 그랬는데 요새는 / 너무 좋아. 그 환승 하는 게 같은 /(note : 발화겹침) 번호만 안 타면은 환승이 되잖아. /
	
