# FILE DATA
ID : SDRW2100000095
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20210813
topic : 우정 > 친구의 성향, 함께한 추억

# SPEAKER_INFO
id : SD2100095
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
education : 대재

id : SD2100096
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 대재

# SETTING
relation  :  친구


P1 	:&name&야 너 엠비티아이 뭐랬지? /
	
P0 	:나 아이에스에프피 뭔지 알아? /
	
P1 	:아니 나 그거 잘 몰라. /
	
P0 	:호기심 많은 예술가 유형이라고 하는데 / 나는 내 엠비티아이 유형이 마음에 들어 너는 뭔데? /
	
P1 	:나는 이에스에프제이 사교적인 외교관이래. /
	
P0 	:그거 내 주변 친구들도 많은 유형을 갖고 있더라고 /
	
P1 	:이거 엠비티아이가 내 꿈인 승무원이랑 잘 맞아서 나는 정말 마음에 드는 엠비티아이야. /
	
P0 	:언제부터 너는 이에스에프제이였어? /
	
P1 	:나는 중학교 때부터 이에스에프제이였는데 최근에 성격이 바뀌'었다고 생각해서 다시 검사했는데도 똑같이 나오더라고 /
	
P0 	:어 나는 원래 나도 원래 이에스에프제이였는데 / 예전 작년 재작년 이후로 아이에스에프피로 바뀌'었는데 난 이게 더 맞는 거 같아. /
	
P1 	:그러면 이에서 아이로 바뀌'었는데 그러면 갑자기 외향적이었다가 내향적으로 바뀐거야? /
	
P0 	:그거는 아닌데 이에스에프피 유형이 원래 아이들 중에서 가장 외향적이라 하더라고 /
	
P1 	:아 그러면은 좀 헷갈렸을 수도 있겠다. /
	
P0 	:맞아 근데 나는 집을 되게 좋아하고 이 유형 자체가 원래 집에 많이 있고 약간 사색하는 거 좋아하고 / 글이랑 영화보는 거 좋아하는데 난 잘 맞는 거 같아. /
	
P1 	:나는 약간 친구들이랑 있는 걸 더 좋아하고 집에 혼자있으면 친구들이랑 일부러 영상통화도 하고 이럴 정도로 / 집에 혼자 있는 걸 못 견디는 성격이라서 내 엠비티아이가 잘 맞는 거 같애. /
	
P0 	:아 그래 나는 집에 한 삼 일 정도만 있어도 행복하고 일주일 정도 더 있을 수 있거든. /
	 그래서 난 너 같은 유형을 보면 참 신기해. /
