# FILE DATA
ID : SDRW2100003626
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211028
topic : 우정 > 롤토체스 및 롤 등급 얘기, 롤 포지션,롤드컵

# SPEAKER_INFO
id : SD2103563
age : 20대
occupation : 무직/취업준비생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
education : 대졸

id : SD2103564
age : 20대
occupation : 학생
sex : 남성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
education : 대재

# SETTING
relation  :  친구


P1 	:니 롤토체스 다이아 유지하고 있냐? /
	
P0 	:아 당연하지 다이아 정도는 아니 내가 / 다이아에서 / 게임 하다가 / 뭔가 마스터로 올리고 싶은 거야. /
	 가지고 아 이거 뭔가 삘 되는데 / 해 가지고 계속 게임을 했어. /
	 했는데 갑자기 플레로 / 무슨 에스컬레이터 타는 거 마냥 급락해 가지고 / 아 이거 진짜 망했다. /
	 이러고 이제 게임 계속 하다가 / 다시 다이아 만들어서 지금 다이아입니다. /
	
P1 	:다시 떨어지는 거 아니가 거기서? /
	(note : 발화겹침) 아 /
	
P0 	:그래서 내가 다이아에서 아 / 이거 다시 또 뭔가 되지 않을까? /
	 해서 게임을 했는데 / 다이아 사에서 빵점을 유지하고 있지. /
	
P1 	:거기서 이제 멈추고 막 그러겠네 나 / 난 솔랭 돌려야 되는데 / 아 돌리기 너무 힘들어 다섯 판 이제 배치 끝났거든. /
	 나머지 다섯 판 하면은 / 플레일 거란 말이야 다이아를 찍고 싶은데 / 갈 수 있을지도 모르겠다. /
	 힘들어 하면은. /
	
P0 	:아니 니 이제 배치 끝났다고? /
	
P1 	:아직 배치도 안 끝났어. /
	 아직 다섯 판이야 본캐는. /
	 그래 가지고 / 시즌 말까지 / 다이아를 찍고 싶은데 다음 주까지 밖에 시간이 없어. /
	 근데 한 판 하는 게 너무 힘들어. /
	
P0 	:아니 롤은 그거 / 날짜 언제 끝나는데? /
	
P1 	:롤이 십일 월 십오 일인가? /
	 다음 주인가? 십오 일인가 이 쯤까지 시간은 쪼끔 있어. /
	
P0 	:십오 일이 수요일? /
	
P1 	:요일까진 모르겠다. /
	 니도 골드 찍어야지. /
	
P0 	:아니 / 아 롤 협곡은 포기했지. /
	 골드는 글러먹었어. /
	
P1 	:아니야 가려면 금방 갈 수 있어. /
	
P0 	:가고 싶은데 / 실버에서 / 플레이 해 보면 알겠지만 높은 애들이 와도 / 실버 애들의 마음을 이해할 수 없단 말이야. /
	
P1 	:아 이게 다 부수면서 하는 거지. /
	 할 수 있는 라인 가 가지고 /
	
P0 	:아 근데 할 수 있는 게 너는 서포터 밖에 없다 아이가? /
	
P1 	:내가 딴 라인 해주면 되지. /
	 원딜 안 가고 /
	
P0 	:니가 다른 라인 간다고? 니 어디 가게? /
	
P1 	:나 미드나 정글이나 / 글로 가 가지고 다 부수던가 / 일단 상대 한 명 없애고 시작하면 되지 않을까? /
	
P0 	:아닐걸 실버 애들이 / 만만치 않을 텐데 /
	
P1 	:아니야 내가 내 멘탈만 잡으면 올리는 건 돼. /
	 내가 피폐해지겠지. /
	
P0 	:에 아닐 거 같은데. /
	
P1 	:이제 그러다가 중간에 ((약 유리할)) 때 막 / 남 탔다고 야 그 해 줬어야지 막 이러면서 /
	
P0 	:아니 내가 / 게임을 하려고 골드를 가려고 마음을 먹었었는데 / {clearing} / 그 게임 하는데 / 다이아 애 데리고 했잖아. /
	 근데 걔한테 혼난 이후로 너무 하기 싫은 거야. /
	
P1 	:걔가 왜 뭐라 했길래? /
	
P0 	:아니 ((그냥)) 게임 하는데 / 아 이거 들어 갔어야지 했어야지 막 이래 가지고 / 아 짜증 나 가지고 안 했지. /
	 근데 그러고 얼마 뒤에 니랑 했어. /
	 근데 니도 똑같은 거야. /
	
P1 	:이게 끝나고 나면은 / 그 말하면 미안하거든 근데 할 때는 / 아쉬운 게 너무 보여 내가 보기엔 보이니까 / 그래 가지고 막 / 카는데 미안하긴 하지 하고 나면. /
	
P0 	:아니 봐봐 다 똑같은 생각이란 말이야 그래 가지고 / 짜증 나서 그냥 ((할 것도 없고)) 안 하지. /
	
P1 	:근데 이게 하면 실버 상관없이 골드 플레까지 다 똑같이 그렇게 보여. /
	 그래 가지고 한 번씩 막 싸우고 애들이랑 /
	
P0 	:실버랑 골드랑 똑같아 보인다고? /
	
P1 	:그니까 / 나나 그 친구나 다이아잖아. /
	 그러면 실버 골드 플레 다 답답해 보여 가지고 / 똑같지 뭐라 하다가 한번씩 막 싸우고 / 애들끼리 /
	
P0 	:아니 근데 솔직히 골드나 실버나 플레나 / 골드 실버 골드 플레 다이아나 똑같은 거 아님? /
	
