# FILE DATA
ID : SDRW2100004330
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20220304
topic : 음악 > 요즘 듣기 싫은 트로트 때문에 고민

# SPEAKER_INFO
id : SD2102387
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 경기
education : 대졸

id : SD2102388
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
education : 대졸

# SETTING
relation  :  부부


P1 	:지금 내가 음악에 대해서 할 얘기가 많은 거 같애. /
	
P0 	:아 말해 봐. /
	
P1 	:요즘 / (()) / 요 근래 한 이 삼 년 정도에 그 / 트로트 붐이 막 일어났잖아? /
	
P0 	:음 /
	
P1 	:그게 정말 듣기 싫었거든. /
	
P0 	:(()) /
	
P1 	:그거에 대해서 어떻게 생각해? /
	
P0 	:왜 듣기 싫었어? /
	
P1 	:아 티비만 틀면 트로트 나오고 / 광고 트로트 나오고 / 뭐 / 임영웅이라는 애도 / 계속 / (()) / 멜론으로 도배되고 있고 / 그래 가지고 / 이걸 뭐라 그럴까? /
	 -문- 문화에 대한 압박감 / (()) / 트로프트에 대한 압박감 / 그래 가지고 심리적으로 이게 되게 부담이 되더라고. /
	
P0 	:맞아. /
	 아 어 나도 그래서 / 티비를 볼 때마다 임영웅이 너무 많이 나오는 거야. /
	 그래서 어 뭐 임영웅이 뭐 싫은 건 아니지만 / 너무 이렇게 자주 자주 나오다 보니까. /
	 아 이게 너무 진짜 트로트에 / 그냥 세상이 된 거 같애 가지고 / 나도 굉장히 정말 쫌 / (()) / 아 이게 뭔가 / 음악의 다양성이 떨어진다고 생각을 하고 / 그 좋은 노래들이 다 묻혀 버리는 거 같애 가지구 쫌 / 아쉽긴 하지. /
	 너무 많이 아쉽지. /
	 (()) / 트로트가 이렇게 너무 이렇게 활성화 되면서 / 쫌 나도 되게 아쉽다고 생각을 해. /
	
P1 	:그러면 트로트 말고 / 자기가 요즘 좋아하는 가수는 누구야? /
	
P0 	:어 내가 좋아하는 가수 / 어 나는 / 지금 생각을 해 보면 / 어 / 나는 요즘에 쫌 이렇 -걔- 걔네 누구지? /
	 아 걔네 생각이 안나. /
	 (()) / 걔네 누구지? /
	 잔나비 / 잔나비 노래가 너무 쫌 되게 / 그 감성을 건드리면서 / 되게 잔나비가 노래를 목소리가 너무 좋잖아 잔나비가? /
	 그래서 / 걔네 노래 들으면 진짜 뭔가 마음이 편안해 지는 거 같고 / (()) / 그래서 되게 쫌 좋아하는 편이야. /
	 잘 생기기도 했고 /
	
P1 	:잔나비 노래 중에 유명한 게 / (()) / 나온 적이 많긴 많지? /
	 아 / (()) / 예능에도 계속 나오고 있고 / 근데 나 요즘 잔나비 말고 / 그 / 여자 아이돌도 괜찮지 않어? /
	
P0 	:여자 아이돌 중에 괜찮은 아이돌이 / (()) / 글쎄 다 예쁘고 그래 가지구 별로 나는 관심이 없지만 / 누가 괜찮은데? /
	 괜찮은 애들 있어? /
	 (()) / 어떤 게 괜찮아 뭐? /
	
P1 	:어 /
	
P0 	:뭐 외모가 괜찮다 아니면은 뭐 뭐 노래를 잘한다. /
	 춤을 잘 춘다. /
	 뭐 아이돌만의 다른 가수들과의 차별화된 아이돌만의 좋아하는 이유 / (()) / 누굴 좋아하는데? /
	
P1 	:나는 여자애들은 뭐 외적으로 보는 게 아니라 / (()) / 보통 난 춤을 좋아하기 때문에 이제 걔네들이 추는 안무라던지 / (()) / 아니면 걔네들이 입고 있는 옷도 / 뭐 / 걔네들이 이제 / 춤이나 노래할 때 이제 공연 같은 거 할 때 이제 무대 영상이나 무대 조명 / 이런 거를 전체적으로 보거든. /
	 그런 거 봤을 때 / 어 음악이랑 / 이런 비주얼적으로 다 조합이 됐을 때 / 되게 이뻐 보이더라고. /
	
P0 	:아 예뻐 보였어? /
	 아 예뻐 보였구나. /
	 근데 나는 아이돌보다 아이돌 여자 아이들보다는 / 왜냐면은 아이돌 노래들은 뭔가 이 나의 감성을 / 건드려 주는 그런 것들은 없고. /
