# FILE DATA
ID : SDRW2100001262
category :  구어 > 사적대화 > 협력적대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20220121
topic : 가짜 뉴스에 대한 징벌적 손해배상 > 찬성 : 사실 근거에 의해 처벌, 거짓정보로 인한 사실 확인이 어려움

# SPEAKER_INFO
id : SD2103638
age : 20대
occupation : 무직/취업준비생
sex : 남성
birthplace : 광주
principal_residence : 전남
current_residence : 광주
education : 대졸

id : SD2103639
age : 50대
occupation : 주부
sex : 여성
birthplace : 광주
principal_residence : 전남
current_residence : 광주
education : 고졸

# SETTING
relation  :  부모/자녀


P0 	:요즘에 그런 /(note : 발화겹침) 가짜 뉴스들이 많잖아 /
	
P1 	:응 /
	
P0 	:왜냐면은 / 플랫폼들이 쫌 다야해진 거 같애 / 뉴스를 볼 수 있는 플랫폼이 / 뭐 대표적으로 유튜브가 있고 / 인터넷 기사 티비가 있는데 / 뭐 그러다 보면은 쫌 / 잘못된 정보들이 / 전달될 때가 많이 있잖아 / 엄마는 그런 것들에 대해서에 쫌 / 쫌 이런 체벌 / 뭐 그런 손해보상 이런 것들이 / 필요하다고 생각을 해? /
	
P1 	:엄마는 꼭 필요하다고 생각을 해 {laughing} / 왜냐면 물론 이제 / 그 정보들을 / 어 보는 사람들이 다양하겠지 /(note : 발화겹침) 다양하겠지 많은 /
	
P0 	:(()) /(note : 발화겹침) (()) /
	
P1 	:그 정보들로 인해서 이렇게 / 정보를 얻는 거잖아 우리 / 사람들이 / 근데 거기서 가짜 뉴스가 나오므로 인해서 / 그 타격을 받는 것이 / 어마어마하다고 엄마는 생각하거든 / 왜 그렇게 가짜 뉴스가 나오는지 / 나는 이해가 안 되네 / 가짜 뉴스를 내서 자네들이 / 이득을 얻고자 하는 것이 무엇일까 / 뭘 거 같애 / (()) /
	
P0 	:나는 뭐 그 사람들이 / 얻는 이득 이득은 / 당연히 약간 여론 있잖아 여론 / 여론 중요하잖아 여러 사람들의 의견 / 여론이 / 내가 원하는 방향으로 흘러간다 / 그러고 나한테 그렇게 할 능력이 있다 / 그 얼마나 큰 / 장점이야 엄청 큰 이득이고 / 내가 누군가한테 / 네 편이 잘 되면 좋잖아 내가 / 근데 나한테 / 네 편히 잘 되게 할 수 있는 능력이 있어 / 그런 능력을 마음껏 발휘하는 게 / 난 가짜 뉴스 생각을 해 / 어떻게 보면은 일정 / 집단의 이득을 위해서 움직이는 뉴스지 / 근데 엄마는 이런 뉴스들에 대해서 / 이런 쫌 체벌 / 이런 게 필요해 라고 생각을 해 /
	
P1 	:이게 이제 엄마는 / 진실은 / 결국은 드러난 거잖아 / 가짜는 가짜일 뿐이고 / 결국은 물론 시간이 얼마만큼 / 단축되고 길어지느냐에 따라서 / 그 차이는 있겠지만 / 결국은 진실은 드러나는데 / 결국은 진실이 드러난 거에 대해서 / 가짜에다 목 매여서 / 그렇게 이득을 찾고 / 그 이득으로 인해서 뭘 얼마나 / 부귀영화를 누리고 살겠다고 그러는지 / 자기가 그 가짜 뉴스란 게 얼마나 자기 / 자신이 초라하고 / 가치관이 없고 뚜렷하지 않으면 / 그 이 가짜 뉴스로 인해서 자기가 / 자기를 드러내고 / 자기를 세우고 / 자기를 나타내는 그런 사이코 기질을 하고 있는지 나는 / 이해할 수가 없네 /
	
P0 	:그렇게 생각을 할 수 있는 거 같애 근데 / 쫌 내가 느끼기에는 / 요즘에는 요즘 세상은 / 진실이 / 진실이 아닐 수도 있는 세상이잖아 / 왜냐면은 / 정부가 이렇게 정부가 이렇게 다스리고 있고 / 또 어떤 권력 있는 사 권력이 / 집중되어 있잖아 여러 쪼금 소수의 사람들한테 /
	
P1 	:(()) /
	
P0 	:그 사람들이 / ((목소리에)) 대고 사람들이 주장하는 게 / 설령 가짜 뉴스더라도 / 진짜가 될 수 있다고 생각을 하거든 / 근데 어~ / 만약에 음 / 나는 솔직히 이렇게 엄마가 / 엄마는 손해의 배상을 하고 / 처벌하는 게 맞다 / 라고 이제 말 했는데 / 난 좀 부정적으로 봐 / 왜냐면은 / 처벌의 근거가 무엇이 돼야 되는가 / 진실은 어떤 걸 판도로 / 진실로 규정이 되는가 / 라는 의무 의구심이 들거든 / 엄마는 어떻게 생각해 이런 / 진실에 대한 판독가 / 어떤 것이 돼야 되며 / 또 이렇게 잘 작동할 수 있을까라고 생각을 해? /
	
P1 	:결국은 가짜 뉴스는 사람을 속이는 거잖아 / 속이는 것이고 / 눈가리 눈을 가리게 하는 것이고 우리의 / 어떤 사고라든지 이런 것들을 / 분별하지 못하게 하는 거거든 / 그리고 / 뭔 말해야 될지 까먹었네 생각을 잊어버렸네 /
	
P0 	:근데 쫌 엄마 말이 또 / 이해가 가는 부분이 있어 왜냐면은 /
	
P1 	:(()) /
	
P0 	:엄마 말대로 진실은 언젠가 밝혀지더라도 / 보면은 진실은 이제 / 쫌 우리의 그런 / 생각대로 되지 않잖아 세상이 / 그러다 보니까 / 어 내가 감출려고 해도 / 언젠가는 드러나잖아 / 사실 쫌 그 티비 방송 중에서 막 / 그런 막 꼬리에 꼬리를 무는 그날 이야기 /
	
P1 	:(()) /
	
P0 	:이런 것처럼 / 좀 시간이 엄청 오래 지난 후에 있어도 / 진실이 밝혀 진단 말이야 / 근데 어 나는 근데 대신에 이런 / 촌에 대해서 처벌하는 걸 왜 반대하냐면 / 어 아까 말한 것처럼 / 확인하는 기준이 없고 / 그리고 또 요게 / 아닐 수도 있다는 거지 기준이 없으니까 / 지금 당장에는 맞더라도 / 먼 시간이 지난 후에는 /(note : 발화겹침) 억울한 사람이 생길 수 있다 /
	
P1 	:(()) /(note : 발화겹침) (()) /
	
P0 	:라는 게 나의 생각이야 그래서 / 처벌까지 가는 게 옳을 / 옳을까라는 쫌 / 그런 회의감이 좀 들긴 해 / 엄마의 생각은 쫌 어때? /
	
P1 	:처벌의 기준이라는 게 / 진짜 그 꼬꼬무를 보면서 / 그 긴 시간에 시간이 흘렀지 많은 / 결국은 진실이 밝혀졌을 때 / 그 긴 시간 동안에 / 그 가짜 뉴스로 인해서 / 그 사람을 속임으로 인해서 자기 이득을 위해서 / 그 사람을 속임으로 인해서 감춤으로 인해서 / 그 받은 그 상처들은 어마어마 하거든 / 평생 트라우마고 결국은 / 자기의 삶도 다 흐트러져 버리고 / 자기의 삶을 온전하게 살 수 없는 그런 / 상황이 된 게 이 한 사람의 / 뉴스를 내는 이 한 사람의 이득을 위해 / 이득 때문에 / 일파만파로요 이거 / 상처받은 사람들은 어마어마하잖아 / 이 사람들을 / 상처는 누가 보상을 해 주냐 이거야 / 이거 가짜 뉴스 낸 사람이 보상을 해 줘? /
	 결국은 아니야 / 그러 그러기 때문에 이 가짜 뉴스는 / 하루속히 빨리빨리 / 처리를 강력하게 해서 / 처벌을 해야 된다고 나는 생각을 해 엄마는 / 드 처벌의 기준은 / 사실의 근거에서 그냥 처벌을 하면 되지 않을까 / 옳고 그름 사실 있는 사실 /
	
P0 	:왜 이게 사실이라고 말했는데 / 이 옳고 그름의 사실은 / 우리는 뉴스를 보면은 항상 제삼자잖아 / 우리가 이렇게 당사자인 경우는 / 진짜 뭐 인생 살다가 / 한 두번 있을까 말까 생각을 하는데 / 내가 나한테 이 사실을 판단할 / 그런 정보가 없다는 거지 / 그래서 나는 왜 이거 반대를 하냐면 / 뉴스는 / 잘못된 뉴스가 있더라도 / 어떤 뉴스든 좀 ((아는 게)) 생각을 해 나한테 / 이렇게 참고할 수 있는 자료에서 어떻게 보면은 / 틀리더라도 자료들이잖아 / 이 중에서 / 판별을 하는 것은 나의 능력이고 / 내가 알고 있는 나의 지식이 기반된 / 나의 능력이야 / 근데 만약에 이런 / 가짜 뉴스에 대한 처벌의 이제 권리는 / 나한테 주는 게 아니잖아 / 전문가한테 주는 게 아니고 / 어 소수의 그 권력을 / 갖고 있는 집단한테 주는 거잖아 / 거기에 대해서 / 주는 건데 그게 과연 / 진실을 우리가 추구하는데 있어서 도움이 될까 / 오히려 / 나한테 하나의 한 가지 뉴스 / 아 쫌 그런 것만 내가 / 받아들일 수 있는 그런 / 위험이 있지 않을까 / 라는 생각이 드는데 / 뭐 이렇게 중벌을 한다 해서 / 뉴스가 뭐 이렇게 한 가지가 되거나 / 뭐 이러지 않겠지 / 하지만 지금의 이제 / 나오고 있는 이 정보들이 / 적어진다는 건 사실인 거 같애 / 엄마는 이런 상황에 대해서도 쫌 / 긍정적으로 / 보고 있는 거 같애 /
	
P1 	:아니 엄마가 /(note : 발화겹침) 가짜 뉴스에 대해서 /
	
P0 	:(()) /
	
