# FILE DATA
ID : SDRW2100001000
category :  구어 > 사적대화 > 협력적대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211111
topic : 안락사·존엄사 법제화 > 법제화의 장단점, 체계적인 법규정 필요성

# SPEAKER_INFO
id : SD2100725
age : 30대
occupation : 무직/취업준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 대졸

id : SD2100726
age : 30대
occupation : 무직/취업준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 대졸

# SETTING
relation  :  친구


P0 	:나는 이 안락사라는 주제에 대해서 / 찬성하는 입장인데 / 나는 내가 전에도 아파봤고 / 약간 그런 거를 / 거 보니까. /
	 그 병이라는 질병이나 뭐 사고로 인해서 질병이 있는 아 뭐지 아픈 사람도 있겠지? /
	 근데 아무튼 그 아프다는 거에 대해서 / 그 너무 괴롭고 뭐 병마다 다르겠지만 / 그 괴롭고 그 하루하루 견뎌내는 게 너무 힘들다는 거를 몸소 / 겪으면서 나보다 더 아프신 분들은 도대체 어떻게 / 살까 / 암 같은 경우도 있고 / 그런 / 그 신장 안 좋은 거 / 투석하시는 분들도 그렇고 너무 괴로운 사람들은 솔직히 / 안락사가 좀 가능 / 해 져야 되지 않을까 이런 생각이거든. /
	 너는 어떻게 생각해? /
	
P1 	:어 되게 어렵고 무거운 주제인 거 같애. 안락사라는 게 근데 / 나는 솔직히 인간이고 / 인간이 갖고 있는 그 생명은 / 굉장히 소중하고 귀중하다는 생각을 해. /
	 이거를 아무리 그래도 / 소극적이든 적극적이든 그런 안락사 방법으로 인해서 끊는다는 건 / 나는 너무 그거는 반대하거든. /
	 어 / 아무리 고통스럽고 하지만 / 생명은 되게 소중하기 때문에 / 너는 / 너도 알다시피 / 일찍 나이의 이제 아버지가 돌아가셨잖아. /
	 그래서 아버지랑 이제 투병 생활도 하고 아버지 / 병원에서 있는 것도 다 지켜 봤었는데 / 그래도 아버지는 / 그 생명을 좀 꼐속 살고 싶어 하는 그런 거를 내가 느꼈거든. /
	
P0 	:근데 마찬가지 우리 삼촌도 인제 암으로 / 병원에 입원해 계셨을 때 내가 / 간호를 많이 했었는데 / 나도 그때 어린 나이에 처음 겪어 본 거지. /
	 좀 충격을 받았던 게 많이 있었던 게 / 병원이라고 정말 병을 낫게 해 주는 데가 아닐 수도 있구나라는 생각을 많이 했었고 / 아 병원도 결국은 그냥 장삿속에 하는가 / 그런 생각을 한 게 삼촌이 인제 / 항암치료 때문에 / 너무 힘이 들고 구역질 나고 하잖아. /
	 그런 상태에서 아무것도 못 먹고 당연히 밥도 못 먹고 있는데 그냥 약을 / 특 던져 주고 가는 거야. /
	 기계들인가 사람들인가 이런 생각도 들면서 / 과연 삼촌한테 지금 투병하고 있는 이 시간이 / 의미가 있나 / 나중에는 결국 호스피스로 가셨거든 / 그건 정말 그냥 / 산소통 그냥 갈까 / 끼고만 있는 거라고 하더라고. /
	
P1 	:알아. /
	 그 아픈 암 환자들이 어떤 그 진행 상태를 너도 지켜 봤겠지만 / 되게 고통스럽고 힘들지. 그거는 뭐 / 나중에는 등에 마약 패치를 붙일 정도로 / 고통을 좀 / 억제시킬려고 그렇게 또 활용을 하더라고. /
	 근데 나는 아무리 그래도 / 어떻게 해서든지 살릴 살려야 된다 하루라도 / 같이 왜냐면은 사람이잖아. 인간으로 태어났기 때문에 그 / 숨 쉬는 거 숨통을 / 그렇게 끊는 거는 생각만 해도 너무 무섭고 / 어 안 좋은 일이라고 생각을 해. /
	
P0 	:너는 근데 또 생각이 드는 게 얼 작년 올해였나? /
	 개그맨 그 박지선이 엄 어머니랑 같이 이제 동반자살을 한 걸 보면서 / 뭐 암은 아니었지만 / 그 여자로서 되게 그냥 그 난치병이라는 것도 되게 힘들거든. 그게 / 암처럼 차라리 내가 정말 아픈 게 확 눈에 보이거나 이런 게 아니라 / 정말 내가 뭐 / 어떤 부분에서 / 이게 어떻게 괴로운지 이거 설명을 할 수 없는 병들이 되게 많아. /
	 근데 그렇게 / 힘 되게 얼마나 얼마나 힘들었을까. 그런 상황에서 차라리 안락사가 있었다면 / 괜찮지않았을 더 편하게 좀 마음 편히 / 그렇게 자기 삶을 결정할 수 있지 않았을까라는 생각이 드는데 아무 / 생명은 소중하지만 / 내 생명이지 않나 이런 생각도 나는 좀 들어 /
	
P1 	:아 근데 안락사를 / 자꾸 그렇게 조장하는 분위기가 된다면은 / 사회적으로도 되게 큰 문제가 될 거 같애. /
	 일단 생명 존중하는 / 존엄성에 대한 훼손이 생길 거고 / 생명을 경시하는 풍조도 조장이 될 거 같고 / 여러 가지 문제점이 많을 거 같아서 아직은 그게 / 정당하다고 / 아니 / 그게 돼야 된다라고 생각이 아직은 좀 멀게만 느껴지는 건 좀 사실이야. 나는 /
	
P0 	:나도 뭐 생명을 경시하거나 이런 건 아닌데 / 나는 / 많은 병들을 되게 / 관심이 많았는지 모르겠는데 / 씨알피에스라고 진짜 뭔지 알아? /
	 그 / 통풍하고는 비교하지만 되는데 그냥 가만히 있어도 / 뭐 외상후 무슨 / 골 뭐 골절장앤가 / 계속 내 신경을 / 칼로 베는 것처럼 그런 고통이 계속 / 있다는 거야 그거 이십사 시간인 사람들은 / 마약을 입에 물고 있을 정도로 너무 괴롭대. /
	 근데 나는 한 번씩 이제 내가 / 아팠던 경우도 있지만 / 지금은 이제 내가 편하게 살고 있지만 / 한 번씩 그 사람들을 생각하면은 / 지금쯤 그 사람들은 또 어떻게 하고 있을까 / 어떻게 이 시간을 견딜 수 있을까 / 보면 젊은 사람이 되게 많더라고. 그래서 / 저런 사람도 솔직히 너무 나았으면 좋겠지. 너무 약이 개발되서 / 하루 빨리 나았으면 좋겠지만 저 사람들은 정말 한 시간 / 하루 버티는 게 너무 힘들어 보여서 / 아 진짜 이런 생각하면 안 되지만 좀 안락사가 / 저 분들한테는 / 차라리 / 좀 편할 수 있겠다 이런 생각이 들더라고. /
	
P1 	:진짜 힘든 사람이 / 그런 생각이 들 / 수도 있다고 생각이 들어. 근데 안락사 때문에 / 진짜 보험금을 노리고 진짜 / 그런 문제를 야기시킬 수 있단 말이야. /
	 그냥 본인은 원치도 않았는데 / 뭐 주변 가족들이 어떻게 보면 말 못 하고 진짜 식물인간으로 누워 있지만 / 그 사람은 눈으로라도 난 정말 / 더 살고 싶어요 내 샐명을 끊지 말아요 라고 말하는 사람도 있을 수도 있는데 / 가족들은 뭔가 / 그 환자의 보험금을 노리거 거나 뭐 그런 이유로 그냥 / 안락사를 시켜 버린다면은 / 이게 또 계속 사례가 되면은 / 계속 악용되기 때문에 사회적으로 되게 큰 문제가 될 거라고 또 쪼금 / 생각이 드는 건 사실이야. /
	 그래서 나는 안락사는 / 좀 반대를 하는 경향이 좀 있는 거 같애. /
	
P0 	:어 근데 니 말 듣고 보니까 정말 그 / 식물인간이 되신 분들이나 내가 의사 표현 못 하는 상태에 있는 사람도 있을 수 있잖아? /
	 근데 / 가족이라고 해서 다 우리가 생각하는 / 그런 가족이 아닌 가족도 되게 많더라고. /
	 그래서 막 멀쩡한데. /
	 보호자라는 그런 / 명목하에 / 정신 병원에 막 가둔다거나 이런 / 긍가 난 나도 뭐 뉴스에서 이런 거 보고 하면서 / 아 진짜 안락사도 솔직히 뭐 가족이라 해도 / 가까운 사람이 제일 무섭다고 어떻게 이걸 악용할 수도 있을지 / 그런 것도 좀 걱정이 되네. /
	
P1 	:아 몰라 나는 / 내가 마음이 여린 건지 그냥 생명이 너무 소중한 거야. /
	 지나가다 동물만 봐도 / 막 뭐 내가 가방에 과자도 있으면 주고 싶기도 하고 그렇기 때문에 / 누군가가 그런 생각을 하고 있다면 나는 막 말리고 싶어. /
	 이 사람은 더 살고 싶어 하실 수도 있어요. /
	 사람은 소중한 존재예요. /
	 그렇게 함부로 사람의 생명을 끊지 마세요라고 막 / 모르겠어 그런 감정 내가 너무 감정적인 사람이다 보니까. /
	 그런 식으로 말을 할 거 같애. /
	 그리고 사람 생명이 진짜 사람은 쉽게 죽지 않거든. /
	 진짜 정해진 / 그리고 / 시기가 있는 건지 시간이 있는 건지 나도 한 번 아버지를 겪어 가지고 / 그렇게 때문에 인위적으로 그렇게 / 고통을 줄여 주는 방법은 / 나는 / 좀 반대야. /
	
P0 	:이것도 병마다 좀 다르다고 생각 되는 게 우리가 암 같은 경우에는 / 지금이야 뭐 보험 이런 게 많이 생겼지만 정말 / 너무 어렵고 보험 마저도 들 수 없을 정도로 너무 가난하고 / 아니면 또 뭔가 기회가 / 없어서 / 보험을 들지 못한 분들은 이제 암미 뭐 예고하고 오는 게 아니잖아. /
	 그렇게 해서 만약에 발병이 됐으면 / 그때부터 치료를 시작하고 이제 모든 / 이게 다 돈인데 / 그럼런비용들은 솔직히 뭐 본인 / 뿐만 아니라 가족들이 솔직히 더 부담인 거잖아. /
	 근데 그런 게 솔직히 뭐 / 우리가 뭐 상처가 나서 / 꼬매고 뭐 이렇게 해서 끝나는 게 아니라 계속적으로 이게 뭐 / 다 재발도 하고 막 그러니까 / 진짜로 집안에 환자가 한 명 있는 게 얼마나 가계적으로 부담이 되는지 / 그런 거를 보면은 솔직히 / 나는 좀 찬성쪽 /
	
P1 	:근데 요즘에 자살률이 자꾸 높아지고 있잖아. /
	 근데 안락사가 만약에 / 된다면은 자살률도 / 더 많이 오를 거 같애. /
	 지금도 삶이 힘들어서 자기의 생명을 그렇게 / 끊는 사람이 있는데 안락사까지 만약에 시행이 된다면은 / 우리나라 자살률은 / 얼만큼 오를까 가늠이 안 될 정도로 너무 소름이 돋는다. /
	 아 나는 생명은 그렇게 인위적으로 / 그렇게 끊는 거는 나는 반대야. /
	
P0 	:니 말 듣고 보니까 진짜 그거를 / 안 그래도 죽고 싶다 죽고 싶다 하는데 / 고통스럽게 죽을 바에야 뭐 안락사 / 를 통해서 / 그렇게 악용할 수 있는데 그런 걸 제도적으로 쫌 / 장치를 만들어서 / 하면은 좀 그렇게 악용 / 될 사래가 좀 적어 지지 않을까? 예를 들어서 뭐 / 결정을 하는데 있어서 뭐 / 가족들의 동의 하나만 가지고 이거를 뭐 / 한다는 거 이런 게 아니라 / 여러 가지 이렇게 절차를 좀마련해 가지고 / 쉽게 결정을 / 할 수 없도록 만드는 게 중요한 거 같애. /
	
P1 	:그래 생명은 진짜 그 자체만으로 정말 가치 있고 의미 / 있고 정말 소중하거든. 근데 너 얘기 들어보니까 만약에 / 본인이 정말 / 원한다면 / 그 사람의 의견도 / 반영을 하는 건 어떨까 갑자기 그런 생각이 좀 들었어. 그렇게 본다면은 / 안락사를 찬성하고 반대를 떠나서 / 그 사람의 어떤 / 결정이 더 중요하지 않을까 / 갑자기 그런 생각이 문득 떠오르는데 / 너는 어떻게 생각해? /
	
P0 	:솔직히 나는 되게 모든 거를 단순하게 / 쫌 이성적으로 생각을 했는지 모르겠는데 / 태어난 것도 내가 맘대로 해서 태어난 게 아닌데 / 내가 내 생명을 그렇게 맘대로 죽지도 못한다는 생각이 좀 되게 / 힘든 상황 그니까 사는 게 힘든 사람 같은 경우에 되게 / 억울할 것 같긴 하거든. /
	 그래서 뭐 이거를 악용될 수 있는 거를 방지하면서 / 내가 결정 / 할 수 있으면 / 그 내가 정말 / 사는 것보다 / 내가 지금 죽는 게 더 낫다하는 게 정말 정당해지면 정당란 / 의견이 있으면 / 쫌 / 안락사는 좀 허용돼야 되지 않나. /
	
P1 	:긍까 기 의사 표현만 좀 할 수 있을 정도 있잖아. /
	 눈을 깜빡인다 거나 뭔가 / 그거 / 뭐지 입으로라도 펜을 이케 붙잡고 / 자기 의사를 오 엑스라든가 / 아니면 손가락을 쪼끔 움직여서라든지 그런 의사 표현한 가능하면 / 그 사람의 의견을 존중해 가지고 / 그래도 / 고통과 힘듬을 좀 근데 어쨌든 본인 선택인 거잖아. /
	 그렇게 본다면은 / 나도 반대보다는 뭐 찬성도 아니고 뭐 그 사람의 결정 / 그게 더 우선시돼야 된다고 좀 생각이 들어. /
	
P0 	:그러니까 너가 걱정하는 거는 지금 악용할 수 있다. /
	 이런 생명은 소중하지만 / 그거는 뭐 그걸 무시한다는 건 아니고 / 그거 막 용 할 수 있는 그런 것만 좀 제도적으로 체계적으로 좀 / 좀 탄탄하게 마련을 해 놓으면 / 뭐 거의 인제 아파서 안락사를 택하는 사람들이 많겠지? /
	 그런 사람들한테는 솔직히 좀 필요하다고 생각을 해. /
	 그런 것만 좀 제도적으로 마련을 하면 / 어 솔직히 쫌 / 의료비 / 이런 경제적인 차원으로 좀 너무 접근하고 안 되지만 그런 것도 솔직히 좀 / 어 당사자들이 힘들 수 있거든. 그런 것도 해결이 되면서 / 괜찮을 것 같다는 생각이 들어. 나도 좀 말하면서 조심스럽네. /
	
P1 	:아 되게 어렵고 / 어렵고 무거운 / 주제로 너랑 나랑 얘기를 한 거 같애. /
	 근데 어쨌든 결론은 / 그 사람의 의견을 더 존중해주는 게 맞지 않을까? /
	 근데 만약에 / 진자 의식불명인 상태 있잖아. /
	 뭐 콤마 상태라 해야 되나? /
	 그런 상태인 사람은 진짜 어떤 / 결과를 / 줘야 되는지 모르겠네. /
	 그 사람도 만약에 자기 표현을 할 수 있는 상태가 있나? /
	 어렵다. 어쨌든 나는 그래. /
	 반대 입장에서 생명 소중하다고 너하고 얘기했는데 / 너 얘기도 듣고 보니까. /
	 그 사람의 의견을 존중해 주는 게 맞는 거 같애. /
	
P0 	:근데 진짜 자기 의사를 표시 못하는 그런 상황에 / 있는 사람들은 그 의료진 그 의사가 있을 거 아니야. /
	 그 사람들이 뭐 한 명이 아니고 여러 명이 그런 다수의 의견을 절충을 / 가족과도 물론 상의를 하겠지. /
	 그렇게 해서 인제 약간 / 어 / 결론을 그렇게 내서 그렇게 결정하는 것도 나는 / 괜찮다고 생각을 해. /
	
P1 	:그러면 / 그 안락사라는 건 / 본인의 결정과 의견도 가장 중요하다고 하는 걸로 / 너랑 나랑 / 좀 어떻게 합의점을 마쳤으면 좋겠다. /
	
P0 	:그렇지. 자기 뭐 응 생명은 소중하지만 / 어 너무 사는 게 힘들면 / 좀 어 죽음도 내가 선택할 수 있어야 된다고 생각해. /
