# FILE DATA
ID : SDRW2100001334
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211112
topic : 경제/재테크 > 서로 하는 주식투자 방법, 주식으로 이득/손해 본 경험, 코로나와 앞으로의 경제상황

# SPEAKER_INFO
id : SD2100743
age : 40대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 대졸

id : SD2100744
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 대졸

# SETTING
relation  :  연인


P0 	:재테크 같은 경우는 / 보통 뭐 적금이라던지 뭐 주식 부동산 / 이런 게 있을 거 같애. /
	 나는 뭐 부동산은 돈이 없어서 못 했고 / 처음에는 적금을 하다가 / 이제 작년부터 주식을 시작했어. /
	 너는 재테크는 지금까지 어떻게 해 왔어? /
	
P1 	:나 뭐 / 어릴 때는 / 그냥 흥청망청 다 써서 한 게 없고 / 나도 최근에 이제 주식 좀 시작 / 해서 그걸로 하고 있는 거랑 / 그리고 갭 투자 한 게 있어. /
	
P0 	:갭투자를 한 거는 부동산 투자 말하는 거야? /
	
P1 	:아 어 전세를 / 끼고 / 집을 산 거지. /
	
P0 	:나 같은 경우는 / 그 박근혜 정부 때 만든 재형 저축이란 게 있는데 / 칠 년 동안 / 넣은 금액이 / 천오백만 원 정도였어. /
	 그래서 비과세로 들어가는 거기 때문에 / 만기가 되니까 거의 십 프로가 되는 거를 줘서 / 천오백에 / 백오십만 원이 이자로 들어 왔더라고 / 처음에는 되게 기분이 좋았는데 / 그다음에 / 어떤 유튜브 영상을 보게 됐는데 / 그 기간 동안 내가 만약에 / 삼성전자 주식을 샀더라면은더 큰 수익이 났 / 던 거를 깨달고 주식 투자를 한 건데 / 혹시 너는 / 뭐 지금 주식 투자 같은 건 하고 있어? /
	
P1 	:나도 / 작년부터 / 소소한 금액으로 조금씩 / 좀 공부하고 있는데 / 아직 / 주식에 대해서 잘 모르고 좀 어렵더라고 / 그래서 / 재테크 / 라고 할 것까지는 없고 / 응 거기까진 아니야 그냥 재미로 한번 해 보고 있어. /
	
P0 	:그래도 일단 재미로 하기에는 / 내 나의 소중한 자산이 들어가는 거잖아. /
	 그래서 일단 공부를 좀 많이 해야 된다고 생각을 하고 있고 / 나 같은 경우는 이제 한국 주식도 하고 있고 / 이제 미국 주식도 같이 하고 있는데 / 한국 주식 같은 경우는 계속 샀다 팔았다를 하게 되는데 / 미국 주식 같은 경우는 밤에 / 하는 것도 있고 / 아니 / 그래서 좀 / 사 놓고서는 약간 방치 / 를 하게 되니까 오히려 수익률은 더 나고 있더라고 / 넌 혹시 뭐 한국 주식만 하고 있어 아니면 미국 주식도 같이 하고 있어? /
	
P1 	:나는 지금은 한국 주식도 좀 어려워서 한국 주식만 하고 있 / 구 / 미국 주식은 / 앞으로 / 해 볼려고 /
	
P0 	:일단 미국 주식 같은 경우는 / 처음에는 나는 애플이랑 / 마이크로소프트 / 코카콜라 이것만 했었다가 / 코카콜라는 갑자기 오르길래 팔았는데 더 오르더라고 / 그래서 / 애플이랑 마이크로소프트 마이크로소프트는 놨뒀더니 / 지금 일 년 정도 투자를 했는데 / 일 년 전에 샀던 금액보다 / 마이크로소프트는 지금 육십 프로 / 애플은 사십 프로 정도가 올라 있더라고 / 그래서 미국 투자는 장기 투자가 좀 더 낫다고 생각은 해. /
	 만약에 너는 미국 주식을 한다면 / 뭐 사고 싶은 주식이라던지 언제 생각해 본 주식이 있어? /
	
P1 	:나는 아직 미국 주식 공부를 한 게 아니라서 / 음~ / 잘 / 모르겠어. /
	
P0 	:근데 나도 공부를 해보니까 / 뭐 미국 주식도 한국 주식이랑 마찬가지로 / 예를 들면은 / 뭐 반도체 회사들이라든지 / 아니면은 뭐 / 음식료 회사라던지 / 뭐 우리가 알고 있는 뭐 버거킹이나 뭐 그런 거 같은 / 음식 / 료 회사라던지 그런 거를 / 하면 될 거 같더라고 /
	
P1 	:나는 / 지난번에 언제지 한 오 개월 전인가 / 그 / 도지 / 그 비트 / 코인이 있었잖아. /
	 그거 / 그 / 가상 화폐 거래 / 그걸 한 번 했었다. /
	 그거를 / 이백만 원을 했는데 팔백만 원을 번 거야. /
	 그래서 와 이거 진짜 좋다. /
	 그러고서는 너무 재밌게 했는데 / 거의 / 한 / 하루 만에 팔백만 원 벌었는데 / 너무 좋아서 다시 하지 말았어야 되는데 / 다시 더 해서 / 다음 날 바로 또 사백만 원을 잃었어. /
	 그래서 그거는 좀 재테크에 도움이 안 되는 거 같애 도박 같아. /
	
P0 	:코인 같은 경우는 / 올해 초에 올랐을 때 / 사람들이 다 달려들었다가 / 국가 대비 거의 반 토막 정도 / 로 풍납까지 했더라고 그 다음에 사람들이 다 떠나고 나니까 / 요즘 보니까 다시 오르고 있는 게 보이더라고 / 그러면은 / 지금 갖고 있는 것들에서는 / 지금 뭐 / 원금 대비 손실이나 회복 같은 거는 되지 않았어? /
	
P1 	:결국에는 손실을 보진 않았는데 지금 / 그냥 / 거기 / 코인에서는 돈 다 빼고 이제는 / 그건 안 하려고 위험했어. /
	
P0 	:그럼 다시 국내 주식 얘기를 해 보면 일단 다음 달 / 말이 이제 십이 월이어서 연말이라서 / 이제 / 나 같은 경우는 배당주 위주로 투자를 하고 있거든 / 아무래도 / 은행 적금 금리가 낮다 보니까 / 은행 적금 대비 / 배당률도 많이 주면서 / 또 / 성장성도 있는 산업으로 / 하면 좋을 것 같아서 그렇게 하고 있는데 / 넌 혹시 뭐 지금 따로 하고 있는 건 있어? /
	
P1 	:따로 하고 있는 거는 / 없고 / 빚 갚고 있어. /
	
P0 	:무슨 빚을 갚고 있어? /
	
P1 	:대출 빚이야. /
	
P0 	:그럼 대출 빚 같은 경우에는 / 이자만 내고 있어 아니면 원금이랑 이자를 같이 상환하고 있어? /
	
P1 	:원금이랑 이자 같이 상환 / 하고 있어 지금은 / 처음에는 / 이자만 내는 기간도 있고 / 있었고 지금은 원금 이자 같이 / 갚아 가고 있어. /
	
P0 	:그럼 지금 남은 / 대출 상환금은 얼마 정도가 돼? /
	
P1 	:얼마 안 돼 한 칠백만 원 정도 있을까 확인해 봐야겠다. /
	
P0 	:나 같은 경우는 따로 지금 / 뭐 빚을 있는 건 아닌데 / 이번에 주식 투자를 하면서 / 조금 레버리지를 일으켜서 / 뭐 비트라고도 하는데 / 그 대신에 조금 안정적인 종목으로 하고는 있어. /
	
P1 	:나도 아까 / 말했던 것처럼 / 배당금 있는 거 / 그거를 찾아서 / 그걸 / 배당금 / 연말에 받으려고 / 그걸로 일단은 지금 많이 모으고 있는 있는 편이야. /
	
P0 	:배당 같은 경우는 / 증권주라던지 뭐 지주사 / 이런 데가 많이 주는 거 같더라고 / 그리고 일단 내년 같은 경우에는 / 올해 반도체가 너무 안 좋아서 / 내년에는 올해 안 좋았던 뭐 반도체라던지 / 아니면은 조선업 쪽 이런 쪽이 난 좀 / 유망한 걸로 생각하는데 / 너는 혹시 내년까지 바라본다면 / 어 지금 생각하고 있는 업종 같은 게 있어? /
	
P1 	:나도 이제 / 위드 코로나가 됐으니까 / 이제 소비가 늘어날 테니까 / 금융사 카드사 쪽이 좀 잘 될 거 같고 / 어 그리고 여행 상품 / 그런 거랑 카드사 정도 그거 정도만 생각나는데 /
	
P0 	:위드 코로나라고 하면은 뭐 화장품 주나 / 엔터 주 같은 것도 / 요즘은 많이 다시 부각을 / 받을려고 하는데 그 중국발 리스크가 있어 가주구 / 조금 주가는 / 많이 어렵더라고 /
	
P1 	:맞아 나 나는 근데 그런 경제에 대해서 잘 몰라 가지고 / 그런 건 모르겠고 아까 말한 대로 / 이제 앞으로는 뭐 / 일부 실내에서도 그렇고 / 실외에서도 그렇고 / 이제 마스크 벗게 해 준다고 해서 / 그래서 / 화장품주 잘 될 거 같애. /
	
P0 	:사실 지금 우리나라만 이렇게 마스크에 대해서 / 많이 제약이 있는 거지 / 뭐 스포츠 뉴스 같은 거 보면은 외국 같은 경우는 / 이미 확진자가 많이 나와도 / 그냥 다 마스크 안 쓰고 하더라고 / 어차피 사망률이 낮기 때문에 그냥 감기 같이 가는데 / 사실 우리나라 같은 경우는 / 이렇게 너무 이렇게 하는 게 나 솔직히 경제에도 / 많이 안 좋다라고 생각하거든 너 혹시 어떻게 생각해? /
	
P1 	:나도 그렇게는 생각은 하는데 / 그래도 / 일단 / 감기 예방도 되고 하니까 / 마스크는 쓰는 거는 괜찮은 거 같고 / 너무 강요는 / 안 했으면 좋겠어. /
	 그래서 지금 / 많이 이제 백신 많이 받고 맞고 하니까 / 지금 되게 힘들었던 자영업자들이 지금 다시 매출 되게 많이 / 매출이 되게 증가를 했대 그래서 / 이렇게 돼 / 시간 제한이나 이런 거 풀린 게 되게 / 소상공인들한테는 좋은 거 같애. /
	
P0 	:나도 그거는 좋다고 생각하는데 / 이미 망할 사람들은 다 망했다고 생각하고 / 이제 와서 한다는 게 / 조금 / 정부 정책에 실패였지 않았나. /
	 그냥 그렇게 생각하고 있고 / 그래서 앞으로의 재테크가 더 중요한 거 같더라고 / 이게 미래를 대비하지 않고 / 만약에 재테크를 하지 않으면은 / 어떤 일이 닥쳤을 때 / 대비가 전혀 안 되더라고 / 그러면은 뭐 앞으로는 뭐 재테크를 어떻게 하겠다거나 / 아니면은 어떤 거를 좀 더 중점적으로 하겠다라는 / 계획 같은 게 있어? /
	
P1 	:일단은 나는 지금 재테크에 한 게 없었어서 / 없다가 최근에 / 부동산으로 / 한번 해봤는데 / 이게 / 이게 / 몇 년 동안 뼈 빠지게 모으는 것보다 / 수익이 빠르게 크게 나더라고 / 그래서 / 일단은 그쪽에 부동산 쪽에 관심을 좀 두고 / 공부를 해 볼까 하고 / 그리고 / 적금은 이자도 별로 없어서 / 조금만 일부 한 십만 원씩만 하고 있어. /
	
P0 	:나 같은 경우는 적금은 이제는 하지 않고 있구 / 오히려 적금을 / 넣을 금액으로 일정 금액을 / 적금 식으로 해서 주식에 넣는 방법으로 하고 있어 적금보다 / 더 / 적금이자 보다 배당률이 더 많은 걸로 하고 있는데 / 그럼 아까 부동산 얘기를 했었었는데 / 그럼 지금 하고 있는 갭투자 외에 / 추가로 부동산에서 매입할 계획도 있는 거야? /
	
