# FILE DATA
ID : SDRW2100002105
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211120
topic : 먹거리 > 점심메뉴 고민과 전에 먹었던 음식

# SPEAKER_INFO
id : SD2101881
age : 20대
occupation : 학생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
education : 대재

id : SD2101882
age : 10대
occupation : 학생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
education : 대재

# SETTING
relation  :  형제/자매


P0 	:어 그러면 / 너 오늘 / 점심 뭐 먹고 싶어? /
	
P1 	:나는 / 어제 술을 마셔서 / 해장으로 마라탕 먹고 싶어. /
	
P0 	:마라탕 몇 단계 먹는데 너? /
	
P1 	:나는 매운 거 잘 못 먹어서 / 어 영 단계나 일 단계? /
	 언니는 / 몇 단계를 먹는데? /
	
P0 	:나는 / 보통 이 단계 먹지. 이 단계가 / 이 단계가 딱 적당하게 맵고 / 난 그게 제일 입맛에 맞는 거 같애. /
	
P1 	:마라탕 말고 좋아하는 음식 있어 / 마라탕 말고 좋아하는 음식 있어? /
	
P0 	:나는 / 국밥도 좋아하고 / 떡볶이도 좋아해. 최근에도 닭발 떡볶이 먹었어. /
	
P1 	:응 맛있었겠다. /
	 나는 / 마라탕도 좋지만 / 신 국물이 좋아. /
	 설렁탕 같은 거 / 언니도 좋아해? /
	
P0 	:나는 흰 국물은 / 국밥 말고는 / 별로 안 좋아하는 것 같애. /
	
P1 	:아 그렇구나. /
	
P0 	:그럼 너는 / 어제 술 마셨다고 했잖아. /
	
P1 	:응. /
	
P0 	:어디 갔어? /
	
P1 	:나는 / 두정동에 / 먹자골목 쪽에 있는 일구사삼에 갔어. /
	 거기서 / 맥주 / 생맥으로 오백 두 개랑 / 소주 / 쏘주 / 두 병 시켰어. /
	
P0 	:너무 많이 마셨는데? /
	
P1 	:근데 내가 주량이 약해서 / 친구가 한 병 반 마시고 / 난 세 잔 밖에 못 마셨어. /
	
P0 	:그럼 안주는 / 뭐 먹었어? /
	
P1 	:안주는 / 콩볼이랑 / 그리고 / 육회 / 친구랑 각각 한 개씩 시켜 먹었어. /
	 맛있더라고. /
	
P0 	:술보다 안주를 더 많이 먹었네? /
	
