# FILE DATA
ID : SDRW2100000840
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211101
topic : 반려동물 > 개에게 주면 안되는 음식, 반려동물 가정교육, 키우고 싶은 동물, 애완용품

# SPEAKER_INFO
id : SD2100643
age : 10대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 서울
education : 중졸

id : SD2100644
age : 10대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 중졸

# SETTING
relation  :  친구


P1 	:나 요즘 / 강아지 / 에 그~ / 관심이 많이 생겼거든. /
	 근데 너가 강아지를 키우잖아. /
	
P0 	:응. /
	
P1 	:그래서 혹시 / 어떤 거를 주의해야 되고 / 어떤 것에 더 관심을 가져야 되고 / 난 그런 것들이 궁금해. /
	
P0 	:나는 나도 솔직히 강아지를 처음 키워 보는 거고 / 키운지 얼마 안 됐잖아 나 사실 일 년 정도 밖에 안 됐잖아. /
	 근데 일단 강아지를 키우면 주의할 점이 엄청 엄청 많고 / 그 사람이 먹는 음식을 다 주면 안 돼 일단 양념된 거나 / 그런 거 주면 안 되고 / 너 강아지 무슨 종 키우고 싶은데? /
	
P1 	:나는 시츄 키우고 싶어 눈이 엄청 땡그란 게 귀여워서 /
	
P0 	:아 진짜 근데 / 뭐 시츄가 아니더라도 눈 땡그란 강아지 많아. /
	
P1 	:나는 그냥 시츄 / 내 친구가 시츄를 키우기도 했고 / 시츄가 엄청 / 귀엽게 달려오는데 그때 반해 가주구 / 시츄를 꼭 키우고 싶어. /
	
P0 	:아 진짜? /
	 근데 난 반대로 강아지를 키우고 있으니까 고양이가 키우고 싶었는데 / 넌 강아지가 키우고 싶구나. /
	
P1 	:나 요즘 / 고양이한테 밥 주러 가는 거 몰라? /
	
P0 	:내가 어떻게 아니? /
	
P1 	:고양이가 / 되게 도도한 고양이도 많은데 / 우리 아파트에서 / 돌아다니는 고양이들은 다 / 약간 친화력이 좋고 귀엽고 그래서 / 애교도 진짜 많구 밥도 진짜 잘 먹어. /
	
P0 	:그렇구나 / 근데 나도 강아지 키우잖아. /
	 우리 강아지도 밥 진짜 잘 먹고 / 잘 놀고 잘 싸고 그렇거든. /
	 근데 또 어제는 일이 있었던 게 / 엄마가 우리 강아지한테 아보카도를 준 거야. /
	
P1 	:강아지가 아도 아보카도 먹으면 안 돼? /
	
P0 	:어 안 된다고 내가 강아지를 뎃고 왔을 때부터 얘기를 했는데 그거 저버린 거야 엄마가 /
	
P1 	:응. /
	
P0 	:굉장히 화가 났고 / 물론 엄마도 모르고 줬겠지만 / 주면 안 되는데 / 봐 봐 이런 식으로 강아지한테 주면 안 되는 게 굉장히 굉장히 많아. /
	
P1 	:어 그래 생각보다 많은 거 같네. /
	 요즘에 유튜브로 강아지 음식 만드는 사람들 많잖아. /
	 그걸 보고서 한번 레시피를 참고해서 만들어 보는 건 어떻게 생각해? /
	
P0 	:사실 난 음식을 잘 못해. /
	 그래서 강아지한테 줄 것도 분명 망할게 뻔해. /
	 안 하는 게 좋을 거야. /
	
P1 	:음~ / 너 항상 강아지한테 비싼 음식 맥이잖아. /
	
P0 	:당연하지 내가 굶더라도 / 우리 강아지한테는 정말 / 최고의 간식을 / 사실 우리 로지는 살쪄 가지고 아무거나 먹는데 / 좋은 거 줘야지 뭐 /
	
P1 	:그래 잘 키우고 / 난 오늘도 고양이 밥 주러 갈 거거든 저녁에 /
	
P0 	:그렇구나 / 간식 어디서 사? /
	
P1 	:나는 친구가 고양이를 키워 가주구 / 그 친구가 줬던 고양이 사료들이 집에 좀 몇 개 남아서 / 그걸 주고 있어. /
	
P0 	:정말 근데 그 친구랑 연락 안 한 지 좀 된 거 같던데 / 사료 유통기한은 지나지 않았니? /
	
P1 	:아니 내가 확인해 보니까 유통기 /
	
P0 	:안 지났구나. /
	
P1 	:유통기한은 그리 지나지 않았어 근데 / 갑자기 그 친구 하니까 생각나는 건데 / 그 친구가 고양이를 두 마리를 키우거든. /
	 근데 그 고양이들이 되게 / 뚱뚱하니 되게 포동포동하고 귀여운데 / 그 아이들을 / 못 본 지 좀 오래 돼서 / 음 갑자기 보고 싶네. /
	
P0 	:진짜 보고 싶으면은 한번 놀러 가 봐. /
	 반가워하지 않을까 그 부모님께서도 /
	
P1 	:그건 예의가 아니지 / 너는 그러면 /
	
P0 	:왜 /
	
P1 	:로디랑 하루 일과를 어떻게 보내고 있어? /
	
P0 	:아 나 로디랑? /
	 뭐 일어나자마자 / 강아지 일찍 일어나니까 항상 내 방에 들어와서 날 깨우지. /
	 물건 핥으면서 / 그러고 이제 나는 / 이제 / 온라인 수업을 들으니까 / 누워서 이제 자다가 수업 듣고 / 시간 되면 산책 나가고 / 밥 줄 거 있고 간식 줄 거 있으면 주고 / 그러면서 하루를 노는 거지 뭐 /
	
P1 	:혹시 / 너가 키우는 반려동물이 너를 물거나 / 짖지는 아니 않니? /
	
P0 	:당연하지 다 가정 교육 받은 앤데 /
	
P1 	:근데 저번에 놀러 갔을 때는 나 물었던 걸로 알고 있는데 /
	
P0 	:아 진짜 너가 싫은가 . /
	
P1 	:그런가 봐. /
	
P0 	:사실 잘 / 물지도 않고 / 아 내가 정말 물니까 어제 생각나는 일화가 있는데 / 진짜 한 번도 나를 으르렁대면서 문 적도 없고 / 짖은 아 뭐 그냥 / 강아지 알지 특유의 그냥 / 막 / 으르렁거리다가 칵 무는 거 /
	
P1 	:응. /
	
P0 	:한 번도 그런 적 없거든 나한테 / 어제 갑자기 엄 족발을 먹고 족발 뼈 / 그 다 닦아서 / 제일 큰 거 줬는데 / 그걸 이제 / 물다가 내가 뺏을려고 하니까 먹으면 안 되잖아. /
	
P1 	:아 근데 강아지들 족발 / 많이 먹어야 되는 걸로 알고 아 많이 먹지는 않아도 / 그래도 어느 정도 먹을 수 있는 걸로 알고 있었는데 그게 아니었어? /
	
P0 	:당연하지 족발 양념도 돼 있고 뼈다귀 절대 먹으면 안 돼. /
	
P1 	:근데 너 / 강아지한테 귤이나 이런 건 주지 않아? /
	
P0 	:귤이 귤에 양념이 돼 있진 않잖아. /
	
P1 	:근데 고기도 가끔 주는 사람 많던데 치킨 뼈 이런 거 /
	
P0 	:치킨 뼈를 주는 사람은 정말 상식이 없는 거야. /
	
P1 	:아 그래 우리 / 고모가 그러는데 /
	
P0 	:고모한테 꼭 전해 드려 절대 그러면 안 돼. /
	
P1 	:알았어. /
	 아 빨리 그 / 저녁이 돼 가주구 / 고양이 보고 싶다. /
	
P0 	:아 진짜? /
	 아 난 오늘 저녁에는 / 산책을 가고 싶지만 못 가. /
	
P1 	:왜 못 가? /
	
P0 	:오늘 좀 약속 있어 가지고 아까 낮에 미리 시켜 놨어. /
	
P1 	:아 오늘 약속이 있었구나. /
	 강아지를 데리고 한강으로 가 / 한강으로 가 가지고 놀고 싶은 그런 생각은 없어? /
	
P0 	:그런 생각이 있지만 한강까지 가는 그 길이 너무 험난한 거 같아. /
	 험난할 거 같애. /
	
P1 	:그럼 중랑천이라도 같이 가 봐. /
	
P0 	:우리 집 바로 앞에 성북천이 있는데 굳이 중랑천까지 가야 될까? /
	
P1 	:아 / 그렇구나. /
	 내가 미쳐 깨닫지 못 했네. /
	
P0 	:그런 것 좀 알고 말해 줬음 좋겠어. /
	 어제도 성수동 갔다 왔는데 /
	
P1 	:강아지 데리고? /
	
P0 	:당연하지 /
	
P1 	:나도 / 강아지랑 산책하고 싶어. /
	
P0 	:근데 너 우리 집 올 때마다 강아지 산책 시킬려 그러면 귀찮아서 안 나가잖아. /
	
P1 	:그 루디는 나를 물잖아. /
	
P0 	:계속 무는 게 아니야. /
	
P1 	:계속 물어. /
	
P0 	:계속 무는 거 아니야. /
	
P1 	:계속 물어. /
	
P0 	:너 발 냄새가 심한가 봐 원래 발 냄새 많이 나는 애들 물어. /
	
P1 	:{laughing} /(note : 발화겹침) 그렇구나. /
	
P0 	:강아지들이 알잖아 특유의 약간 꼬릿꼬릿한 냄새를 좋아하는 거. /
	
P1 	:그치. /
	 그래서 니 가랑이를 그렇대? /
	 암튼 / 너 근데 고양이 키우고 싶다는 생각은 / 안 들어? /
	
P0 	:아까 맨 처음에 고양이 키우고 싶다고 말했잖아. /
	 근데 그건 왜 갑자기 /
	
P1 	:아니 나랑 고양이 밥 주러 갈 생각 없어? /
	
P0 	:고양이 밥? /
	 미안 우리 루디가 먹을 밥도 없어서 /
	
P1 	:아니 나한테 사료 있잖아. /
	
P0 	:그럴 시간에 로디랑 좀 더 놀아 줄게. /
	
P1 	:아 그렇구나 알았어 나는 그 친구가 혹시 시간이 된다면 / 그 친구랑 가고 싶다 고양이 산책하러 /
	
P0 	:근데 고양이 산책 시키면 안 돼. /
	
P1 	:고양이는 원래 산책 잘 안 해 그냥 / 그 고양이가 유독 / 특이한 거야. /
	
P0 	:그렇구나 근데 고양이가 문제가 아니라 그 친구가 널 만나 줄까? /
	
P1 	:내가 사실 고양이를 보러 가는 장소가 그 친구 집 아파트 일 층이거든. /
	
P0 	:그렇구나 그럼 오늘도 만나겠네. /
	
P1 	:사실 / 진짜 가끔씩 만나. /
	
P0 	:그렇구나. /
	 고양이 밥 많이 줘. /
	
P1 	:알았어. /
	
P0 	:나도 우리 루디 밥 많이 줄게. /
	
P1 	:저번에 루디 신발 샀지 않았어? /
	
P0 	:맞아. /
	(note : 발화겹침) 신발을 세 번이나 바꿨거든 사이즈 때문에 /
	
P1 	:응. /
	
P0 	:결국엔 안 신어. /
	
P1 	:아예 안 신어? /
	
P0 	:어 신는 거까진 괜찮은데 / 자꾸 벗겨지고 / 얘가 막 불편해 하고 이러는 거야. /
	
P1 	:음~ /
	
P0 	:그래서 그냥 맨발로 다니긴 하는데 / 약간 너무 덥거나 너무 추우면 / 맨발로 걷기 힘들 때 있잖아. /
	
P1 	:그치. /
	
P0 	:그럴 때 신겨 볼려고 /
	
P1 	:그 / 너네 집 강아지 옷 같은 거는 많아? /
	
P0 	:당연하지 옷도 이게 진짜 취미 생활이거든 / 옷을 사 주는 게 -굉- 굉장히 재밌단 말이야 / 근데 애가 짜꾸 달이 지날 수록 살이 찌니까 / 샀던 것들이 전부 맞지 않고 / 얼마 전에도 쩌번에 입혔던 옷 입힐려니까 안 들어가더라고 /
	
P1 	:혹시 너 손재주는 있니? /
	
P0 	:손재주 많지. /
	
P1 	:그럼 너네 집 반려동물의 옷을 직접 만들어 볼 생각은 없니? /
	
P0 	:없어 그냥 살게. /
	
P1 	:아 그렇구나 그래도 너가 만든 옷 입으면 되게 뿌듯해 할 텐데 /
