# FILE DATA
ID : SDRW2100000284
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20210902
topic : 대중교통 > 지하철 노약자석 찬반, 호선 이용경험

# SPEAKER_INFO
id : SD2100283
age : 20대
occupation : 무직/취업준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
education : 대졸

id : SD2100284
age : 20대
occupation : 무직/취업준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 서울
education : 대졸

# SETTING
relation  :  대학 선후배


P1 	:아 &name2&아 그 대중교통 타면은 임산부 석이 있잖아? /
	 나는 가끔 거기 너무 힘들면 앉아서 가는데. 너는 / 거기 비워둬야 된다고 생각해 아니면은 / 그냥 앉아 있다가 오면 비켜 드려야 된다고 생각해? /
	
P0 	:기본적으로 나는 비워 둬야 한다고 생각은 하는데. /
	 나도 너무 힘들 때는 / 앉게 되더라고. /
	 어쩔 수 없이 이케 다리가 너무 아프다 보니까. /
	 서 있기가 불편하면 앉게 되는데. /
	 그래도 / 앉아 있을 때는 임산부 분이 혹시 주변에 있진 않은지 / 그런 거는 꼭 확인하고 있어. /
	 하지만 출퇴근할 때에는 / 사람이 워낙 많아서 비켜 주기도 쉽지 않으니까. /
	 그때는 그냥 무조건 비워 둬야 한다고 생각해. /
	
P1 	:나는 출퇴근 같은 경우에는 / 한 세 정거장밖에 안 되니까. 그냥 / 비워져 있어도 무조건 서서 가는 편인데. /
	 사람 일이라는 게 사실 / 어 엄청 멀리까지 가기도 하잖아 예를 들면은 / 내가 지금 월곡에 살고 있는데? /
	 뭐 천안까지 간다 이러면은 일 호선으로 갈아 타야 되는데. /
	 그러면은 그 시간에 / 안 비워져 있으면은 괜찮은데. 비워져 있을 때 / 솔직히 가서 앉고 싶거든. /
	 다리도 너무 아프고 천안까지 가는 데 뭐 / 삼 사십 분만에 가는 것도 아니고 갈아타기도 해야 되고 그래 가지고 / 그래서 나는 그때는 앉아도 된다고 생각해. /
	 물론 임산부 분이 오면은 바로 비켜 드려야 되구 / 하지마 근데 / 그 임산부 뱃지를 보는 게 쉬운 일이 아닌 거 같아. /
	
P0 	:맞아. /
