# FILE DATA
ID : SDRW2100003795
category :  구어 > 사적대화 > 협력적대화

# DOCUMENT DATA
title : 4인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20220113
topic : 원자력 발전소의 존폐 > 반대 : 위험부담이 더 크기 때문에 반대함.

# SPEAKER_INFO
id : SD2101181
age : 20대
occupation : 무직/취업준비생
sex : 여성
birthplace : 충북
principal_residence : 충북
current_residence : 대전
education : 대졸

id : SD2101182
age : 20대
occupation : 기타
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 대전
education : 대졸

id : SD2101183
age : 20대
occupation : 기타
sex : 여성
birthplace : 충북
principal_residence : 충북
current_residence : 대전
education : 대졸

id : SD2101184
age : 20대
occupation : 기타
sex : 여성
birthplace : 충북
principal_residence : 충북
current_residence : 대전
education : 대졸

# SETTING
relation  :  친구


P0 	:원자력 발전소가 / 있어야 하는 이유는 / 에너지 / 에 큰 도움을 주고 / 이산화탄소를 배출하지 않는다. /
	 원자력 발전소의 장점으로는 / 평가할 수 있는 요소는 / 정체적 / 정성적 그리고 정형적인 요소로 구분할 수 있을 / 있다. /
	 에너지로 보이는 기술과 자원 확 / 자원 확보에 정체 / 관점 요소이며 친환경적으로 / 평가할 수 있는 요소기 때문이야. /
	 그리고 / (()) /
	
P1 	:저는 원자력 발전소가 / 있어야 하면 안 된다는 이유는 / 원자력 발전소는 핵분열을 통해 발생하는 에너지로 / 증기를 만들고 그 증기로 / 터빈을 돌려 전기를 만드는 방식인데 / 이때 사용하는 핵 원료가 방사성 물질인 / 우라늄 또는 플루토늄입니다. /
	
P3 	:(()) /
	
P1 	:이러한 방사성 물질은 {clearing} 유출된다면 /(note : 발화겹침) 정말 큰일이 나기 때문에 /(note : 발화겹침) 대표적인 예로 체르노빌 /(note : 발화겹침) 또는 후쿠시마가 될 수 있다고 생각합니다. /
	(note : 발화겹침) 터지는 것도 그때에 끝나지 않고 /(note : 발화겹침) 후손들까지 방사능에 노출되어 기형아 또는 돌연변이가 태어날 수 있기 때문입니다. /
	(note : 발화겹침) 그리고 또 /(note : 발화겹침) 비용과 관리 측면에서 /(note : 발화겹침) 방사능 폐기물 처리 그리고 수명이 다한 원전에 대한 철거 비용 /(note : 발화겹침) 열로 인해 생태계가 영향을 받는 등에 문제가 /(note : 발화겹침) 계속 제기되고 있습니다. /
	(note : 발화겹침) 대한민국은 현재 /
	
P2 	:네 일단 /(note : 발화겹침) 저는 찬성하는 입장에서는 우리나라는 기름이 한 방울 나지 않는 /
	
P0 	:(()) /
	
P1 	:(()) /
	
P2 	:나라로써 /(note : 발화겹침) 석유나 석탄 천연가스 대부분을 해외에서 수입하고 있기 때문에 /(note : 발화겹침) 에너지는 에너지 없이는 단 하루도 살 수 없 /(note : 발화겹침) 없는 /(note : 발화겹침) 없는 것이 우리 생활인데 /(note : 발화겹침) 이제 그 /(note : 발화겹침) 원자력 발전소를 /
	
P0 	:(()) /
	
P2 	:한다면 /(note : 발화겹침) 작은 /(note : 발화겹침) 원자력의 작은 것으로도 /(note : 발화겹침) 큰 효과를 누르기 누릴 수 있기 때문에 /
	
P0 	:(()) /
	
P3 	:(()) /
	
P2 	:필요하다고 생각합니다. /
	
P3 	:원자력 발전소를 없애야 하는 이유는 /(note : 발화겹침) 가장 첫 번째로 안정성을 말할 수 있을 거 같은데요. /
	(note : 발화겹침) 원자력 발전소는 핵분열로 /(note : 발화겹침) 발생하는 에너지로 증기를 만들고 그 증기로 터빈을 돌려서 전기를 만드는 형식인데 /(note : 발화겹침) 이때 사용하는 원료가 방사성 물질인 우라늄 또는 플루투늄입니다. /
	(note : 발화겹침) 이러한 물지는 만약에 유출이 된다면 /(note : 발화겹침) 체르노빌 후쿠시마 같은 /(note : 발화겹침) 지금 그때는 아이 그때도 /(note : 발화겹침) 처리하기 힘들었는데 지금까지도 /(note : 발화겹침) 사람이 갈 수 없는 장손데 그게 터지면 /(note : 발화겹침) 아주 큰일이 되기 나기 때문입니다. /
	(note : 발화겹침) 그리고 /(note : 발화겹침) 초기 건설 비용도 문제지만 /
	
P2 	:(()) /
	
P3 	:원자력 발전소를 운영하면서 배출되는 여러 가지 폐기물 처리 /(note : 발화겹침) 이런 /(note : 발화겹침) -수- 수명이 다한 원전에 대한 철거 비용 등 /(note : 발화겹침) 문제가 지속적으로 제기되고 있어서 /(note : 발화겹침) 원자력 발전소를 없애야 한다고 생각합니다. /
	
P0 	:원자력 발전소가 필요한 이유는 첫 번째로 /
	
P1 	:(()) /
	
P2 	:(()) /
	
P0 	:에너지 자립 초석이 /(note : 발화겹침) 있기 때문이에요. /
	(note : 발화겹침) 그리고 두 번째는 /(note : 발화겹침) 환경 친화적 에너지이기 때문이에요. /
	
P2 	:(()) /
	
P0 	:음 /(note : 발화겹침) 지금은 /(note : 발화겹침) 지구 환경은 대기 오염 수질 오염 토양 오염 /(note : 발화겹침) 해양 오염 /
	
P3 	:(()) /
	
P2 	:(()) /
	
P0 	:등 기타 생태계를 파괴하는 /(note : 발화겹침) 위기에 처해 있는데 /(note : 발화겹침) 원자력 때문에 /(note : 발화겹침) 원자력이 이 /(note : 발화겹침) 주원인은 아닙니다. /
	(note : 발화겹침) 왜냐하면 원자력은 /(note : 발화겹침) 이산화탄소를 배출하지 않기 때문이에요. /
	(note : 발화겹침) 그리고 /(note : 발화겹침) 안정적인 -연- 연료 공급 에너지이기 때문이에요. /
	
P2 	:(()) /
	
P3 	:(()) /
	
P1 	:그리고 {clearing} /(note : 발화겹침) 원자력 발전소를 -반- 반대하는 이유는 /(note : 발화겹침) 폐기물 저장 관리 문제인데 /(note : 발화겹침) 연료봉에 갓 /(note : 발화겹침) 짧은 수명에 모순되게 원전에서 다 쓰고 남은 폐기물은 /(note : 발화겹침) 폐기 연료봉은 방사성 물질을 수만 년 -배- 방출하면서 관리가 필요하다고 합니다. /
	(note : 발화겹침) 이는 폐기물 관리뿐만 아니라 인건비 -토- 토지 오염 /(note : 발화겹침) 토지 효율에 대한 소실 손실도 우려되어 /(note : 발화겹침) 경제적 효율성에 대해 이해하기 힘든 부분입니다. /
	(note : 발화겹침) 단지 원료만 싸다고 과정 과연 이게 /(note : 발화겹침) 싸게 계속 싸게 될지 /(note : 발화겹침) 의문입니다. /
	(note : 발화겹침) 그리고 건설 장소가 한정되어 있어 안정된 지방 /(note : 발화겹침) 지반 /(note : 발화겹침) 냉각수 확보 유리한 곳에 건설할 수가 있고 건설을 할 수 있는 장소가 까다롭다고 합니다. /
	
P2 	:아 네 /(note : 발화겹침) -운- 운전에 -연- 연료인 우라늄은 전 /
	
P1 	:(()) /
	
P2 	:전 세계에 고르게 매장되어 있고 수입 /(note : 발화겹침) 수입원이 정치적 경제적으로 안정된 선진국이어서 /(note : 발화겹침) 세계 에너지 정세에 크게 영향을 받지 않습니다. /
	(note : 발화겹침) 우라늄은 /(note : 발화겹침) 소량의 연료로 막대한 에너지를 낼 수 있으며 /(note : 발화겹침) 수송과 저장이 쉽습니다. /
	(note : 발화겹침) 예를 들어 /(note : 발화겹침) 십만 /(note : 발화겹침) 백만 킬로와트급 발전소를 일 년간 운전 /(note : 발화겹침) 운전하려면 /(note : 발화겹침) 석유로는 백오십만 톤이 필요하나 /(note : 발화겹침) 우라늄은 삼십만 톤이면 됩니다. /
	(note : 발화겹침) 그리고 /(note : 발화겹침) 원전에 우라늄을 원자로에 /(note : 발화겹침) 한 번 저장하려면 /(note : 발화겹침) 십이 개월에서 십팔 개월가량에 /(note : 발화겹침) 연료를 교체하지 않아도 되므로 /(note : 발화겹침) 그만큼에 연료 비축 효과가 있는 셈입니다. /
	
