# FILE DATA
ID : SDRW2100001284
category :  구어 > 사적대화 > 협력적대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20220109
topic : 공공 공간의 CCTV 설치 > 찬성 : 범죄예방 및 증거물, 아동학대 예방

# SPEAKER_INFO
id : SD2103657
age : 30대
occupation : 무직/취업준비생
sex : 남성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
education : 대졸

id : SD2103658
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 전북
principal_residence : 전북
current_residence : 광주
education : 대졸

# SETTING
relation  :  연인


P0 	:공공고관에 씨씨티비 설치 관련해서 한번 / 얘기를 해 봅시다. /
	 자 / 자 /
	
P1 	:{laughing} /
	
P0 	:씨씨티비 설치로 얻을 수 있는 효과 저기 뭐가 있을까? /
	 우리 어 / 효과와 부작용 /
	
P1 	:어 / 나는 / 인제 /(note : 발화겹침) 그동안 인제 병원에서 근무를 많이 했었잖아. /
	
P0 	:응 /
	
P1 	:어 그럼에도 불구하고 나는 / 수술실이나 / 인제 뭐 응급실 쪽 / 그런 쪽에서 / 음 씨씨티비가 있어야 / 어 환자들이 / 무슨 의료 사고가 생겼을 때 / 인제 그 뭐냐 잘못된 부분을 바로잡을 수 있는 증거 / 가 필요하다고 생각하거든. /
	 아무리 병원 쪽에서 / 인제 뭐 의무기록지라던가 / 뭐 다른 서류들을 / 인제 그거를 나중에 뭐 제시한다고 하지만 / 그거는 / 다 / 수정을 한 다음에 / 인제 그 / 유가족에게 / 인제 가는 거니까 / 나는 그게 너무 불합리하다고 생각하는 사람이야. /
	 그래서 / 응 나는 씨씨티비는 꼭 있어야 한다고 생각해 나의 안전을 위해서 / 나도 환자가 될 거니까 /
	
P0 	:그래 씨씨티비가 있으면 좋겠다고 생각을 하는데 / 근데 최근에 그런 일이 있었어 그 씨씨티비 / 긍까 이게 / 해킹을 하기가 되게 쉽대 그래 가주구 / 그 위에 보면 / 아이피만 / 그 조작해서 와이파이만 같이 연결되어 있으면은 어디든 그냥 뚫린다는 거야 근데 만약에 인제 / 성형외과나 아니면은 뭐 그런 쪽에 들어갔는데 / 성형외과 가면은 그때 씨씨티비 언뜻 보니까 / 진짜 아예 다 빨개도 놓구 / 빨개 벗어 놓고 / 그거를 인제 / 있는 그대로 거기서 하면서 인제 / 그걸 하더라고 근데 / 어 / 내 생각엔 그래. /
