# FILE DATA
ID : SDRW2100003547
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211021
topic : 대중교통 > 대중교통 이용하는 이유,해외 기차, 심야열차, 투어버스

# SPEAKER_INFO
id : SD2103523
age : 60대 이상
occupation : 주부
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
education : 대졸

id : SD2103524
age : 50대
occupation : 주부
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
education : 대졸

# SETTING
relation  :  친구


P1 	:언니는 어 / 어디 이동할 때 주로 / 뭘 타고 다녀? /
	
P0 	:나는 거의 전철을 이용하는 거 같애. /
	
P1 	:어 그르면 운전은 안 해? /
	
P0 	:운전은 젊었을 때 예전에 한 번 했었는데 / 그 작은 사고가 난 이후로는 쫌 / 어 편하지 않고 계속 쫌 / 차를 타면 불안해서 / 안 편해지고 막 그른 생각이 들어서 안 하게 되드라구. /
	 그때부터 안 하든 게 지금까지 / 안 하는 게 훨씬 편해서 /(note : 발화겹침) 안 하고 있지. /
	
P1 	:사고 한 번 났어? /
	
P0 	:응 한 번 약간 났었는데 / 그 뒤루 안 하구 차두 팔고 그랬던 거 같애. /
	
P1 	:나도 / 어 면허를 딴 지는 되게 오래됐어. /
	 팔십칠년도에 면허를 따 가지고 되게 오래됐는데 / 운전만 하면 왠지 자꾸 사고가 날 것 같은 거야. /
	 막 / 긍까 그쪽 / 상대방 쪽 어떤 부주의보다는 내 부주의로 자꾸 사고가 날 것 같고 자꾸 그게 불안해. /
	 그서 나도 운전을 잘 안 하거든. /
	 그서 나도 주로 인제 어디 움직일 때는 대중교통을 많이 이용하지. /
	 어 언니는 / 주로 대중교통 중에서는 뭘 많이 이용하는데? /
	
P0 	:나는 주로 전철을 타고 다니는 거 같다 인자 집이랑 뭐 / 그거 타면은 거의가 다 / 갈 수 있는 곳이니까 / 뭐 일호선 이호선 삼호선 사호선 다 탈 수 있는 그른 위치라서 / 그걸 타는 거 같애 계속 /
	
P1 	:으응 /
	
P0 	:그르구 시간도 단축되고 /
	
P1 	:근데 나는 어떤 때는 지하철 타면 / 몇 번 갈아 타야 되는 게 되게 번거롭드라고. /
	 그른 생각은 안 들어? /
	
P0 	:늘 그르케 하다 보니까 {laughing} 뻐스는 시간이 많이 걸리는 거 같아서 / 뭐 잘 안 터지드라고 시간 엄청 걸리는 거 같아서 /
	
P1 	:내 아는 사람 어떤 사람은 뻐스가 훨씬 좋다 하드라고. /
	 그 이유가 뭐냐 하면 / 바깥 구경을 할 수 있는 게 훨씬 좋대. /
	 그래 가지고 / 어 같은 곳을 늘 지나다녀도 인제 이케 자꾸 / 변하잖아 건물 같은 것도 변하고 그래서 그 변화를 볼 수 있는 게 참 좋다 하드라고. /
	 뻐스 타고 다니는 것도 나는 한 번 만에 갈 수 있는 게 더 좋아서 /(note : 발화겹침) 옛날에는 뻐스를 많이 탔거든. /
	
P0 	:응 /
	
P1 	:근데 거의 뻐스는 안 타? /
	
P0 	:뻐스를 꼭 타야 될 때는 타지만 전철로 갈 수 있는 데는 거의 전철을 / 전철 노선이 있는 곳에는 / 거의 전철을 타는 거 같애. /
	
P1 	:그르면 여행 다니고 할 때는 대중교통 안 이용했어? /
	
P0 	:여행 다닐 때두 지하철은 전철은 쫌 탔는데 / 어 -그- 그 나라 가서 뻐스 타고 그랬던 거 별로 없었던 거 같아. /
	 대중교통 탔던 거 별로 없었던 거 같다. /
	
P1 	:아무래도 버스는 쪼꼼 / 그 뭐라 그러지? /
	 뭔가 이르케 정확하게 알려 주고 하는 그게 잘 없으니까 / 기사가 말을 해도 우리가 좀 알아듣기 어렵고 /
	
P0 	:으으응 /
	
P1 	:지하철이 훨씬 더 노선이 명확하니까 훨씬 더 편하기는 편하더라. /
	
P0 	:응 /(note : 발화겹침) 그르구 빠르구 또 여행 가면은 시간을 / 인제 빨리빨리 다녀야 될 것 같구 막 그르니까 지하철 탔구 / {clearing} 여행 가서 뻐스 탔던 거는 그 일본 가서도 뻐스는 거의 안 탔던 거 같아. /
	(note : 발화겹침) 한 번도 /
	
P1 	:-근- 근데 생각해 보면 뻐스 타는 게 훨씬 더 /(note : 발화겹침) 바깥 구경도 많이 할 수 있고 더 좋을 거 같기는 해. /
	
P0 	:아 일본 가서 뻐스 한 번 봤다. /
	 그까 밤에 타는 뻐스 /
	
P1 	:으응 /
	
P0 	:아 그르구 또 남미 가서도 한 번 탔구나. /
	 밤에 가는 -뻐- 뻐스 그른 뻐스에는 외국 뻐스에는 / 이르케 잘 수 있는 시설이 잘 돼 있더라고. /
	
P1 	:어트케 시설이 되어 있는데 이야 내한테 이야기 좀 해 줘 봐. /
	
P0 	:일본 가서도 그랬는데 이케 / 좌석이 엄청 넓고 / 잘 수 있게 그르케 돼 있고 /(note : 발화겹침) 고 남미에도 그릏드라고 이르케 이르케 딱 드러누워서 편하게 잘 수 있구 /
	
P1 	:아 다리를 뻗을 수 있도록 /
	
P0 	:어 뻗을 수두 있구 또 뻐스 안에 화장실도 있고 /
	
P1 	:우리 그 영국에 갔을 때 영국에서 인제 유로 / 유로 뭐 -유- 유레일이야 그거 타고 인제 다른 나라로 옮기고 이르케 할 때 /(note : 발화겹침) 유레일 타니까 개인 방이 하나씩 있는 거야 그거 타 본 적 있어? /
	
P0 	:아니 /
	
