# FILE DATA
ID : SDRW2100003427
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211231
topic : 가족 > 가족사진 의상과 컨셉고민, 가족여행 계획

# SPEAKER_INFO
id : SD2100897
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 서울
current_residence : 서울
education : 대재

id : SD2100898
age : 40대
occupation : 주부
sex : 여성
birthplace : 전북
principal_residence : 전북
current_residence : 서울
education : 고졸

# SETTING
relation  :  부모/자녀


P0 	:엄마 /
	
P1 	:어? /
	
P0 	:일 월 삼십 일에 우리 /(note : 발화겹침) 그거 제주도 /
	
P1 	:응 /
	
P0 	:그 사진 찍으러 / 가 사 사진 찍기로 한 거 있잖아 그 제주도 /
	
P1 	:어 /
	
P0 	:당첨 돼 가지고 근데 그게 /
	
P1 	:어어 /
	
P0 	:동생이랑 아빠가 / 제대로 따라 줄 지가 궁금하네. /
	
P1 	:그러게 따라 주겠지. /
	 그리고 옷 같은 것도 일단 준비를 해 놓고 좀 / 옷은 뭐 입 뭘로 할까? /
	 어떤 옷으로 할 준비를 할까? /
	
P0 	:그니까 나는 좀 / 좀 화사하게 이케 좀 뭐라 하지 너무 그냥 / 흰 바지에 아니 흰 티에 청바지가 아니라 /(note : 발화겹침) 약간 좀 컨셉을 잡아서 찍고 싶은데 /
	
P1 	:응 /(note : 발화겹침) 응 /
	
P0 	:그게 어떻게 약간 얘기를 해 봐야 될 것 같은데 / 아빠랑 동생이 워낙 말이 없으니까 /
	
P1 	:저녁에 가서 뭐 말 한 번 해 보든지 아니면 / 엄마는 깔끔하게 청바지에 티도 괜찮은데 / 보통 많이 그렇게 입고 하던데 청바지랑 티 /
	
P0 	:그 리마인드 웨딩 말고 그냥 일반 컨셉도 있잖아. /
	
P1 	:응 /(note : 발화겹침) 그러니까 /
	
P0 	:그까 흰 흰 티에 청바지 / 가 너무 무난하다고 하더라고 / 그래서 컨셉 적을 때 그런 옷 말고 좀 /
	
P1 	:응 /
	
P0 	:색깔 이런 이런 걸 정해서 오라던데? /
	
P1 	:응 그럼 너는 어떤 옷이 괜찮을 거 같애? /
	
P0 	:어 그거는 좀 생각을 해 봐야 될 거 같은데 / 나는 좀 /(note : 발화겹침) 그때가 겨울이니까 /
	
P1 	:어 /
	
P0 	:겨울에 맞춘 옷을 입고 싶어. /
	
P1 	:겨울에 맞춰 놓은 맞춘 옷을? /
	
P0 	:응 /
	
P1 	:그러면 / 뭐 어떤 / 어떤 옷? /
	
P0 	:예를 들면 그냥 약간 좀 / 그렇게 생각하면 하 하얀색이 맞긴 한데 /(note : 발화겹침) 음 /
	
P1 	:아니면 까만 티 할까? /
	
P0 	:까만 티? /
	
P1 	:응 하얀 티 말고 안 하면 /(note : 발화겹침) 까만 셔츠나 뭐 /
	
P0 	:까만 까만색은 너무 그거 어두워 보이고 칙칙하지 않아? /
	
P1 	:그래도 되게 사진은 잘 받잖아 근데 뭐 / 거기다가 주황색을 입는다던가 뭐 / 다른 옷 색깔은 좀 파스텔톤 같은 거 좀 그렇잖아. /
	
P0 	:그런가 아 /
	
P1 	:어 /
	
P0 	:그 / 그까 좀 뭐라해야 되지? /
	 좀 캐주얼하게 입고 싶어 가지고 /(note : 발화겹침) 사진 찍을 때 /
	
P1 	:캐주얼 그러니까 청바지 입고 까만 티 /(note : 발화겹침) 셔츠 /
	
P0 	:아니야 그렇게 생각하니까 흰색이 나을 거 같기도 하네. /
	
P1 	:흰색이 제일 깔끔해 무난하고 / 그리고 웨딩 그거 할 때 / 너네들도 그냥 드레스랑 / 이 저기 턱시도 입었으면 좋겠어. /
	 한 번만 그렇게 입어줘. /
	 엄마 아빠가 /(note : 발화겹침) 어쨌든 뭐 언제 찍어 마지막이지 이게 /
	
P0 	:어쨌든 그런 거 공유하지 마. /
	 난 그런 공유하는 거 싫으니까 /
	
P1 	:그까 한 번은 한 번은 그렇게 입어 달라고 /
	
P0 	:알겠으니까 /
	
P1 	:응 /
	
P0 	:근데 나는 이 리마인드 웨딩은 별로 딱히 안 하고 싶었는데 /
	
P1 	:하 그래도 추억이니까 가족 사진 찍고 /
	
P0 	:응 그것 /
	
P1 	:엄마 아빠도 마지막이지 뭐 이거 언제 해 보겠어? /
	(note : 발화겹침) 이거를 같이? /
	
P0 	:그거 가족 사진 찍고 나서 / 그 제주도는 언제 갈 거야? /
	
P1 	:응 /
	
P0 	:엄마랑 나랑 둘이 가야 될 거 같은데? /
	
P1 	:제주도는 이 / 그니까 아빠가 둘이 갔다 오래. /
	 둘이 갔다 오라고 하니까 / 그냥 둘이 여름에? /
	 여름에 레저스포츠 레저 뭐 그거 하자면서 /
	
P0 	:응 /(note : 발화겹침) 그 요트 빌려서 하는 건데 /
	
P1 	:어 /
	
P0 	:그거 숙박권은 / 그거 우리가 해야 되는 거고 / 그냥 그 여행 / 제주도니까 그거 코스만 정해서 하면 될 거 같애. /
	
P1 	:그리고 코스 겹치지 않게 / 사전에 일단 알아보고 계획 짜서 그러고 가자고 / 그럼 사전에 한 번 너가 이제 시험 일단 지금 시험 준비하고 있으니까 / 시험 끝나면 / 한 번 계획 세워 세워서 이십 이 일 날 끝난다 그랬지 시험이? /
	
P0 	:어. /
	
P1 	:근데 이십 이 일 날 어쨌든 / 사진도 찍어 찍고 해야 되니까 이십 이 일 날 / 아빠랑 형 / 저기 아들이랑 같이 / 상의 한 번 해 보고 / 그래서 이제 뭐야 여행 계획도 한 번 세우고 그래야지 /
	
P0 	:이십 이 일이 사진 찍는 게 아니라 엄마 삼십이야. /
	
P1 	:그까 이십 이 일 날 학교 / 시험 끝나면 / 그때 이제 계획 / 저기 사진 저기도 하고 계획도 한 번 세워 보고 / 그렇게 하자고 /
	
P0 	:아 / 알겠어 그러면 이제 아빠랑 / 동생이랑 / 얘기를 좀 해 봐야 될 텐데 / 그 하 둘 일단 둘이를 / 호응을 좀 끌어 줘야 되는데 / 그 얘기가 안 나올 수도 있어서 좀 답답할 수도 있을 것 같애. /
	
