# FILE DATA
ID : SDRW2100001466
category :  구어 > 사적대화 > 협력적대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211125
topic : 가짜 뉴스에 대한 징벌적 손해배상 > 제도 도입 후 효과/역효과, 표현의 자유와 언론의 책임 균형 필요

# SPEAKER_INFO
id : SD2100809
age : 30대
occupation : 경영/관리직
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 대졸

id : SD2100810
age : 30대
occupation : 경영/관리직
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 대졸

# SETTING
relation  :  친구


P0 	:요즘에 / 핫한 게 가짜 뉴스에 대한 징벌적 손해 배상이라고 들어 봤는데 / 너 들어본 적 있냐? /
	
P1 	:나도 언론에서 / 한두 번 정도 봤었던 거 같애. /
	
P0 	:말이 어려워 갖고 나는 뭔지 잘 몰랐었거든 그래서 찾아 봤는데 / 지금 / 입법 중에 있더라고. /
	 아직 / 정해진 건 아닌데 / 여당은 찬성이고 / 야당은 지금 반대야. /
	 난 그 정도로 알고 있거든. /
	 넌 어느 정도로 알고 있어? /
	
P1 	:나는 사실 / 여당은 찬성이고 야당에 반대를 하는 거는 / 몰랐지만 / 그건 당연한 거라고 생각해. /
	
P0 	:맞아 이게 내가 뉴스 찾아보니까 / 뉴스 / 기자가 기사를 썼는데 쪼금 허위적으로 부풀려졌던가 / 아니면 완전히 왜곡된 / 그런 기사일 수도 있잖아. 그런 거에 대해서 / 더 / 세 배 네 배 다섯 배 이런 식으로 더 / 이제 손해 배상을 시킨다는 거거든. /
	 그거에 대해선 어떻게 생각해? /
	
P1 	:그게 / 일부는 맞고 일부는 틀린데 / 일단은 제일 중요한 거는 / 기사가 / 기자가 기사를 쓸 때 있어서 / 그런 좀 더 사실 사실에 대해서 / 명확하게 할려고 노력은 많이 하겠지만 / 반면에 / 그 일을 할 수 일을 하는 데 있어서 좀 더 자신감이나 / 그런 / 한 벌 한 번이라도 좀 더 / 확인하겠지만 / 그래도 / 나 같으면은 두려워서 못 쓸는 기사들도 많이 있을 거 같애. /
	
P0 	:그렇다고 하더라. /
	 메이저 / 기자들도 그런 게 생기면은 자신감이나 / 무서움이 생겨 가지고 / 많이 못 쓰는 게 생긴대. 메이저가 그런데 / 더 마이너 기자들은 얼마나 겁이 나겠어. 그래서 / 함부로 기사를 못 쓴다고 하더라. /
	 그래도 나는 이거에 대해서 찬성하는 이유는 뭐냐면은 / 그래도 너무 허위적인 기사 같은 거는 / 좀 / 알려지면 안 되는 부분이 있잖아. 어떻게 생각해? /
	
P1 	:그것도 / 정말 맞다고 생각하는데 왜냐면 가짜 뉴스로 인해서 / 누군가는 피해를 볼 수 있으니까. /
	 누군가는 손해를 보고 누군가는 / 다칠 수 있으니까. 하지만 / 그 가짜 뉴스가 / 꼭 그렇듯 그렇게 안 좋게 / 본다고 하는 것보다도 / 나라는 약간은 / 가짜 뉴스도 어느 정도는 포용을 하고 가야 된다고 생각을 하거든. /
	
P0 	:그렇지 / 그게 이제 언론의 자유를 보장해야 된다고 / 반대하는 사람들이 주장하는 건데 / 그렇게 주장하는 거에도 / 이제 반대하는 사람들은 대부분 이렇게 얘기하더라. /
	 이 가짜 뉴스는 정치적으로 쓰인다. /
	 그래서 이제 정치적으로 / 함부로 일부 사람에 대해서 / 특정 사람이 돼서 이제 쉽게 / 비방하거나 피할 수 없다 이렇게 하는데 / 나는 그렇게 생각하지 않아. /
	 이거는 / 언론의 책임이 / 따라야 된다고 생각하거든. /
	 많은 사람들이 보는 거니까 / 너도 이게 / 정치적으로 사용될 수 있다고 생각해? /
	
P1 	:충분히 정치적으로 사용될 수 있다고 생각하는데 / 근데 / 결국에는 가짜 뉴스라는 기준을 만드는 것도 / 어쨌든 사실은 변하지 않지만 / 하지만 가짜 뉴스는 / 결국에는 그러면 정부가 통제하겠다 / 그런 거라고 생각되기 때문에 / 그것도 어느 정도는 좀 / 어 / 뭔가 / 유도리 있게 넘어갈 수 있는 아니면 정말 / 법원에 했을 말을 말을 했을 때 / 좀 더 디테일하고 / 확실하게 그렇게 마련하는 / 이게 좋다고 생각을 해. /
	
P0 	:반대하는 사람들은 다 그렇게 얘기하더라. /
	 정치적으로 다 충분히 쓸 수 있다고. /
	 근데 나는 정치적으로 / 물론 쓰일 수도 있겠지. /
	 안 쓰일 수가 없지. /
	 어느 한쪽만 / 다 잡는다고 다른 반대쪽이 / 완벽해질 순 없고 / 어느 한 쪽이나 어느 한쪽이나 분명히 균형 있게 갈 텐데 / 그래도 나는 / 언론에 / 이런 책임감이 더 중요하다고 생각해. /
	 흔히 우리가 지금 많이 이야기되는 게 / 기레기 기레기 이런 표현들 쓰잖아. 그게 기자는 / 쓰레기다라는 합성으로 기레기 기레기 하는 말인데 / 나는 거기에 대해서 동의하거든. /
	 어떻게 생각해? /
	
P1 	:나도 그 부분에 대해서는 동의해. 왜냐면 / 모든 기자들이 / 다 그렇진 않지만 정말 / 그 / 기자가 / 정말 쓰레기 인성으로 그렇게 쓴 기사에 대해서 / 충분히 피해 받고 / 가짜 뉴스로 충분히 피해 받고 그런 사람들 있는데 / 그거에 대한 사과의 / 사과의 기사나 그런 것들은 / 올라오지 않고 / 그럼으로써 / 그 많은 기자들이 더 피해를 보지. /
	
P0 	:그리고 나는 지금 / 이런 가짜 뉴스에 대한 징벌적 손해 배상이 / 확실히 / 정해지지 않았거든. 지금 입법과정에 있는데 / 뭐 세 배 네 배 다섯 배 이런 얘기 하고 있는데 나는 열 배 스무 배라도 상관 없다고 생각해. /
	 왜냐면은 / 정말 / 이런 / 과한 벌금을 떠나서 더 책임감이 넌 나는 중요하다고 생각하거등. /
	 그런데 반대하는 사람들 들어 보면은 / 지금 / 이 손해 배상 징벌적 손해 배상 이야기가 나온 게 / 타이밍이 너무 / 안 맞다라고 생각하는데 너는 어떻게 생각해? /
	
P1 	:나는 타이밍은 / 맞다고 생각해. 왜냐면 / 제일 중요한 거는 / 가짜 뉴스로 인해서 / 피해보는 사람들인데 그 피해보다도 / 사실 진짜 가짜 뉴스를 / 누가 기준을 잡는데 / 그래도 이 사람이 / 가짜 뉴스 때문에 / 어 너 이거 가짜 뉴스니까는 / 너 손해 배상하고 너 처벌 받어. /
	 근데 나중에 / 수 개월 뒤 일 년 뒤에 보니까 / 그 가짜 뉴스가 진짜여 뉴스고 / 알고 보니까 다른 쪽 다른 언론 반 반대 언론에서 / 가짜 뉴스 진짜 뉴스라고 나왔던 게 / 가짜 뉴스가 되게 되면 / 또 문제가 생기거든. /
	 그럼 그제 가서야 / 어 너 그동안 손해 봤던 거 징 / 처벌 받았던 거 다시 / 어 미안해. 뭐 / 우리가 어떻게 사과할 수 있는 방법이 없을까 / 그러진 않을 거란 말이야. /
	
P0 	:나는 그렇게 생각 안 해. /
	 징벌적 가짜 뉴스에 대한 이런 손해 배상이 모든 게 / 나는 / 정치적으로는 쓰이지는 않고 / 이것은 / 일단 정치를 떠나서 / 언론에서 / 아까 얘기한 기레기 기레기에 대한 이런 책임감 / 책임감이 더 중요하다고 생각하고 / 그리고 이거를 / 대중들이 보는데 / 정확한 정보를 제공해야 된다고 생각해. /
	 그리고 지금 언론에 개혁이 필요한 거 같애. /
	 언론은 너무 지금 여당 공격적인 거 같애. /
	 넌 어떻게 생각해? /
	
P1 	:나는 반대로 / 그 / 언론들이 / 가짜 뉴스에 대해서 / 정말 / 아 주의를 해야겠다 그런 거는 정말 맞지만 / 그래도 / 가짜 뉴스에 대한 징벌적 손해 배상이 이제 / 들어가는 순간부터는 / 다 좀 조용히 하고 눈치 보고 / 그래 최대한 사실되 입각해서 하려고 노력하겠지만 / 그 와중에 / 언론이 너무 침체돼 있고 그러면 / 오히려 / 그 정부가 반대로 더 / 직접 나서서 하지 않을까라는 생각을 해. /
	
P0 	:그래 맞아 / 지금 / 너무 / 안 좋은 기사들이 여당을 공격하고 있는 거 / 대부분이 가짜 뉴스인 거 같애. /
	 그리고 / 좀 / 언론의 개혁이 필요하다고 느끼는 것 중에 하나는 / 만약에 여당에 대해서 / 좀 허위적인 기사나 부풀려진 기사나 가짜 뉴스들이 쓰여졌다고 / 어느 정도 나올 수도 있겠지. 왜냐면 지금 많은 사람들이 정치에 관심이 많으니까. /
	 그런데 그게 / 야당에 대해서도 많이 나오고 여당에 대해서도 / 많이 나오고 어느 정도 공평성이 있어야 되는데. /
	 지금 / 가짜 뉴스나 허위 과장 그런 뉴스들은 대부분이 여당인 거 같애. /
	
P1 	:아무래도 / 언론과 정치는 / 둘이 항상 세트로 갈 수밖에 없는 그런 구조다 보니까 / 그거에 따라서 / 진짜 뉴스가 오히려 묻혀질 수도 있고 / 그런 거긴 하지. /
	 반대로 / 가짜 뉴스에 대한 / 그런 / 이베 손해가 징벌적 손해가 이루어지게 된다면은 / 정말 / 어 내가 / 진짜 뉴스를 말하고 있지만 / 언론에서 이미 가짜 뉴스로 몰아 가게 되고 / 다른 언론에서 가짜 뉴스로 몰아 가게 되고 / 그 몰아 간 거에 대해서 결국에는 / 내가 아무리 주장을 해도 / 내 주장은 / 그 / 무의미하게 된다 그러면은 나는 거기에 따라서 / 이제 사회에서 점점 더 / 매장 당하거나 공격당하고 이러면서 / 아무래도 / 내 그 삶이 무너질 수가 충분히 있지. /
	
P0 	:그럴 수도 있겠지. 하지만 / 나는 지금 가짜 뉴스가 / 이런 / 손해 배상을 / 해야 된다는 거에 대해서 / 잘 몰라 가지고 기사를 찾아 봤는데 / 이게 안전장치가 있더라고. /
	 대기업 같은 경우에는 / 허위 뉴스나 이런 거를 / 써도 어느 정도 해도 배상하지 않는대. /
	 그러니까 / 쫌 안전 장치를 만들면서 지금 입법을 / 진행 중이거든. /
	 그래 가지고 나는 좀 이런 게 / 더 / 강화돼 가지고 / 점점 / 전 세계적으로 지금은 좀 / 언론에 대해서 정확한 / 요약을 이제 대중에게 알리는 거를 우선으로 하니까 / 나는 / 정확한 그런 / 기사를 써야 된다고 생각하거든. /
	 어떻게 생각해? /
	
P1 	:정확한 기사를 써야 되는 거는 맞기는 한데 / 근데 / 진짜 중요한 거는 / 먼저 예전에 피해 봤었던 사람들이 다시 한 번 더 / 언급되고 / 그래서 그 / 그 언급됐었던 / 그런 기사 가짜 뉴스에 로 피해 봤던 그런 사건들에 대해서 / 사람들이 잊혀지지 않고 / 그걸 기억하면 / 오히려 좀 더 / 아 이런 피해들도 있으니까 좀 / 가짜 뉴스에 대한 징벌적 손해 배상에 대해서 / 그거에 대해서 입법을 추진할 때 / 이런 것들이 / 먼저 과거 사례들이 좀 더 개선되면 / 뭐 피해 보상 받을 수 있거나 그런 부분들을 / 좀 보완해 나간다 그러면은 / 좀 더 좋을 순 있겠지. /
	
P0 	:그래 / 어느 정도 맞는 말이야. /
	 이런 / 지금 가짜 뉴스에 대한 징벌적 손해 배상을 / 정말 좋은 취지로 / 좋은 책임감과 좋은 정보와 / 정확한 정보 허위 과장 없는 그렇게 사용하면 정말 좋겠지. /
	 그런데 너 말대로 이런 게 / 정치적으로 또 안 좋게 쓸 수도 있단 말이야. 분명히 / 근데 그런 거는 안 쓰고 / 좋은 부분은 좋게 하고 정치적으로 안 쓰이게 하고 / 기업들에 대해서도 좋게 쓸 수 있는 그런 중립적인 태도로 / 나갔으면 좋겠어. /
	
P1 	:예전에 / 이영돈 피디라는 먹거리 엑스 파일이라는 / 피디 기억나? /
	
P0 	:응 /
	
P1 	:그 이영돈 피디 / 얼마 전에 누가 언급해 가지고 / 한번 찾아 가 봤는데 / 그 유튜브 채널 그 사람 개설했거든. /
