# FILE DATA
ID : SDRW2100001132
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211022
topic : 우정 > 잘맞는 친구, 동호회, 취미, 잘 맞지 않는 친구

# SPEAKER_INFO
id : SD2101071
age : 20대
occupation : 학생
sex : 남성
birthplace : 인천
principal_residence : 경남
current_residence : 전북
education : 대재

id : SD2101072
age : 20대
occupation : 학생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 전북
education : 대재

# SETTING
relation  :  대학 선후배


P1 	:&name&아 너는 어떤 / 취향의 / 음식을 좋아해? /
	
P0 	:어 저는 일단 / 이제 너무 달달한 음식은 싫어하고 / 너무 기름진 음식도 싫어해서 / 이제 적당한 이제 자극이 있는 약간 / 음. 예를 들면 찜닭? /
	 이런 거 좋아 합니다. /
	
P1 	:찜닭이라 / 너 어디서 크고 자랐니? /
	
P0 	:예. 저는 이제 / 대구 달성구에서 크고 자랐습니다. /
	
P1 	:대구 음식 / 하면 맵고 짜고 / 자극적이지 않아? /
	
P0 	:대구 음식 하면 이제 유명한 게 / 뭐 막창 / 이제 / 납작만두 이런 건데 / {laughing} 납작만두만큼 심심한 음식이 없어요. /
	 대구 음식이라고 특히 대구의 국밥은 / 진짜 너무 싱겁습니다. /
	 전라도 국밥이 훨씬 맛있어요. /
	
P1 	:믿기지가 않는데? /
	 대구에서 대학교 다니다 / 온 친구 말 들어보면 / 맵고 짜고 자극적인 음식들이 / 엄청 유명하다고 맨날 이야기 했거든 / 그거랑 다른가 보네? /
	
P0 	:아마 그 분은 이제 그 대구 그 쪽 / 에 있는 인스타 이런 / 이런 거 보고 나서 보고 / 좀 핫플레이스를 찾아 다녔으면 그랬을 / 약간 자극이 센 게 많을 많았을 거 같긴 한데 / 쓰 어 그 대구라고 해서 특히 / 더 짜고 맵다 이거는 아닌 거 같애요. /
	
P1 	:신기하구만 / 그러면 / 너 같은 경우에는 음 / 어떤 유형의 / 친구를 좋아하는 편이야? /
	
P0 	:어 예 친구는 이제 / 어 / 제 스스로 조금 이제 / 융통성이 좀 있다 생각하는 있다고 생각하는 편인데 / 예. 융통성이 좀 있으면서 / 이젠 / 너무 부정지 부정적이지 않은? /
	 이게 부정적이다 해도 / 이제 / 대책 부정적 / 이거에 대한 이제 대책을 세운 사람이 있고 안 세운 사람이 있는데 / 에 / 부정적이라도 좀 대책을 세우는 사람이었으면 좋겠습니다. /
	
P1 	:예를 들면? /
	
P0 	:예를 들어서 이제 / 뭐 / 나중에 이 직업이 직어 / 한의사란 직업이 망할 것 같다. /
	 이러면서 이제 다른 거를 열심히 준비 하면서 / 이제 공부를 하는 사람이랑 / 망할 것 같은데 어떡함 이런 식으로 이제 / 좀 안일한 이거 / 그 / 내뱉어도 변하지 아무것도 안 하면서 이제 / 그런 말을 하는 거는 이제 / 좀 안좋게 보입니다. /
	
P1 	:어떤 식으로든 책임감 있는 사람을 원한다. /
	 이렇게 들리는데 이해한 게 똑바로 이해한 게 맞을까? /
	
P0 	:예. 이제 / 이제 뭐 불만 같은 거 얘기할 거면 이제 / 어느 정도는 좀 하고 이제 얘기를 해야 된다에 / 그런 느낌인 거 같네요. /
	
P1 	:선호하는 / 배우자 상은 어때? /
	
P0 	:배우자 / 배우자 상도 / 배우자 상은 일단 / 부정적이면 안돼요. /
	 이제 긍정적이어야 되고 / 그 다음에 / 음 / 적당히 포용하고 / 이제 너무 자기 주장이 세지 않았으면 좋겠어요. /
	
P1 	:자기 주장이 세다. /
	 예시 있어? /
	
P0 	:예를 들면 이제 / 나는 엄청 좋아하는데 / 상대방이 좀 꺼려하는 / 그런 컨텐츠나 이제 음식이 있다. /
