# FILE DATA
ID : SDRW2100002126
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211204
topic : 회사/학교 > 회사 연차에 대한 상황과 회사의 생활 이야기 나눔

# SPEAKER_INFO
id : SD2101905
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
education : 대학원 이상

id : SD2101906
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 경북
education : 대졸

# SETTING
relation  :  친구


P0 	:최근에 회사에서 별일 없었어 어젠가? /
	 일 많다고 하지 않았나? /
	
P1 	:아 요즘에 내년에 오픈하는 시스템이 하나 있는데? /
	 내가 그걸 혼자서 담당을 긍까 피엠 담당을 하고 지금 있는데 / 그 업무 때문에 쫌 많이 힘들지. /
	 사실상 나 혼자 이끌어 나가야 되는 것도 있고 / 또 다른 팀에 같이 하는 분이 이번에 또 / 다른 업무를 또 맡게 됐고? /
	 또 내 사수 같은 경우에는 / 이제 당장 다음 주부터 이 주 동안 미국 출장을 간다고 해서 도와줄 수 없는 상황? /
	 그래서 / 이번 달은 쫌 많이 바쁠 거 같애. /
	
P0 	:내년 언제까지 하는 건데? /
	
P1 	:내년 일 월 오픈이거든 /
	
P0 	:아 /
	
P1 	:음 그래서 이번 달까지 마무리를 지어야 되는데 / 원래 사실 연말에 / 그 휴가 남은 걸로 리프레시 휴가를 갈려고 했는데 지금 이것 때문에 남은 내 연차 -일- / 일곱 개를 못 쓸 수도 있을 거 같애. /
	 또 -이- 이거를 올해 안 쓰면 또 다 사라지기 때문에 / 그래서 너무 / 힘들어 고통스러워 {laughing} /
	
P0 	:아니 그거 안 쓴 거 돈으로 안 주나? /
	
P1 	:우리 회사는 돈으로 안 줘. /
	
P0 	:왜 계약서에 그렇게 써져 있어? /
	
P1 	:응. /
	 몰라. /
	 계약서에 쓰여 있는 건지 이것도 사실 입사했을 때는 준다고 했다가 어느 순간 바뀌''어 가지고. /
	 연차를 / 오히려 촉진을 하 시키기 위해서 돈을 안 준다고 하는데 / 결과적으로는 {clearing} 글쎄 연차 남은 사람들이 너무 많고 또 못 쓰 / 돈으로도 못 받게 되는 상황인 거지. /
	
P0 	:아 아마 그게 / 한 / 여름쯤엔가? /
	 뭐 그거 연차 계획 같은 거 받지 않았어 회사에서? /
	
P1 	:우리는 애초에 연초부터 / 연차 계획을 다 이미 세우라고 하더라고? /
	(note : 발화겹침) 음 /
	
P0 	:어 그거를 / 사업주가 원래 받아 가면 / 돈을 안 줘도 돼. /
	 긍까 연 너 연차 계획 / 빨리 세워 이게 연가 연차 촉진을 / 자기는 의무를 다한 거고 / 안 쓴 거는 / 근로자가 자기 권리를 안 찾아간 거다 이렇게 돼 버리기 때문에 / 왜냐면 내가 나는 이제 / 지 밑에 직원들을 관리를 하다 보니까 / 우리도 이제 고지를 미리 해 준단 말이야 몇 / 개월 전부터 / 빨리 써라 써라 그게 법에 명시가 돼 있어. /
	 몇 개월 전에 / 연차가 당신 얼마 남았으니까 이거를 쓸 계획을 내라. /
	 그러면 써서 그 사람이 냈으면? /
	 그걸로 나의 의무는 다한 거고 / 나는 이 사람한테 돈으로 보상해 주지 않아도 되는 거지. /
	
P1 	:니 말을 듣고 나니까 너무 화가 난다. /
	
P0 	:근데 뭐 /
	
P1 	:아니 어쩐지 연초부터 / 연차 계획을 세우라고 하는 것도 이상했고. /
	 사실 연차 계획이라는 게 일 년에 행산데 내가 연말에 무슨 일 있을 줄 알고 미리 연차 계획을 세우라고 하는 건지도 쪼끔 이해가 안 되긴 했는데 / 또 게다가 지금 연차가 많이 남아 있는 상황에서 어 / 지난주엔 / 심지어 남은 연차를 강제로 연말에 다 넣겠다라고 회사에서 지침이 내려오긴 했거든 긍까 / 그 / 회사에 방침이 회사의 조치가 니가 말한 그런 것 때문에 그렇게 한 거라고 생각을 하니까 더 / 화가 나네 {laughing} /
	
P0 	:그렇지 회사는 다 이미 알고 있어. /
	 알고 이제 그렇게 한 거지. /
	 근데 만약에 예를 들어서 / 너가 칠 일이 남았다고 했잖아? /
	 근데 그거를 / 이번 달 말에 만약에 너가 / 다 쓰잖아? /
	 근데 일은 있어 / 그러면 / 너는 연차를 쓴 걸로 돼 있는데 그 시간에 일을 해야 될 수도 있는 거네? /
	
P1 	:그렇지 사실 지금 어 / 나보다 직급이 높으신 분들은 연차도 많은데 / 그분들은 지금도 다 연차로 / 나와 있는 상태야. /
	 연차지만 / 회사에 나와서 일을 하고 있는 상태. /
	
P0 	:아 이거 뭐 노동부에 {laughing} / 신고해야 되는 거 아니야? /
	
P1 	:그러게. /
	
P0 	:근데 그렇게 하는 회사들이 참 많다 너무. /
	 법이 그렇게 돼 있어서 / 나도 근데 그거 보면서 / 아니 이게 의미가 있나? /
	 아니 계획을 세운다고 그 계획대로 / 무조건 쓰게끔 회사가 하면 의미가 있는 거지 / 내가 계획을 써냈어. /
	 망상일 뿐이야 그건. /
	 실현이 안 되면 {laughing} 의미가 없는 거잖아. /
	
P1 	:맞아. /
	 연차 계획을 세우라고 하는 것 자체가 쪼끔 이상하긴 했어. /
	 그런 점에서 너희는 연차는 어떻게 돼 너희는 돈으로 줘? /
	
P0 	:아 우리 원래 /
	
P1 	:(()) /(note : 발화겹침) (()) /
	
P0 	:돈으로 보상해 주는 그 한도가 있어. /
	(note : 발화겹침) 원래 있었는데 / 예를 들어서 만약에 내가 연차가 이십 일이 있어. /
	 근데 내가 그걸 하나도 안 쓰고 돈으로 / 받을려는 사람도 있을 수 있잖아? /
	 그래서 / 뭐 십 일까지만 보상을 해 준다 이런 규정이 있었어 원래. /
	 근데 / 아마 법에 그게 나와 있을 거야 / 근데 이번에 코로나 재난지원금? /
	 그거 시행하면서 / 공무원들 그 연가 보상비를 / 국가에서 가져갔어. /
	 가져가서 우리는 / 없어졌어 그게 보상해 주는 게 / 그래서 우리도 어쨌든 / 연가를 다 써야 되고 / 안 쓰면은 / 대신 뭐 내년으로 이월시켜 줄 수도 있다고도 하는데 / 일단은 돈으로 보상받을 수 있는 방법이 없어졌지 지금은. /
	 근데 / 모르겠네 앞으로 어떻게 될지 원래는 있긴 했었어. /
	
P1 	:그런데 왜 나라에서 그 연차 보상비를 왜 나라에서 갖고 간 거야? /
	
P0 	:글쎄 나도 모르겠네. /
	 나도 나는 휴직 기간이었으니까 몰랐는데 기사에서 본 거 같기도 한데 / 나도 이제 복직을 해가지구 / 동기들이랑 얘기해 보니까 그거 가져가서 이제 없어졌다고 그렇게 말하더라고. /
	 그래서 나 어이가 없더라. /
	
P1 	:그러게 / 나라에서 그걸 갖고 갈 오히려 줬으면 더 줘야 되는 거 아닌가 재난인 상황에서. /
	 쪼끔 이상하긴 하네. /
	
P0 	:너무 세수가 부족해서 그런가 보지 뭐. /
	
P1 	:세수가 많이 걷혔다고 하는데 너의 연차비를 {laughing} / 비가 다 걷혔다고 하니까 조금 가슴이 아프네. /
	
P0 	:근데 뭐 나는 어차피 뭐 보상받을 생각은 /(note : 발화겹침) 없었으니까 다 쓰는 게 좋지 쉬는 게 좋지. /
	
P1 	:맞아 연차는 맞아. /
