# FILE DATA
ID : SDRW2100000032
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20210810
topic : 휴가 > 휴가지 선택

# SPEAKER_INFO
id : SD2100031
age : 20대
occupation : 학생
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 대재

id : SD2100032
age : 20대
occupation : 학생
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 대재

# SETTING
relation  :  친구


P0 	:우리가 / {clearing} 곧 있으면 / 같은 날에 군대를 가잖니? /
	 그래가지고 내가 생각을 해봤는데 / 우리가 그래도 / 마지막으로 한 번쯤은 / 즐길 만큼 즐기고 가야 되지 않나 싶어. /
	 그래서 / 휴가를 좀 갈까 하는데 어떻게 생각하니? /
	
P1 	:맞아 최근에 되게 휴가 가고 싶단 생각도 많이 했고 / 원래는 군대 갔다 오면 갈까 했는데 / 가기 전에 가는 것도 되게 좋다고 생각해. /
	 대충 어디로 가면 좋을 거 같애? /
	
P0 	:나는 솔직히 / 아무래도 / 지금 상황도 워낙에 안 좋다 보니까 / 사람이 쫌 적은 곳으로 가는 게 / 모두를 위해서 좋지 않나 싶은데 / (()) / 사람이 적은 곳이라 한다면 아무래도 찾기가 힘들 거 같고 아무래도 / 그러니까 그런 것보다는 아무래도 / 장소를 위주로 찾는 게 나을 거 같애 나는 / 바다 생각해 봤는데 바다 어떻게 생각하니? /
	
P1 	:바다? /
	 내가 최근에는 아니지만 한 / 세 달 네 달 전쯤에 강원도 쪽으로 한 번 놀러가서 / 바닷가에 놀러 가 봤거든? /
	 근데 / 그쪽은 바다가 있는 건 되게 이쁜데 / 해산물도 맛있고 / 근데 바다 약간 뭐 삭막한 느낌의 바다여 가지고 / 그쪽 바다는 되게 별로인 거 같앴어. /
	
P0 	:하기야 요즘은 / 워낙에 사람도 없으니까 바닷가도 옛날 분위기가 아닐 거 같긴 하다. /
	 바닷가는 사람들의 정열적인 또 분위기가 / 또 있는 건데 요즘은 / 사람 없이 모래와 물만 있는 곳이니까. /
	 그렇다면 / 바다보다는 다른 곳이 좋을까? 그런데 나는 / 솔직히 바다 가면 이제 / 시장도 가고 / 해산물도 좀 먹고 / 저녁에는 회 싸 들고 와서 매운탕이랑 같이 먹는 것도 / 디게 여행의 낭만이라 생각하는데 / 어떻게 생각하니? /
	
P1 	:그런 거 되게 / 되게 좋아하고 나도 많이 좋아하니까 / 일 년에 한 번씩은 꼭 / 바닷가로 여행을 가는 거 같긴 해. /
	 그리고 이제 / 그런 거를 딱 즐기기 좋을 만한 데가 / 개인적으로는 제주도나 / 부산? /
	 약간 아니면 인천? /
	 이런 데는 되게 그런 거 되게 좋다고 생각하거든? /
	 어때 어떻게 생각해? /
	
P0 	:확실히 / 인천이나 부산은 그런 동네는 가 본 적은 없지만 / 이게 부산 풀코스라는 말도 있잖니? /
	 아무래도 / 볼거리가 상당히 많지 않겠나 싶고 / 제주도는 / 이제 워낙에 / 여행을 위한 섬이다 보니까. /
	 그냥 걷기만 해도 / 여러 가지 놀거리가 있지 않겠나 싶어. /
	 그런데 제주도는 아무래도 / 원활한 여행을 위해서는 / 렌트카를 필요로 하지 않나 싶은데 / 렌트카를 운전할 수 있을 만한 사람이 우리 중에 있을까? /
	
P1 	:그게 바로 나야. {laughing} / {laughing} 내가 최근에 / 운전면허((을)) 따 가지고 / 이제 운전을 할 수 있게 됐거든. /
	 그 렌트카도 이제 요즘은 / 막 쏘카나 그린카 이런 거 / 많으니까 쉽게 빌릴 수 있고 / 근데 어차피 제주도나 부산이나 / 그런데도 다 결국에는 차가 필요해서 / 어딜 가도 차는 필요하다 생각해. /
	 그까 굳이 제주도에 국한되지 않은 게 아닐까? /
	
P0 	:확실히 / 차를 타는 것은 어딜 가나 / 필요할 거 같아 그리고 나는 개인적으로 / 다 같이 차를 몰면서 그 안에서도 / 나름대로 재미를 챙길 수 있다고 생각하거든. /
	 그러면 자동차도 필요하겠고 / 운전 연습을 열심히 해야겠구나. /
