# FILE DATA
ID : SDRW2100003974
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20220220
topic : 대중교통 > 비행기·기차 이용하면서 있었던 일, 대중교통 놓친 경험

# SPEAKER_INFO
id : SD2102163
age : 20대
occupation : 학생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
education : 대재

id : SD2102164
age : 20대
occupation : 학생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
education : 대재

# SETTING
relation  :  친구


P0 	:살면서 비행기 타 본 적 있어? /
	
P1 	:음 있지. /
	 한 세 번 정도 되는데. /
	 &name1& 있어? /
	
P0 	:음 나는 두 번 타 봤어. /
	
P1 	:음 그면 두 번 탔잖아? /
	 그면 어디 어디 갈 때 탔어? /
	
P0 	:한번은 오사카 갈 때 /
	
P1 	:음. /
	
P0 	:(()) / 에어부산을 탔었고 / 또 나머지 하나는 후쿠오카를 여행 간 적 있었는데. /
	 그때도 에어부산을 탔었어. /
	(note : 발화겹침) (()) /
	
P1 	:에어부산을 되게 좋아하네. {laughing} /
	
P0 	:낫 / 뭔가 에어부산이 항 가격이 가장 싸더라고. /
	 한솔이는 어디 가 봤어? /
	
P1 	:응 제주도 갈 때 티웨이항공을 탔고 / 그다음에 / 일본을 두 번 갔거든? /
	 그때는 / (()) / 어 외항사지만 피치항공이랑 / 그다음에 / 그때도 또 제주항공을 탔던 거 같애. /
	 어 &name1&은 그면 / (()) / 비행기 말고 / 왜 다른 대중교통도 있잖아? /
	 (()) / 어 내가 기차를 한 두 번밖에 못 타봤거든? /
	 근데 / 기차 / 많이 타 봤어? /
	
P0 	:차 가장 멀리 가 본 거는 / 서울을 갈 때 케이티엑스를 타본 적이 있고 / 아 서울 갈 때 / (()) / 무궁화였나 새마을 타고 가 본 적도 있어. /
	 (()) / 뭐 부산을 갈 때 에스알티를 타 봤고 / 많이는 못 타봤는데 뭐 여러가지 기차를 타 본 적이 있기는 한 거 같애. /
	 &name2&는 어때 기차는 많이 타 봤어? /
	
P1 	:아니 별로 그렇게 많이 타보진 않는데. /
	 (()) / 어 / 그냥 / 무궁화호만 주구장창 탄 거 같애. 그냥 /
	
P0 	:무궁화 타고 어디 어디 가 봤어? /
	
P1 	:경주랑 / (()) / 나도 서울 /
	
P0 	:서울 무궁화로 가면은 디게 오래 걸리지 않아? /
	
P1 	:아 허리 진짜 아파 죽는 줄 알았어. /
	
P0 	:몇 시간 탔는지 기억해? /
	
P1 	:음 한 네 시간? /
	 네 시간 반? /
	 근데 또 / (()) / 그때 / 목이 너무 아파 가지구 인제 계속 꼿꼿이 앉아 있어야 되잖아? /
	 우리가? /
	 그래서 / 목도 막 아프니까 막 뒤척뒤척데고 친구랑 같이 막 / 힘들다고 하면서 / (()) / &name1&은 그때 / 괜찮았어? /
	 아까 그 서울 갈 때 무궁화 타고 갔다 했잖아? /
	
P0 	:음. /
	 (()) / 난 너무 오래돼서 기억의 나지는 않아. /
	 그래서 / 최근에 서울에 갔을 때는 케이티엑스를 다 탔었는데. /
	 (()) / 이제 올라갈 때는 한 시간 아니다 두 시간이 걸렸었는데. /
	 내려올 때는 또 한 시간 반만에 대구를 내려를 거야. /
	 그래서 디게 신기했었던 거 같애. /
	 왜 올라가는 시간이랑 내려가는 시간이 달랐는지. /
	 음. /
	 &name2&는 그럼 그때 비행기 탔을 때 기내식 나왔었어? /
	
P1 	:아니 안 나왔어. {laughing} /
	
P0 	:음. /
	
P1 	:그때 인제 저가 항공들 위주로 타서 /
	
P0 	:(()) /
	
P1 	:기내식을 인제 시키면? /
	 비싸거나 아니면 ((좀)) / 짧은 여행이어서 / (()) / 쫌 돈 아까운 정도 차라리 그냥 / 출발 전에 그냥 쪼매난 간식 같은 거 사서 / 타고 인제 갔지. /
	 (()) / 근데 계속 / 대중교통 얘기 나와서 그런데. /
	 내가 얼마 전에 시외 뻐쓰라는 걸 처음 {laughing} 알게 됐거든? /
	 근데 시외 뻐쓰가 / 그 / 타는데 항상 나는 시외 뻐쓰 탈 때 / 동대구역을 가잖아 우리? /
	 근데 동대구역 말고 왜 / 동대구역 뭐 용계 이런 식으로 가잖아? /
	 용계에서 타 본 건 진짜 처음이거든? /
	 그래서 / &name1&은 용계에나 이런 / 중간 구간에서 / 시외 뻐쓰 탄 적 있어? /
	
P0 	:응 나도 이제 용계에서 / 해운대를 가 본 적 있어. /
	 (()) / 용계에서 해운대 두 시간 반이면 가. /
	
P1 	:두 시간 반만에? {laughing} /(note : 발화겹침) 응. /
	
P0 	:아 그리고 경주도 / 시외 뻐쓰를 타고 가 본 적이 있어. /
	 그럼 &name2&는 / 시외 뻐쓰 용계에서 타본 게 / 최근에 알게 됐다고 했잖아? /
	 ((x)) 언제 정 알게 된 거야? /
	
P1 	:사실 처음 알게 된 거는 그 / (()) / 너랑 같이 갔을 때 너랑 부산 같이 갈 때? /
	 그때 처음 알게 됐고 / 그다음에 / 항상 부산이나 경주 갈 때 / 시외 뻐쓰가 아니고 인제 / 기차를 타고 간 적이 더 많단 말이야? /
	 그래서 / 기차를 타다가 시외 뻐쓰를 타니까. /
	 쪼끔 나는 불편한 점이 있었거든? /
	 뭐 예를 들면 화장실이라고 해야 되나? /
	 기차 안에는 화장실이 있잖아? /
	 구비 됐다 그래야 되나 하여튼간 있잖아? /
	 근데 시외 뻐쓰는 / ((x)) 부 / 경주나 부산 같은 경우는 / 휴게소를 들리지가 않잖아? /
	 왜 나 그게 쪼끔 힘들었어. 사시 /(note : 발화겹침) (()) /
	
P0 	:음. {laughing} /
	
P1 	:음. /
	 &name1&은 막 / 그런 / 불편함이나 약간 그런 거 느낀 적 없어? /
	
P0 	:그냥 거리가 짧다 보니까 그 사이에 / 화장실을 가고 싶어서 위험했던 적은 없었던 거 같애. /
	 (()) / ((혹시)) 비행기에서 화장실 가 본 적 있어? /
	
P1 	:아 가 보고는 싶었는데. /
	(note : 발화겹침) 한 번도 가본 적이 없는데 &name1&은 가 본 적 있어? /
	
P0 	:아 나 비행기 화장실을 이용해 본 적 있는데. /
	 정말 이렇게 처음에 변기를 열면은 / 물이 없단 말이야 보통 일반 화장실에는 있잖아? /
	 근데 비행기에는 / 이제 물이 있으면은 뭐 이륙할 때라던가 이렇게 / 갑자기 롤러코스터처럼 / 위아래로 왔다 갔다 하면 물이 있으면 위험을 한가 봐. /
	 (()) /
	
P1 	:음. /
	
P0 	:가지고 / 용건을 보고 {laughing} / ((이)) 물을 내리는데 정말 / (()) / 청소기처럼 / 쏴 하면서 그거를 빨아 당겨서 정말 신기했었어. /
	
P1 	:(()) / 음. /
	
P0 	:비행기 얘기를 하니까 생각이 난 건데. /
	 내가 처음 비행기를 탔을 때가 오사카 갈 때 / 비행기를 탔었는데. /
	 (()) / 이제 비행기에 비상구 좌석이라고 쫌 / 비행기의 문이 / (()) 두 갠가 세 갠가 있는 걸로 알고 있는데. 이제 / 가운데 비상시의 대피를 하라고 가운데에도 출입문이 있어. /
	 이제 그쪽에 가까이에 붙어 있는 좌석인데. /
	 거기에 / 거기에는 이제 승무원과 마주 보고 가야 되는 좌석이란 말이야. /
	 하지만 승무원 분들은 보통 이제 / 서비스를 하셔 가지고 돌아다니셔서 앞에는 / 그렇게 / 이착륙할 때만 승무원들이 이제 좌석이 앉으시고 그래서 / (()) / 근데 또 좌석 사이 간격이 또 넓어. /
	
P1 	:(()) /
	
P0 	:그래 가지고 디게 / 첫 {laughing} 비행기였는데. /
	
P1 	:(()) /
	
P0 	:그런 좌석에 앉게 돼서 디게 신기했어. /
	
P1 	:음 되게 어 /
	
P0 	:(()) 적이 있어. /
	
P1 	:되게 간격이 넓었다 하니까 다리 왔다 갔다 이렇게 /(note : 발화겹침) 구부렸다 폈다 할 수 있어서 엄청 편했었겠다. /
	
P0 	:맞아. /
	
P1 	:음. /
	
P0 	:티켓에도 / 비상구 좌석이라고 특별하 / 특별은 아니지만 뭔가 / 메모장 같은 거 비상시에 이렇게 행동해 주세요 하면서 / 뭐 행동 요령 같은 거를 쫌 / 따른 사람 따른 티켓에는 붙지는 않지만 내 티켓에는 붙어 있어서 /
	
P1 	:(()) /
	
P0 	:엄청 신기했던 거 같애. /
	
P1 	:근데 갑자기 좌석 좌석 생각 (()) / 얘기를 하니까 생각난 건데. /
