# FILE DATA
ID : SDRW2100001407
category :  구어 > 사적대화 > 협력적대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211118
topic : 가짜 뉴스에 대한 징벌적 손해배상 > 가짜뉴스의 기준과 처벌대상 논의

# SPEAKER_INFO
id : SD2100779
age : 30대
occupation : 무직/취업준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 고졸

id : SD2100780
age : 50대
occupation : 주부
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 대졸

# SETTING
relation  :  부모/자녀


P1 	:음 엄마는 / 언론 / 개혁이 반드시 있어야 된다고 생각하는 사람 중에 한 사람이거든. /
	 그 이유는 뭐냐면 / 언론에서 / 지금 / 오보로 나오는 게 / 거의 백 프로 믿 / 그걸 믿는 것도 아니지만 / 후속 보도가 나중에 보면 후속 보도가 있어야 되는데 / 그 후속 보도도 안 나온다는 거 / 그리고 언론으로 해서 / 자살까지 일어날 수 있다는 거 / 그거를 엄마는 / 생각을 하기 때문에 / 징벌적 손해 배상이나 정신적 피해 / 물질적 이런 거 다 보상이 되야 된다고 생각을 해. /
	
P0 	:근데 우리가 가짜 뉴스에 대해서 얘기를 하고 있잖아. /
	 그럼 가짜 뉴스에 대한 정의를 / 명확하게 내릴 수 있어? /
	
P1 	:가짜 뉴스는 / 악의적으로 / 악의적으로 / 팩트를 / 이 사람이 기자가 예를 들어서 / 팩트를 딱 해서 아 이거는 진실이다 / 하고 하는 게 아니라 / 그렇다더라 / 그럴 것이다 / 이렇게 내고 / 그거 그게 / 어~ / 나중에 보면은 오보였다는 거지. /
	
P0 	:긍까 나는 그게 기준이 되게 애매하다고 생각하거든. /
	 내 입장에서는 쪼끔 불리하면 약간 / 가짜 뉴스야 이렇게 할 수도 있는 거고 / 그 기준을 명확하게 내릴 수가 없잖아. /
	 그래서 어떻게 그걸 가짜 뉴스라고 / 그거 구분을 지어서 / 그거를 할 건지 / 그거부터가 정확하게 되야지 뭐 / 손해 배상을 청구하지. /
	
P1 	:그거 / 근데 엄마 생각은 / 보도를 그렇게 / 하는 사람도 문제가 있지만 / 국민들도 시민들도 그~ / 매체를 통해서나 뭐 인터넷상으로 / 보면은 많이 나오지만 그거를 / 비판적으로 볼 수 있는 시선을 갖고 있어야 / 아 이게 정말 이럴까 / 이런 시선을 갖고 있어야 / 그게 가능하다고 생각을 하거든. /
	 보상도 가능하고 / 아니면은 그 액면 그대로 믿으면 / 그게 정말인지 아닌지를 알 수가 없잖아. /
	 시민들은 / 근데 그렇게 악의적으로 쓴다는 거지. /
	 ((그거를)) /
	
P0 	:아 그니까 내 말은 / 가짜 뉴스에 구분을 어떻게 지어 가지고 / 그거를 / 법으로 하 법으로 하자는 거잖아. /
	 가짜 뉴스를 내보내는 사람을 처벌하자 이걸 하는 거잖아. /
	 긍까 그걸 어떻게 / 구분을 지을 거냐 그거지 그 구분부터가 / 명확하게 기준이 / 잡기 어려운데 어떻게 그걸 법으로 다스릴 거냐 /(note : 발화겹침) 그 말인 거지. /
	
P1 	:그거 그거 구분은 / 엄마 생각은 그렇거든. /
	 그로 인해서 잘못된 보도로 인해서 / 손해를 봤어 정신적으로 / 그건 아닌데 / 아무리 아니라고 정정 보도 내 달라고 해도 안 해줘. /
	 그렇게 되면 / 이 사람은 / 일도 못 하고 / 식음도 전폐할 수도 있고 / 피해 보상을 볼 수 / 있는데 그거를 / 증명할 수 있는 증명도 해야 되고 / 그다음에 / 그 증거 자료로 인해서 / 상대한테 그거를 / 고소를 하는 거지. /
	
P0 	:근데 이게 / 개인 / 개인한테도 적용이 된다고 그랬잖아 에스엔에스나 / 막 유튜브나 그런 것도 / 가짜로 하면 근데 그럼 / 개인 / 의 자유가 침해되는 게 아닌지 너무 / 그럼 공산주의랑 다를 게 뭔지 /
	
P1 	:그렇게 되면은 / 그 처벌을 받게 되면 / 엄마는 오보를 / 낼 수 있는 확률이 줄어든다고 생각을 하거든. /
	
P0 	:근데 개인까지 그럼 어떻게 다 그거를 / 관리를 해서 처벌을 할거야? /
	 그냥 나 혼자만의 생각인데 /
	
P1 	:그니깐 그니까 / 그니까 그게 / 어 지금 당장에 막 / 백 프로 이백 프로 성과로 본다는 게 아니고 모든 게 다 / 이번에 시작을 했으면 오 프로 / 그다음 지나가면 / 뭐 십 프로 이런 식으로 바뀌는 거지 / 한순간에 바뀌진 않아. /
	
P0 	:아니 그니까 개인 /
	
P1 	:그게 /
	
P0 	:개인의 그걸 어떻게 다 잡아서 /
	
P1 	:그 증명할 수 있는 방법을 / 강구를 해야 되는 거지. /
	 그게 /
	
P0 	:그럼 벌금을 얼 뭐 / 손해 배상 청구를 어떻게 할 건데? /
	
P1 	:그니까 그~ / 피해를 본 사람이 피해자가 / 그 증명을 할 수 있는 일을 / 저기를 다 서류를 꾸미는 거야. /
	 고소하는 거랑 똑같아. /
	
P0 	:아니 기준 /
	
P1 	:나 이렇게 사고가 났으니까 너를 고소하겠다. /
	 예를 들어서 / 뭐 그런 저기도 있는데 / 그 방법은 얼마든지 많은데 그 방 / 법이 없기 때문에 그거를 하고자 하는 게 / 엄만 찬성이고 /
	
P0 	:근데 나는 되게 / 막연한 소리를 한다고 생각하는 게 / 딱 / 법은 규정이 돼야 되잖아. /
	 뭐뭐뭐뭐다 이렇게 딱 규정이 돼야 되는데 그거는 / 너무 애매모호한 일 같애. /
	 애매모호한 일을 규정을 하면 억울한 일이 발생할 수도 있잖아. /
	 그러면 그거는 또 다른 피해자가 생기는 거잖아. /
	
P1 	:그니까는 그 피해자를 없애기 위해서는 / 애초부터 보도를 잘 내야 되는 거야 팩트체크를 해서 / 진실을 담아서 얘기를 해야 된다는 거지. /
	 진실을 담아서 얘기를 하면은 / 언론을 조작할 필요도 없는 거고 / 그로 인해서 상처받을 일도 없을 거고 / 그 피해 볼 일도 없을 거고 / 근데 진실을 얘기를 안 하기 때문에 사람들이 피해를 보는 거잖아. /
	
P0 	:근데 그거는 / 내가 생각했을 때 진실일 수도 있지. /
	
P1 	:그 진실 그게 진실이 아닌데 / 그거를 진실로 받아들이는 너 같은 사람이 있는 거야. /
	 그러면은 / 엄마는 그게 / 어 오보다 / 아니다 / 그러는데 너는 진실로 알고 / 엄마랑 얘길 할 거 아니야. /
	 그러다 보면 다툼이 생기지. /
	 아니다 이건 이렇다 얘기할 수 있는데 너는 / 어 오해를 진실로 알고 있으니까 /
	
P0 	:근데 봐 봐 / 내가 인스타에 / 어쩌고 저쩌고 이렇게 올렸어. /
	 그럼 그걸 어떻게 처벌할 거야? /
	 내가 그냥 내 개인적인 공간에 내 의견을 / 쓴 것 뿐인데 /(note : 발화겹침) 그것도 못 하게 해 민주주읜데? /
	
P1 	:내 계 내 거는 괜찮아. /
	 나 / 내 거나 나는 괜찮은데 상대방 건 안 돼. /
	
P0 	:그게 / 말이 안 맞지 않아? /
	 다 / 내 개인적인 생각이지 엄마는 너무 언론적인 것만 생각하는데 / 그 가짜 뉴스 징벌 / 손해 배상은 언론 뿐만 아니라 개인 에스엔에스나 / 그런 유튜브 같은 것도 / 규제를 한다고 하는 거야. /
	 그니까 그거는 내 생각을 그냥 내가 쓴 건데 그걸 규제를 해? /
	
P1 	:그니까 그거를 / 그냥 / 포괄적으로 보자고 그러면 한도 끝도 없는 거고 / 그 엄마 생각에는 / 그렇게 보는 시선을 갖고 있어야 된다는 거 / 아니면은 / 어 그로 인해서 / 목숨까지도 왔다 갔다 하기 때문에 / 목숨보다 중요한 건 없기 때문에 엄마는 / 징벌적 손해 배상은 반드시 있어야 된다는 거 그래야 / 내가 피해를 보 / 보면 / 줄 수 있는 / 저기도 되는 거고 / 역으로 그 사람도 / 그런 잘못된 보도를 했기 때문에 / 그만한 대가를 치러야 된다고 생각을 해. /
	
P0 	:긍까 그럼 그거를 처벌을 어떻게 할 건데 어떤 기준으로 /
	
P1 	:그거는 그건 지금 당장 중요한 게 아니고 그거는 / -그- 그게 이루어지면 / 기준을 세워지겠지 기준이 /
	
P0 	:기준을 잡아야지 /
	
P1 	:그니까 /
	
P0 	:세우는 거 아니야? /
	
P1 	:그니까 /
	
P0 	:아니 그니까가 아니라 / 기준을 잡아 어떻게 / 손해 배상을 청구할 건지 / 그 기준을 잡아야지 먼저 긍까 그 기준을 / 어떻게 잡을 거냐고 내가 / 뭐 한 번 가짜 뉴스 올리면 / 한 번 올릴 때마다 뭐 / 백만 원 뭐 이렇게 할 거야? /
	
P1 	:그게 없으니까 / 없으니깐 / 법을 만들어서 이케 하면은 아마 / 엄마 생각에는 / 어~ / 그렇게 손해 보는 사람은 / 지금처럼은 없지 싶은데 / 인터넷으로 댓글 달고 이렇게 해서 / 상처 보고 피해 받아서 죽은 사람이 한둘이 아니잖아. /
	
P0 	:그건 악플이지 가짜 뉴스가 아니잖아. /
	
