# FILE DATA
ID : SDRW2100003593
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211026
topic : 취직 > 준비중인 취직활동,컴퓨터활용능력 자격증,다니고있는 학원,공기업 취업

# SPEAKER_INFO
id : SD2103547
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
education : 대졸

id : SD2103548
age : 20대
occupation : 무직/취업준비생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
education : 대졸

# SETTING
relation  :  친구


P0 	:니 어디 취직할 거야? /
	 기업 생각해 놓은 거 있나? /
	
P1 	:아니 기업을 딱 정해 놓은 건 아닌데 / 그냥 뭐 중소기업 / 경리직 알아볼라고 그냥 / 지금 자격증 준비하고 있다. /
	
P0 	:학원 뭐 뭐 다녔지? /
	
P1 	:나 컴활이랑 / ((그기)) / 전산 회계 /
	
P0 	:((x)) 컴활 어렵지 않나 난 어렵던데 /
	
P1 	:컴활 이급은 괜찮아 일급은 진짜 어렵거든. /
	 ((근데)) 이급은 진짜 괜찮아. /
	
P0 	:((근데)) 많이 다른가? /
	
P1 	:그게 필기는 근데 한 어차피 한 과목 차이여 가주구 상관이 없는데 / 실기 넘어가면은 / 많이 어렵다 그 삼 과목이 /
	
P0 	:((응)) 나도 일곱 시간 일주일 / 다니다가 {laughing} 정리했거든 근데 / 그게 공공 난 공기업 생각 중이긴 한데 / 공기업에서도 그게 다 가산점으로 들어가고 / 또 막 / 그 대기업은 생각도 안 해 봤긴 했는데 / 대기업 지원할 때도 / 뭐 그냥 컴활 자격증 우대 이렇게 돼 있으니까 / 아예 서류조차 안 내게 되고 쫌 그런 게 있긴 하더라. /
	
P1 	:어~ 근데 컴활은 진짜 중소나 알아보는 것도 / 컴퓨터 활용 능력 그 이급은 / 많이 보거든 일급보다 / 근데 솔직히 일급까지는 필요 없을 거 같은데 / 니도 그냥 실기는 이급 따는 게 어때? /
	
P0 	:((아니)) 근데 그게 또 그런 게 / 일급이랑 이급이랑 가산점 주는 게 달라. /
	 뭐 / 그 뭐지 이 퍼센트 한 문제 차이로도 / 엄청 그게 갈리잖아 필기는 / ((으)) 긍까 공기업 필기가 / 근데 그 가산점이 이급은 / 뭐 일 퍼센트 주고 일급은 이 퍼센트 주면은 / 내가 한 문제를 틀려도 갈 수가 있는 ((거다 아이가)) / ((근데)) 한 문제 아직 틀려서 안타깝게 떨어진 적은 없지만 / {laughing} 없지만 좀 그럴 수 있으니까 / ((그냥)) 계속 미루게 되긴 하는 ((거)) / 생각은 있는데 /
	
P1 	:근데 그게 내 친구가 지금 일급을 / 한 다섯 번인가 떨어졌거든. /
	 실기를 / 근데 내가 봤으 때 그거는 미루면 안 됨 /
	
P0 	:맞다 미루면 안 된다 하더라. /
	
P1 	:한 번 할 때에 / 딱 해야 된다 그게 내 친구가 학원 한 달을 다녔거든. /
	 일급을 / 근데 / 그 다른 친구는 붙었는데 / 걔는 이제 띄엄띄엄하면서 해 가주구 / 아직까지 공부하고 있다. /
	
P0 	:취업 까페에다가 막 / 그 뭐 컴활 준비하는 데 얼마나 걸려요 하면은 / 필기는 그냥 / 문풀로 일주일 빡세게 돌리시고 / 뭐 나머지 실기는 걍 그 뭐 -유- 유동근 씨 이런 거 / 그 스타 강사 해서 한 한 달 정도 들으면은 넉넉하게 합격해요 라는 말을 내가 작년부터 들었거든. /
	 아직 못 했다. /
	
P1 	:근데 그거 거짓말임 /(note : 발화겹침) 절대 /
	
P0 	:한 달 안 /
	
P1 	:그렇게 안 된다. /
	
P0 	:근데 뭐 또 컴활이 근데 이제 기본이고 / 나는 공기업 생각 중이긴 한데 / ((이제)) 컴활 기본이고 한국사 기본이고 / 뭐 토익 기본이고 / 한톡컴 막 이렇게 부르더라고. /
	
P1 	:그 니 토익 학원 다니던 거는 /
	
P0 	:((내)) 점수가 나왔는데 / ((이제)) 그 지원 자격이 칠백이고 / 가산점 받을려면은 / 뭐 엄청 메이저 공기업 빼고는 나머지는 이제 / 팔백 오십이 최대 만점인데 / 팔백 오십까지는 내가 안 되는 거지. /
	
P1 	:그래도 / 아~ 나는 지금 전산 회계 / 준비하고 있는데 / 떨어졌거든. /
