# FILE DATA
ID : SDRW2100000107
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20210816
topic : 음악 > 좋아하는 음악,가수

# SPEAKER_INFO
id : SD2100107
age : 20대
occupation : 무직/취업준비생
sex : 여성
birthplace : 경기
principal_residence : 서울
current_residence : 서울
education : 고졸

id : SD2100108
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 대재

# SETTING
relation  :  친구


P0 	:요새 음악 뭐 들어? /
	
P1 	:나는 음 / 요새 / ((의외로)) 백예린 음악은 많이 안 듣고 / 윌로우 스미스? /
	 이 사람 노래 되게 많이 들어. /
	 너는? /
	
P0 	:나는 요새 / 음악을 엄청 듣 / 지는 않는 것 같 / 은데 / 그냥 솔직히 / 뭐지 너가 저번에 백예린 / 얘기 했었잖아 아까 / 근데 나도 요새는 / 백예린을 안 듣고 / 그냥 / 인기 가요 같이 그런 데 나오는 / 아이돌 음악 / 그런 거 듣는 거 같애. /
	
P1 	:나도 요즘 / 내가 -더- 더보이즈 좋아하잖아. /
	 그래서 / 음악 방송 / 이런 것 좀 챙겨 봤거든? /
	 근데 / 노래 좋은 거 되게 많더라고 아이돌도 /
	
P0 	:맞아 옛날에는 약간 / 그냥 / 유치한 느낌이 좀 컸는데 / 아 물론 지금도 / 그런 / 경향이 없지 않아 있기는 하지만 / 수록곡들은 되게 / 잔잔한 것도 있고 / 괜찮은 거 같애. /
	
P1 	:그래서 / 내가 요즘 / 운동장 다니거든 헬스장 / 그런 데 있으면 / 유튜브에서 / 운동할 때 듣기 좋은 음악 이런 거 있잖아 / {clearing} / 근데 그런 것 / 도 많이 듣고 / 그리고 빌리 아일리시 신곡도 나왔잖아. /
	 근데 그걸 들어 봤는데 / 항상 노래가 다 똑같애 가지고 / 좀 별로더라고 이번에. /
	
P0 	:아 빌리 아일리시 아니 / 신곡 나왔다고 해서 나도 / 들을려고 했는데 그 약간 / 논란 같은 거 있었던 거 같아 가지고 / 안 들었는데 / 근데 약간 노래가 다 / 비슷비슷한 분위기는 맞는 거 같애 약간 / 약간 뭐라 하지? /
	 어둡고 약간 애처럼 {laughing} / 살짝 그런 목소리? /
	 근데 / 어떤 거는 좋은데 맞아. /
	 어떤 거는 요새는 계속 듣다 보니까 / 계속 똑같은 거 /
	
P1 	:그럼 너 좋아하는 가수 / 얘기 좀 해 줘. /
	
P0 	:좋아하는 가수 / 요새는 잘 안 듣지만 /
	
P1 	:(()) /
	
P0 	:백예린 / 그 다음에 잔나비 / 음 / 그 정도 외국에서는 / 브루노 마스? /
	 약간 옛날 사람인가? /
	 그 아저씨? /
	 너는? /
	
P1 	:난 요즘 / {clearing} / 그 / 윌로우 스미스 / 랑 / 그리고 딱히 없는 거 같애. /
	 요즘 / 잘 듣는 노래 스타일 이런 거 있어? /
	
P0 	:원래는 약간 / 좀 / 우울하다고 해야 되나 어떻게 보면은 / 약간 쪼끔 / 되게 조용한 느낌의 그런 곡을 / -좋- 좋아했었는데 / 요새는 그냥 / 좀 밝은 분위기의 노래 / 그냥 별 생각 없이 이렇게 / 들을 수 있는 그런 노래 / 들을 많이 듣는 거 같애. /
	
P1 	:나도 약간 / 너랑 취향 비슷한 거 같애. /
	 나 약간 잠 안 올 때 / 그런 플레이 리스트가 ((있거든)) / 우울한 노래만 모아두는 플레이 리스트 {laughing} / 그런 거 들으면서 자면 잠도 잘 오더라고 /
	
P0 	:맞아. /
	 더보이즈만 요새는 파? /
	 아니면은 아 근데 나는 너가 / 그 뭐였지 / 스트레이 키즈 / 이름 뭐였지? /
	
P1 	:필릭스? /
	
P0 	:아니 아니 /(note : 발화겹침) 그 논란 있었던 애 /
	
P1 	:아 황현진? /
	
P0 	:어 나는 너가 / 걔 / 걔 좋아하는 줄 아닌가? /
	 아 아니야? /
	
P1 	:아니야 아니야. /
	
P0 	:그래 스트 어 /
	
P1 	:근데 스트레이 키즈는 내가 / 킹덤 보면서 봤는데 / 필릭스 얘 빼고 / 내 취향은 없고 / 이번에 엠씨 해 가지고 / 리노랑 같이 하잖아 그것도 봤는데 / 리노는 / 잘생겼더라고 걔도 / 그리고 / 더보이즈도 요즘 / 진짜 논란이 진짜 {laughing} 많이 터졌거든? /
	 그래서 / 그냥 그래 요즘. /
	
P0 	:맞아 요새는 / 다 / 그런 사건 사고가 많아서 / 누구 하나를 편히 / 좋아 하기가 참 / 어려운 거 같애. /
	 더보이즈 노래 중에 / -뭐- 뭐를 제일 좋아해? /
	
P1 	:사실 내가 / 좋아한지 얼마 안 돼서 / -노- 노래들을 다 모르거든 거의? /
	 타이틀곡만 거의 아는데 / 음 더 스틸러 / 가 제일 좋은 거 같애. /
	 춤도 그렇고 / 딱 이주연한테 맞는 컨셉이야. /
	 넌 엔씨티 / 곡 중에 뭐가 제일 좋아? /
	
P0 	:나는 / 정우가 제일 좋지만 / -정- 정우가 없던 곡인 / 메이크 어 위시가 제일 좋은 거 같애. /
	 그게 제일 / 일단 뮤비가 너무 / 색감이 막 휘황찬란한 알라딘처럼 / 예쁘고 / 그 다음에 춤도 / 음 좋고 그래서 / 좋은 거 같애. /
	
P1 	:{clearing} / 근데 메이크 어 위시하니까 생각났는데 / 나 그거 처음에 보면서 / 사실 쇼타로 되게 욕했었거든? /
	 {laughing} 근데 보다 보니까 걔가 너무 귀엽더라고 / 너 어떻게 생각해? /
	
P0 	:아 맞아 / 그때 너가 /
	
P1 	:(()) /
	
P0 	:막 쇼타로 / 그냥 그닥이라고 / 내가 그래서 홍현희 남편 닮았다고 / 그런 짤도 보내 줬잖아. /
	 근데 일단 춤을 너무 잘 춰서 / 그런 어 /
	
P1 	:맞아. /
	
P0 	:-점- 점이 다 무마 되는 거 같애. /
	
P1 	:(()) /
	
P0 	:너무 귀엽게 잘 춰. /
	 응 잘 빵긋빵긋 / 웃고 사람이 되게 / 밝은 기운이 느껴진달까 춤이랑 / 그런 거에서. /
	
P1 	:너 정우랑 / 재민 말고 / 관심 없는 거야 엔씨티? /
	
P0 	:그냥 / 어 누구 하나 특출나게 뭐 / -그- 그런 건 없고 그냥 / 전체적인 멤버들에 대해서는 이제 쫌 / 좋은데 뭐 / 막 타 / 얘가 좋아 얘가 좋아 얘가 좋아 이렇게 순번을 매길 정도로 아닌 거 같애. /
	 -그- 그냥 전체적으로 비슷비슷하게 그냥 / 멤버니까 약간 이런 느낌? /
	 ((으로)) /
	
P1 	:너 버블도 계속 하고 있어? /
	
P0 	:아 어 사천 오백 원 / -그- 그 버블. /
	 계속 하고 있고 / 백 / 칠십 몇 / 정도 된 거 같애 그거는. /
	 근데 돈이 아깝지 않은 거 같애. /
	
P1 	:정우가 효자구나. /
	
P0 	:어 사진을 많이 보내 주고 / 뭐 / 동영상 같은 것도 가끔 보내주고 / 녹음하는 것도 가끔 보내 주고 / 그래서 괜찮은 거 같애. /
	
P1 	:그 우리 쪽은 막 / 버블 말고 / 프라이밍 메시지라는 게 있거든. /
	 근데 그거는 한 달에 / 팔천 구백원 내야 되고 / 내가 이주연을 한 달 했었어. /
	 근데 / 얘가 진짜 세네 번 왔나? /
	 그래서 실망해서 걍 끊었어. /
	
P0 	:그런 거면 안 하는 게 /
	
P1 	:(()) /
	
P0 	:정신 건강에 도움이 될 것 같애. /
	 어제 아 어제가 아니라 그저께 / 음악 중심 / 했었는데 / 나는 실시간으로 못 봤잖아 너는 보고 / 그때 / 그 새로운 엠씨 / 무대가 괜찮았어? /
	
P1 	:그때 나도 딱 / 뒤에 한 십 초 / 그정도 보고 바로 넘어가서 / 다는 못 봤는데 / 몰라 그런데 얼굴 합이 그렇게 / 잘 맞는 느낌은 아니야. /
	
P0 	:그때 / 정우가 미소천사라는 / 곡을 했는데 그게 / 성시경 노래래. /
	 그래서 찾아봤는데 / 나는 성시경의 그런 / 과거가 있는지 몰랐어. /
	 약간 / 귀엽게 뚝딱뚝딱 / 추는 그런 / 뚝딱이 춤이 / 응 굉장히 매력적이시더라고. /
	 노래는 워낙 잘 부르시니까. /
	
P1 	:{clearing} / 성시경 / 나도 한번 찾아봐야겠다 성시경. /
	
P0 	:백예린 노래 왜 요새 / 별로 안 듣는 거 같애? /
	
P1 	:백예린 / 제일 신곡이 그 밴드 앨범이잖아. /
	 근데 뭔가 그것도 / 모든 노래가 약간 / 비슷한 느낌이고 / 뭔가 / 엄청 신나진 / 신나는 곡이면 운동할 때라도 들을텐데 약간 그런 느낌도 아니고 / 엄청 잔잔한 노래 / 도 있는 거 같긴 한데 / 뭔가 그렇게 / 듣고 싶은 노래가 아니라서 안 듣는 거 같애. /
	
P0 	:그러면은 너는 /
	
P1 	:(()) /
	
P0 	:처음에 / 그 / 옛날에 나왔던 거 이천 십팔 년이었나? /
	 그 에브리 레터 그거랑 / 그~ 뭐였지? /
	 최근에 나온 거 더 발룬티어스 말고 /
	
P1 	:((테라스)) /
	
P0 	:어 그거랑 / 그 다음에 더 발룬티어스 그거 중에 뭐가 제일 좋아? /
	 어떤 앨범이 /
	
P1 	:뭔가 / 다 전체적으로 좋은 거는 / 그 스퀘어 있는 앨범 그건데 / 난 그게 제일 좋은 거 같애 너는? /
	
P0 	:나도 그거. /
	 그 앨범이 제일 / 전체적으로 어 맞아 좋았어. /
	 너 그 앨범 중에서 / 어떤 곡이 제일 좋아? /
	
P1 	:나는 지금까지 제일 많이 듣는 건 공삼일공 / 제일 많이 듣고 / 오히려 막 스퀘어는 / 잘 안 들어 뭔가 / 질린다고 해야 되나 그거 / 그래서 그렇고 / 그 막 베를린이란 그런 곡도 되게 좋은 거 같애 / 너는? /
	
P0 	:맞아 스퀘어는 약간 / 그 처음에 입덕 할 때 / 사람들이 유입되서 들어오는 곡 느낌이고 나는 / 나도 베를린 / 아니면 레스트 / 나 런던. /
