# FILE DATA
ID : SDRW2100003115
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211028
topic : 방송/연예 > 좋아하는 드라마

# SPEAKER_INFO
id : SD2103057
age : 10대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
education : 중졸

id : SD2103058
age : 50대
occupation : 사무 종사자
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 인천
education : 고졸

# SETTING
relation  :  부모/자녀


P0 	:엄마 최근에 드라마 / 슬기로운 의사생활 봤어? /
	
P1 	:중간 중간 봤어. /
	
P0 	:왜 계속 정주행 안 하고 / 중간중간만 봤어? /
	
P1 	:엄마 할 일 있었으니까 / 궁금하긴 한데 /
	
P0 	:근 /
	
P1 	:그래도 엄마 할 일은 해야 될 것 같애서 /
	
P0 	:그게 어떤 내용인지는 알아? /
	
P1 	:너무 좋았어. /
	 서로가 배려해 주고 서로가 도와주고 / 모든 환자들을 사랑해주고 / 보살펴 주는 부분에 대해서 /
	
P0 	:현실에도 그런 의사가 있을까? /
	
P1 	:있겠지. /
	
P0 	:근데 드라마에서 나오는 거 보면은 / 그럼 작품 속 캐릭터들이 / 어떻게 보면은 현실 속에도 / 있을 법한 사람들도 있고 / 전혀 아닌 사람들도 있잖아. /
	
P1 	:그렇지. /
	
P0 	:근데 그 슬기로운 의사생활 같은 경우에는 / 진짜 어디선가 일어날 법한 이야기들이이어서 나는 / 좋게 봤던 거 같아. /
	
P1 	:엄마는 그 드라마가 아니라 / 실제로 / 실제로 느껴지는 기분이였어 / 진짜로 / 환자들도 / 역할 하기가 힘들었는데 / 진짜 아픈 것처럼 / 아역 배우도 마찬가지 / 그런 거 보면서 / 저게 실제로 / 진짜 병원에서 일어나는 일 같고 / 똑같앴어. /
	
P0 	:거기서 일어나는 일들 중에서 / 내가 가장 기억에 남았던 건 / 아동 폭행하는 / 아빠가 있었거든. /
	 응급실에 어떤 아이가 들어왔어. /
	 근데 아이가 갈비뼈가 뿌러져 있는 거야. /
	 그래서 확인을 해 보니까 / 아빠가 때린 거였어. /
	
P1 	:그러면 그 아이는 어떻게 됐어? /
	
P0 	:그 아이는 병원 / 측에 인제 조치를 받고 / 그 아빠는 / 자기가 들켰다는 걸 눈치채고 / 도망갔어. /
	
P1 	:도망가서 / 나중에 아빠 만났어 안 만났어? /
	
P0 	:그 사람이 도망가는 걸 / 거기 의사 / 선생님이 뛰어 가서 잡았어. /
	
P1 	:다행히다. /
	 그러면은 그 아빠는 / 잡았는데 아빠는 어떻게 된 거야? /
	
P0 	:그 이후로는 안 나왔지. /
	
P1 	:그 이후로는 안 나왔어? /
	
P0 	:그냥 경찰에 -연행- 연행 되어서 / 간 것까지만 나오고 / 나중에 / 복수 할 것 같다는 표정으로 갔어. /
	
P1 	:그럼 아이는? /
	
P0 	:아이는 / 보호시설에 / 맡겨지게 되었겠지. /
	
P1 	:엄마도 없었어? /
	
P0 	:응. /
	
P1 	:그 아이 참 딱했다. /
	
P0 	:그래도 드라마 속 이야기지만 / 아직도 가정폭력에 의한 / 상해를 입는 애들이 많지. /
	
P1 	:그 드라마가 / 우리나라에서 병원에서 현실로 일어나는 일일 수도 있 / 지 않을까? /
	
P0 	:그래서 / 그 작가랑 감독이 / 병원에 가서 자문도 하고 / 실제 수술하는 것도 배우들이 보고 / 그런 에피소드 같은 거를 많이 / 얻어 왔다고 함 /
	
P1 	:어 그래? /
	 거기서 / 드라마를 해가면서 / 신중하게 하면서 / 개그처럼 / 웃기는 것도 장면도 많았잖아. /
	 사람이 지루하지 않게끔 드라마를 짰잖아. /
	 근데 &name1& / 거기서 니가 최고 / 존경스러웠던 / 배우 있었어? /
	
P0 	:존경스러운 건 아니고 / 가장 연기를 잘한 거는 / 아무래도 / 이익준 역할을 맡았던 / 조정석 아닐까. /
	
P1 	:&name1&가 좋아서 그런 거 아니고? /
	
P0 	:경력에 의한 연기력 / 그런 센스가 돋보였지. /
	
P1 	:엄마는 거기서 여자 있지. /
	
P0 	:전미도? /
	
P1 	:응. /
	 그 여자도 너무나도 잘한 거 같애. /
	
P0 	:원래는 뮤지컬 배우로서 / 노래도 엄청 잘 하고 연기도 잘 했는데 / 극중에서는 노래도 못 하고 / 그런 역할로 나온 게 / 사실은 많이 아까웠지. /
	
P1 	:그리고 의사 의사를 해 가면서 / 순간순간 대처하는 법이 너무나도 / 착실하고 너무 좋아보였어. /
	
P0 	:그런 캐릭터를 만드는 / 작가랑 / 그런 연출하는 감독이 있으니까 / 그 드라마 속 배역도 / 매력적으로 느껴지는 거지. /
	
P1 	:&name1&는 한 번 정도는 / 그런 역할을 해보고 싶다는 생각 안 해 봤어? /
	
P0 	:드라마는 드라마로 보고 / 나는 / 없어. /
	
P1 	:없어? /
	 너는 뭐가 되고 싶은 건데? /
	
P0 	:그런 건 없어 그냥 드라마를 보면은 / 그냥 마음이 편안해지는 드라마도 있고 / 그리고 보면은 화가 나는 드라마가 있잖아. /
	 그런 보는 재미로 보는 거지. /
	
P1 	:엄마는 너하고 영화 볼 때가 최고 좋았어. /
	 그 꼬마야 나오는 거 /
	
P0 	:미나리? /
	
P1 	:아니 /
	
P0 	:덕구? /
	
P1 	:덕구 말고 그 꼬마 있잖아. /
	
P0 	:담보? /
	
P1 	:어 담보. /
	 그게 너무나도 슬프고 마음이 아팠어. /
	
P0 	:그 성동일이랑 / 나오는 거잖아. /
	
P1 	:어. /
	 그리고 미나리도 너무나도 의미있게 봤고 /
	
P0 	:근데 미나리는 / 엔딩이 쪼끔 많이 아쉬웠어. /
	
P1 	:끝에가 /
	
P0 	:응. /
	
P1 	:뭐든지간에 영화든 드라마든 / 아쉬운 부분이 많지. /
	
P0 	:나는 결말이 / 그런 열린 결말 말고 / 끝까지 잘 살았으면 잘 살았다 / 그런 걸 다 보여주고 끝냈으면 좋겠어. /
	
P1 	:옛날에는 그렇게 보여 줬거든. /
	 근데 요즘에는 드라마가 / 그렇게 안 나와. /
	 너무 시시하게 끝나. /
	 그 사람이 잘되는 모습도 보여주고 / 잘 사는 모습도 보여 주고 그래야 되는데 / 그런 면이 전혀 없어. /
	 그래서 엄마가 드라마를 별로 안 보고 싶어 어떤 때는 /
	
P0 	:요새는 다양한 해석을 / 두는 중점이 있고 / 하다 보니까 열 / 결말이 그렇게 되는 부분도 없지 않아 있지. /
	
P1 	:요번에 &name2& 드라마 있지. /
	 끝난 거 /
	
P0 	:속아도 꿈결? /
	
P1 	:응. /
	 그거는 어땠어? /
	
P0 	:그거는 그래도 많이 보기 좋게 끝났어. /
	 온 사람들이 다 모여서 / 인제 병도 낫고 / 나중에 미래 어떻게 될지도 / 다 말해주고 끝났어. /
	
P1 	:&name2& 그 &name2& 드라마 찍을 때마다 / 아침마다 &name1& 가서 봤지 / &name2&를 만나고 / 어 퇴근 하는 것도 보고 / 그런 모습 봐 가면서 / &name1&아 / &name2& 촬영하는 게 너무 힘들었다고 생각 안 해? /
	
P0 	:방송 프로에 나오는 거는 / 삼십 분이잖아 드라마가 / 근데 그 삼십 분 속에서 몇 분을 위해 / 그렇게 몇 시간 동안 대기하고 촬영하는 배우들이 있기에 / 우리가 / 그런 좋은 드라마를 볼 수 있겠지. /
	
P1 	:맞아. /
	 드라마도 좋고 영화도 좋고 / 모든 게 다 좋은데 / 딱 안 좋은 거는 / 엄마는 뉴스 나올 때가 최고 마음이 아퍼. /
	
P0 	:뉴스 프로그램보다는 / 나는 / 좋은 내용이 나오는 드라마를 좋아해. /
	
P1 	:당연한 거지 근데 / 세상이 어떻게 돌아가는지 / 알라면은 뉴스를 봐야 되는데. /
	
P0 	:요새는 뉴스를 / 티비로 보는 사람보다 / 스마트폰 매체로 보는 사람들이 많고 / 그리고 네이버 기사 같은 걸로 보지 / 티비로 챙겨 보는 사람은 별로 없어. /
	
P1 	:그렇지. /
	 외할아버지나 뉴스로 봤지. /
	
P0 	:아직 / 그런 거에 익숙치 않은 분들은 / 티비를 통해서 세상을 보는 거고 / 우리 같이 / 핸드폰이 더 / 익숙한 세대는 / 핸드폰으로 뉴스를 보고 / 매체들을 찾아 보는 거지. /
	
P1 	:음 &name1&아 / 십이 월 달이면 또 &name2& 프로그램이 나오잖아. /
	
P0 	:응. /
	
P1 	:그러면 &name2&가 어떤 / 역할로 나왔으면 좋겠어? /
	
P0 	:사랑의 꽈배기? /
	 라는 제목이던 거 같은데 / 아직까지는 정확하게 나온 건 없고 / 캐릭터 시놉시스만 / 짜져 있는 상태 같아. /
	
P1 	:&name1&는 / 드라마나 영화나 뭐 / 개그맨 / 그런 거 나오는 거 중에서 / 미정이가 / 그 캐릭터가 어떤 게 마음에 안 들어? /
	
P0 	:요새 제일 마음에 안 들었던 드라마 속 캐릭터는 / 주단태. /
	
P1 	:그치. /
	 엄마는 그거 봐 가면서 참 안타깝다고 생각했어. /
	
P0 	:펜트하우스가 시작은 화려하고 / 많은 사람들의 주목을 받았던 드라마인데 / 시즌제가 되고 / 시즌 쓰리가 되니까 / 너무 결말이 허망하게 끝난 거 같아. /
	
P1 	:그래 맞어. /
